Date,Service Provider,Commodity,B-BBEE,Total Cost
02-03-2020,VCA BEE Verifications (PTY) Ltd,BEE Verifications,Level 1,40 450.00
03-03-2020,Unique Personnel (PTY) Ltd,Recruitment Services,Level 1,122 340.00
17-03-2020,Immaculate Events and Management Solutions (PTY) Ltd,Three Bid committees Training,Level 1,204 999.00
17-03-2020,Phulo Placement,Recruitment Services,Level 1,149 159.00
17-03-2020,LA Arrows Technologies,IT Consumables,Level 1,16 146.00
17-03-2020,Nmabo Stationery and Office Supplies,Printing Paper,Level 1,25 649.98
17-03-2020,Meropa Communications,Ghana PR Agency,Level 1,436 245.37
17-03-2020,SGT Solutions (PTY) Ltd,IT Infrastructure,Level 2,225 940.00
17-03-2020,Tsoelopele Catering,Catering Services,Level 1,7 360.00
23-03-2020,Biotech IT (Pty) Ltd,Setup and Installation of Switches,Level 1,356 390.00
28-03-2020,Dalitso Business Equipment,Laptops,Level 1,454 545.00
30-03-2020,Esizwe Group (Pty) Ltd,Microsoft licence renewal,Level 1,499 560.00
30-03-2020,Community Innovations (Pty) Ltd,Neuro Linguistic Programme,Level 1,103 500.00
30-03-2020,Mashobao Tech,Trend Micro licence renewal,Level 1,121 340.00
31-03-2020,AOA Enterprise,Atera licence,Level 1,203 000.00
31-03-2020,Compatibles T and T,Eshare BoardPack licence renewal,Level 1,299 250.00
31-03-2020,Ukwakhile Projects,King IV Corporate Governance Training,Level 2,44 563.00
01-04-2020,Direct Management Solutions CC,Employment Equity Training,Level 2,38 502.00
29-04-2020,TSL Telecommunications and Automation,Transversal Contract for Printers,Level 1,296 318.88
10-05-2020,Jetline Rosebank,Business Cards,Level 4,9038.31
28-07-2020,"Premier Human Capital Corporation",Recruitment & Placement,Level 1,103 077.75
