EASTERN CAPE REGION,,,,,,,,,,,
MANAGEMENT AREA,ITEM DESCRIPTION,SUPPLIER NAME,"COMPANY
REGISTRATION NO",PROCUREMENT PROCESS FOLLOWED,ORDER DATE,ORDER AMOUNT,,,,,
Amathole,(Biological spill Kits) Drowmex,Bravoplex 532,2011/944991/23,Price quotation below R30 000.00,"Saturday, April 4, 2020","R                              25,900.00",,,,,
Amathole,(Disposable coverall suits) No branding,Maruno,2013/069663/07,Price quotation below R30 000.00,"Tuesday, April 7, 2020","R                              12,650.00",,,,,
Amathole,(Sanitizer 70% Alcohol) No branding,East view Trading,2007/116803/23,Price quotation below R30 000.00,"Tuesday, March 31, 2020","R                              19,111.50",,,,,
Amathole,(Aerosol sterisol spray) BARRS,BARRS Phamaceuticals Industry,2012/056577/07,Transversal Contract (RT300),"Thursday, March 19, 2020",R                                    820.50,,,,,
Amathole,(Disposable mask) No branding,Be the project,2013/166136/07,Price quotation below R30 000.00,"Thursday, April 16, 2020","R                              29,450.00",,,,,
Amathole,(Disposable mask) No branding,Spring Forest,2005/023531/23,Price quotation below R30 000.00,"Saturday, April 4, 2020","R                              26,250.00",,,,,
Amathole,(Disposable mask) No branding,Mhlaba Group,2017/134862/07,Price quotation below R30 000.00,"Thursday, April 30, 2020","R                              29,960.00",,,,,
Amathole,(Disposable mask) No branding,Mr First Aid,1990/007637/07,Price quotation below R30 000.00,"Friday, March 27, 2020","R                                 3,146.40",,,,,
Amathole,(Disposable mask) No branding,Logan Medical & Surgical,2012/056508/07,Transversal Contract (RT76),"Tuesday, March 24, 2020","R                              16,100.00",,,,,
Amathole,(Disposable mask) No branding,Refhumudze Trading,2013/059185/07,Price quotation below R30 000.00,"Friday, March 27, 2020","R                                 4,700.00",,,,,
Amathole,(Disposable mask) No branding,Trendline Multi Service,2019/349455/07,Transversal Contract (RT32),"Friday, March 20, 2020","R                              27,750.00",,,,,
Amathole,(Disposable mask) No branding,ARCH Technology,2017/62066/07,RTCOVID19-004,"Thursday, May 14, 2020","R                            125,000.00",,,,,
Amathole,(heavy duty gloves) Premier nitrile,Motjilela,2005/051195/23,Price quotation below R30 000.00,"Tuesday, April 7, 2020","R                                 1,900.00",,,,,
Amathole,(Surgical gloves) No branding,Evergreen Latex,2002/057771/23,Transversal Contract (RT76),"Thursday, May 14, 2020","R                                 9,500.00",,,,,
Amathole,"1.Gloves protect your hands-CE4051;  2.Garden master 2litre Bottle;  3.Omron
Gentle Temperature Thermometer Infrared Forehead Scanner;  4.Povidine Iodine
Scrub",Apex Yenkosi,2017/258272/07,Price quotation below R30 000.01,"Friday, March 27, 2020","R                              29,650.00",,,,,
Amathole,1.Nitrile Examination Powder Free Gloves,  2.FDA Face Mask,Zondiphase,2014/172473/07,Price quotation below R30 000.03,"Tuesday, April 7, 2020","R                              25,900.00",,,,
Amathole,3 layer Cloth Masks,Mdazane Investments,2018/561785/07,Price quotation below R30 000.00,"Tuesday, June 9, 2020","R                                 1,540.00",,,,,
Amathole,Alcohol hand rub sanitiser 80% (prime safe),Lechoba Medical Technologies,2005/044442/07,RTCOVID19-008,"Thursday, May 14, 2020","R                            151,875.00",,,,,
Amathole,Anti bacterial hand sanitiser 70% alcohol,Govindsamy Subramoney,Sole Proprietorship,Price quotation below R30 000.00,"Monday, April 27, 2020","R                              29,827.60",,,,,
Amathole,Anti bacterial hand sanitiser 70% alcohol,IT Care Chemicals Supplies,2015/102820/07,RTCOVID19-004,"Thursday, May 21, 2020","R                            180,000.00",,,,,
Amathole,BARRS sterisol antiseptic hand rub with emolient,BARRS Phamaceuticals Industry,2012/056577/07,Transversal Contract (RT300),"Thursday, March 19, 2020","R                                 1,641.00",,,,,
Amathole,Barrs Sterisol-70% Chlorexidine,BARRS Phamaceuticals Industry,2012/056577/07,Transversal Contract (RT300),"Monday, May 11, 2020","R                                 2,461.50",,,,,
Amathole,Barrs Sterisol-70% Chlorexidine,BARRS Phamaceuticals Industry,2012/056577/07,Transversal Contract (RT300),"Friday, March 27, 2020","R                                 3,282.00",,,,,
Amathole,Bleach bio-chem,Inyathi Sales,2001/045499/23,Price quotation below R30 000.00,"Wednesday, April 8, 2020","R                                 9,000.00",,,,,
Amathole,"Boots, all sizes",BBF Safety Group,2012/056577/07,Transversal Contract (RT59),"Friday, July 24, 2020","R                                 8,217.50",,,,,
Amathole,Clarco Hygiene Watreless Hand Sanitizer 70%,East view Trading,2007/116803/23,Price quotation below R30 000.02,"Tuesday, March 31, 2020","R                              12,330.00",,,,,
Amathole,Claro hygiene waterless hand sanitiser 70% isopryl alcohol,East View Trading 75,2007/116803/23,Price quotation below R30 000.00,"Thursday, April 16, 2020","R                              29,348.00",,,,,
Amathole,"COVID-19 response face mask, 3ply disposable earloop face mask",ARC Technology,2017/162066/07,RTCOVID19-004,"Wednesday, June 24, 2020","R                              31,250.00",,,,,
Amathole,Decontamination,Othie PCS Projects,2018/394311/07,Price quotation below R30 000.00,"Tuesday, July 28, 2020","R                              21,226.00",,,,,
Amathole,Decontamination,Magamve Management,2011/111818/07,Price quotation below R30 000.01,"Thursday, May 28, 2020","R                              29,400.00",,,,,
Amathole,Disposable scrub suit,Gibela Trade & Invest,2006/009815/23,Transversal Contract (RT32),"Friday, March 27, 2020","R                                 8,595.00",,,,,
Amathole,Disposable Surgical Gloves,Mdazane Investments,2018/561785/07,Price quotation below R30 000.00,"Tuesday, June 9, 2020",R                                    900.00,,,,,
Amathole,disposable Surgical Masks,Mdazane Investments,2018/561785/07,Price quotation below R30 000.00,"Tuesday, June 9, 2020","R                                 6,240.00",,,,,
Amathole,E-thick bleach sodium hypochloride,Eddas Trading,2015/204423/07,Price quotation below R30 000.00,"Thursday, April 16, 2020","R                                3,400.00",,,,,
Amathole,E-thick bleach sodium hypochloride,Eddas Trading,2015/204423/07,Price quotation below R30 000.00,"Thursday, April 30, 2020","R                              10,400.00",,,,,
Amathole,Gloves disposable,Watlington Trading,2011/053816/23,Price quotation below R30 000.00,"Friday, July 24, 2020","R                              25,000.00",,,,,
Amathole,Gloves Premier nitrile,Fundam A Trading,2015/245341/07,Price quotation below R30 000.00,"Saturday, April 4, 2020","R                              26,000.00",,,,,
Amathole,"Goggles, safety clear",Mdazane Investments,2018/561785/07,Price quotation below R30 000.00,"Tuesday, June 9, 2020","R                                 7,000.00",,,,,
Amathole,"Goggles, safety clear",Alfrehutch Trading,2008/130764/23,Transversal Contract (RT32),"Friday, March 27, 2020","R                            249,250.00",,,,,
Amathole,Initial foam hand sanitiser 70 % alcohol multipurpose antibacterial foam,Rentokil Initial,1967/013286/07,Petty Cash,"Wednesday, March 18, 2020","R                                 1,610.00",,,,,
