FREE STATE AND NORTHERN CAPE,,,,,,,,,,,
REGION,,,,,,,,,,,
ITEM DESCRIPTION,NAME OF SUPPLIER,COMPANY REGISTRATION NO,PROCUREMENT PROCESS FOLLOWED,ORDER NUMBER,ORDER DATE,UNIT OF MEASURE,ORDER,UNIT PRICE,ORDER VALUE,,
,,,('TRANSVERSAL CONTRACT NO/SUPPLIER,,,,QUANTITY,,,,
,,,IDENTIFIED BY TREASURY/DEVIATION/,,,,,,,,
,,,PROCUREMENT METHOD),,,,,,,,
GOEDEMOED,,,,,,,,,,,
Gloves surgical  (each),Evergreen Latex,2002/057771/23,RT 76-2019,GDM 445,2020.03.18,Each Pair,4,R1.56,"R6,240.00",,
Hand sanitizer,Barrs Pharmace,2012/056577/07,RT300,GDM434,2020.03.19,each,2,R16.41,"R32,820.00",,
Temperature Scanner,East View Trading,2007/116803/23,Quotation,GDM442,3/20/2020,Each,5,"R1,890.00","R9,450.00",,
Mask N95 (each),Lechoba Medical Technology,2005/044442/07,RT 32-2019,GDM433,3/20/2020,Each,5,R18.75,"R93,750.00",,
Sanitizer  Hand (Per litre),Tripple N Medical Distributions,2011/129850/07,RT 300,GDM435,3/20/2020,Litre,2,R84.33,"R1 68,660.00",,
Disposable Gown,ARG Technologies,2017/162066/07,RT 32-2019,GDM436,3/20/2020,Each,2,R75.00,"R150,000.00",,
Full face shield (Protective goggles ),ARG Technologies,2017/162066/07,RT 32-2020,GDM444,3/21/2020,Each,850,R28.00,"R23,800.00",,
Over shoe non woven (single use),Medical International,2007/023366/23,RT 32-2019,GDM447,3/25/2020,Each,100,R19.23,"R1,923.00",,
Non Sterile Golves,Evergreen Latex,2002/057771/23,RT 76-2019,GDM445,3/18/2020,Each,4,R1.56,"R6,240.00",,
Sleeve protector (single use),Medi-Core Technologies,2013/198711/07,RT 32-2019,GDM448,3/25/2020,Each,10,R0.22,"R2,200.00",,
boot covers,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM1009,4/21/2020,bov,50,R1.30,"R6,500.00",,
digital thermometers,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM1009,4/21/2020,each,10,"R1,888.50","R18,885.00",,
biohazard bags,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM1009,4/21/2020,each,20,R1.80,"R36,000.00",,
shoe string bags,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM1009,4/21/2020,each,1,R25.50,"R25,500.00",,
