GAUTENG REGION,,,,,,,,,,,
ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"Procurement Process
Followed",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,,
,,,,,,,,,,,
Gloves Cleaning Heavy duty (each),Kgosi botshelo,2013/168791/07,Quotation,AH-565519,2020.05.04,1400,R              1 9.80,"R                          27,720.00",,,
Infra-Red Electronic Thermometers.,Multisurge PTY LTD,2014/170364/07,RT76,AH-565501,2020.04.08,20,"R         2,300.00","R                          46,000.00",,,
sleeve protector,Medicore Technologies,2013/198711/07,RT32,AH-565479,2020.03.26,1000,R                0.22,R                                220.00,,,
Mask N95,Liora Medical Suppliers,2011/013434/23,RT32,AH-565490,2020.03.20,15390,R                5.35,"R                          82,336.50",,,
Medical hand sanitizer,Lechoba medical,2005/044442/07,RT COVID 19-008,AH-565511,2020.04.16,1000,R              6 0.75,"R                          60,750.00",,,
Goggles,Lechoba medical,2005/044442/07,RT COVID 19-016,AH-565511,2020.01.16,30,R              6 5.90,"R                             1,977.00",,,
Digital body thermometer,Lechoba medical,2005/044442/07,RT COVID 19-018,AH-565511,2020.01.16,20,"R         1,348.99","R                          26,979.80",,,
Mask surgical standard,Lechoba medical,2005/044442/07,RT COVID 19-004,AH-565512,2020.04.17,250,R              1 0.99,"R                            2,747.50",,,
Protective cover bodysuit,Lechoba medical,2005/044442/07,RTCOVID 19-014,AH-565512,2020.04.17,50,R            358.99,"R                          17,949.50",,,
Suit scrap,Logan Medical and Surgical,2012/056508/07,RT32,AH-565482,2020.03.18,30,R              1 7.33,R                                519.90,,,
Decontamination,NEOWAN,2014/033967/07,BVP108/2020,AH-565525,2020.07.02,45000m2,R                4.03,"R                        1 81,125.00",,,
"sanitizer hand 500 ml
sanitizer hand 500 ml",BARS Pharmoceuticals industries pty lt,2012/056577/07,RT300,AH-565486,20.03.19,10000,R              1 5.92,"R                        1 59,200.00",,,
,BARS Pharmoceuticals industries pty lt,2012/056577/07,RT300,"AH-565488
BV-008129",20.03.20,10000,R              1 6.41,"R                        1 64,100.00",,,
Tents,Nkhumise roux supplies & services,2018/443261/07,Price Quotation,BV-008177,2020.06.19,4,"R       22,940.77","R                          91,763.10",,,
Mask surgical,Alibratech Investment Trading,2012/019426/07,"FROM PPE COVID 19
SUPPLIER LIST",AH-565526,2020.07.29,29000,R              1 0.22,"R                        2 96,380.00",,,
Visor/face shield,Alibratech Investment Trading,2012/019426/07,"FROM PPE COVID 19
SUPPLIER LIST",AH-565526,2020.07.29,2700,R            108.00,"R                        2 91,600.00",,,
Coveralls,Alibratech Investment Trading,2012/019426/07,"FROM PPE COVID 19
SUPPLIER LIST",AH-565526,2020.07.29,1040,R            286.20,"R                        2 97,648.00",,,
Wall mounted sanitizer machine,Leglow Trading enterprise,2018/088576/07,Quotation,AH-565518,2020.05.04,10,"R         1,700.00","R                          17,000.00",,,
,,,,,,,,"R                     1,766,016.30",,,
,,,,,,,,,,,
ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"RT Contract/Quotation
Number",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,,
Masks Surgical (each),IMPERIAL HEALTH SUPPLIER,1993/003465/07,COVID-19,A-476815,22/04/2020,80,R            624.00,"R                          49,920.00",,,
Sanitizer  Hand (Per litre),BARRS PHARMACEUITICAL,2012/056577/07,RT32,G-106380,3/20/2020,2000,R              1 5.79,"R                          31,580.00",,,
Full face shield (Protective goggles ),LECHOBA MEDICAL,2005/044442/07,RTCOVID-19-016,G-106399,3/24/2020,200,R              3 8.81,"R                            7,762.00",,,
Non Sterile Golves,DKT3 CONSULTING,2017/510363/07,"Quotations below R30
000.00",A-476806,3/4/2020,200,R            149.50,"R                          29,900.00",,,
Temperature Scanner,LECHOBA MEDICAL,2005/044442/07,RTCOVID-19-018,G-109399,3/24/2020,220,"R         1,539.75","R                        3 38,745.00",,,
Linen Savers,MEDDREG TECHNOLOGY,2003/014869/23,RT32,G-109850,3/20/2020,2000,R                1.04,"R                             2,080.00",,,
Disposable Gown,PROMED TECHNOLOGY,2014/162486/07,RT32,G-109845,3/20/2020,200,R              2 3.83,"R                            4,766.00",,,
Sanitizer,PAINO TRADING,2012/178955/07,"Quotations below R30
000.00",A-476803,3/27/2020,240,R            120.00,"R                          28,800.00",,,
Coveralls meduim,LECHOBA MEDICAL,2005/044442/07,NDOH/NT,A-476813,14/04/2020,50,R            358.99,"R                          17,949.50",,,
Coveralls 2xlarge,LECHOBA MEDICAL,2005/044442/07,NDOH/NT,A-476813,14/04/2020,50,R            358.99,"R                          17,949.50",,,
Sanitizer 400ml,LECHOBA MEDICAL,2005/044442/07,NDOH/NT,A-476813,14/04/2020,2000,R              6 0.75,"R                        1 21,500.00",,,
Decontamination,MAANDA NES INVESTMENTS,2014/098098/07,Price Quotation,A-476828,25/06/2020,1,"R         8,547.00","R                            8,547.00",,,
Decontamination,CLIFFMIXWELL TRADING,2017/324146/07,Formal Price Quotation,A-476829,01/07/2020,76,R                2.50,"R 190,000.00",,,
,,,,,,,,"R                        8 49,499.00",,,
ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"RT Contract/Quotation
Number",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,,
Sanitizer covid 19,Kiarah Chemicals,2002/015423/23,QA-003492, QJHB38/2020,JB-013299,08 May 2020,3750,R 81.4100,"R                        3 05,287.50",,
Mask Medical,Blue Magnolia Trading,2004/040087/23,Covid-19,JB-013311,08 May 2020,"1,6",R 14.9500,"R                          23,920.00",,,
sprayer pesticide,mothomong trading,2007/138176/23,QA-003504,JB-013384,25 May 2020,20,"R 1,200.0000","R                          24,000.00",,,
