EGION,TOTAL AMOUNT SPEND,,,,,,,,,,
HEAD OFFICE,53402159.91,,,,,,,,,,
GAUTENG,20546435.70,,,,,,,,,,
WESTEN CAPE,31819147.82,,,,,,,,,,
EASTEN CAPE,10240353.52,,,,,,,,,,
LIMPOPO MPUMALANGA AND NOTHWEST,11095455.88,,,,,,,,,,
FEESTATE AND NOTHEN CAPE EGION,8071331.90,,,,,,,,,,
KWAZULU NATAL,26434006.23,,,,,,,,,,
TOTAL AMOUNT,127103552.83,,,,,,,,,,
HEAD OFFICE,,,,,,,,,,,
ITEM DESCIPTION,SUPPLIE NAME,COMPANY EGISTATION NO,POCUEMENT POCESS FOLLOWED,ODE DATE,UNIT OF MEASUE,UNIT PICE,ODE QUANTITY,TOTAL PICE,,,
Suface and hand sanitize,Altis Biologics,2002/021295/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",27-Ma-20,25l,2029.75,40,81190.00,,,
Ago knapsack spaye 12l bottle,Altis Biologics,2002/021295/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",27-Ma-20,Each,447.62,20,8952.30,,,
N95 masks,Tefla Goup T/A Gaufloa CC,2007/031940/23,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",28-Ma-20,Each,48.88,100000,4888000.00,,,
Latex  gloves,Tefla Goup T/A Gaufloa CC,2007/031940/23,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",28-Ma-20,Pai,5.52,300000,1656000.00,,,
Sanitize hand 70% alcohol,Tefla Goup T/A Gaufloa CC,2007/031940/23,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",28-Ma-20,25l,2702.50,1000,2702500.00,,,
Sugical masks,Bontle Ba MaAfica Clothing,2002/049694/23,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",28-Ma-20,Each,33.35,300,10005.00,,,
Nitile gloves,Bontle Ba MaAfica Clothing,2002/049694/23,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",28-Ma-20,Box of 100,402.50,28,11270.00,,,
Latex  gloves,Ndzalama Entepise Pojects,2015/052123/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",28-Ma-20,Box of 100,250.00,300,75000.00,,,
3 Ply Sugical masks,Ndzalama Entepise Pojects,2015/052123/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",28-Ma-20,Each,25.00,4000,100000.00,,,
Sugical masks,Isibane Taining (Pty) Ltd,2016/481835/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",28-Ma-20,Each,26.22,20000,524400.00,,,
