CAMPUS,SUPPLIER NAME ETHOD OF PROCUREMEI,Method of Procurement,DESCRIPTION,ODER AMOUNT
AP,Musenga RFQ,RFQ,SANITIZER,"R52 496,50"
AP,Mothwanape Emergency,Emergency,DISINFECTION MAIN BUILDING,"RS0 000,00"
AP,Mothwanape RFQ,RFQ,DISINFECTION OF ROODEPLAAT,"R7772,03"
AP,Mix Creation RFQ,RFQ,3 PLY MASK,"R25 000,00"
AP,Labotec RFQ,RFQ,THERMOMETER,"Rl 092,50"
AP,Antivirus Trading RFQ,RFQ,DISINFECTION OF NCECA,"R9 525,00"
AP,Mothwanape Emergency,Emergency,DISINFECTION OF MEAT SCIENCE,"R38 785,40"
AP,Solani trading RFQ,RFQ,SANITIZER AND THERMOMETER,"R74 940,00"
lnfruitec,Body shop Petty cash,Petty Cash,hand sanitiser & wipes,"R239,90"
lnfruitec,Crazy Store and Body shop Petty cash,Petty Cash,"Spray bottles , aloe gel , oils","R887,30"
lnfruitec,Laborem Lab Supplies RFQ,RFQ,Spray bottles,"R455,70"
lnfruitec,The Crazy Store Petty cash,Petty Cash,Spray bottles,"R300,70"
lnfruitec,Die Boord Pharmacy Petty cash,Petty Cash,Thermometer & batteries,"R1412,90"
lnfruitec,Bidvest Steiner Petty cash,Petty Cash,Masks,"Rl 719,48"
lnfruitec,Bidvest Steiner Petty cash,Petty Cash,Hand sanitiser spray,"Rl 932,00"
lnfruitec,Clicks Petty cash,Petty Cash,Wet wipes,"R445,15"
lnfruitec,Steiner Hygiene (Pty) Ltd Emergency,Emergency,Ster-fog spray once-off,"R34 776,31"
lnfruitec,Steiner Hygiene (Pty) Ltd RFQ,RFQ,Thermometers,"R16 675,00"
lnfruitec,Petty cash Petty cash,Petty Cash,Batteries,"R240,00"
lnfruitec,Petty cash Petty cash,Petty Cash,Spray bottels,"R443,15"
lnfruitec,ETHANOL SA RFQ,RFQ,Ethanol,"R9 648,50"
lnfruitec,MOONSTONE INVESTMENTS 15 RFQ,RFQ,Spray bottels and wipes,"R10 723,75"
lnfruitec,Mr Farmer CC RFQ,RFQ,Cloth Masks,"R25 875,00"
lnfruitec,FORMS MEDIA INDEPENDENT AFRI( RFQ,RFQ,Steri-stands,"R21562,50"
lnfruitec,MOONSTONE INVESTMENTS 15 RFQ,RFQ,Lavender Oil,"Rl 495,00"
lnfruitec,STEINER HYGIENE RFQ,RFQ,Steri-fog chemicals,"R10 891,65"
TSC,Steiner Hygiene RFQ,RFQ,Hand Sanitiser 70% gel 25L,"R89 635,60"
TSC,Steiner Hygiene RFQ,RFQ,Surgical Masks Box of 50,"R114425,00"
TSC,Mandi and Prich RFQ,RFQ,3 Layers Cloth Face Masks,"R10 500,00"
TSC,Supra Healthcare Johannesburg,RFQ,Disposable Face Shield,"R861,06"
TSC,Supra Healthcare Johannesburg,RFQ,Thermometer Non-Contact lnfrared,"R43 125,00"
TSC,Love and Charm Trading,RFQ,Disinfecting of buildings,"RlS 909,68"
TSC,Courier-IT SA,RFQ,Courier Services,"R314,26"
TSC,Die Humansdorpse Kooperasle,RFQ,"Disposable surgical type face masks, Box of 50","R25 012,50"
TSC,Die Humansdorpse Kooperasie,RFQ,"Hand and surface sanatiser, 70% alcohol, per L","R3 069,93"
TSC,Die Humansdorpse Kooperasie,RFQ,"Spray bottle, 1L","R985,78"
PHP,Musenga,RFQ,PPE,"R83 621,04"
PHP,Laborem,RFQ,PPE,"R9 157,45"
PHP,Steiner Hygiene,Deviation,Disinfection of office(deep cleaning of office space,"R4 312,50"
PHP,Steiner Hygiene,RFQ,Disinfection of office(deep cleaning of office space,"Rl 863,78"
PHP,AA Mosaka,Deviation,Disinfection of office(deep cleaning of office space,"R59 122,01"
PHP,Petty cash,Petty cash,Thermometers,"R7 000,00"
IC,Absolute office Pty Ltd,RFQ,"PPE (SX BOX of Masks, 3X Box of Nitrile gloves & 4X 2SL
70% alcohol based hand sanitizer & Re-useable and
washable mask)","R25 330,64"
IC,Aug Behrens Pty Ltd,RFQ,Purchase of 3 scanning machine,"R8 895,70"
IC,Redspot Soap CC,RFQ,"Office space disinfection completed prior to the return
of employees","R29 997,25"
SG,Pick 'n Pay,Petty Cash,Hand Sanitizers,"R359,80"
SG,Aida's Interiors,Petty Cash,Face Masks-Crop protection,"Rl 000,00"
