Name of the Supplier,"Company Registration
 Numbers",Covid 19 Items Supplied,"Volume
 (Quantity)",Cost/Item,UOM,Amount
 Be Sure Events,2014/096753/07,Masks FFP2,40000,R54.00,Ea.,"R         2,160,000.00"
 Be Sure Events,2014/096753/07,Gloves,2940,R200.00,Box of 100,"R            588,000.00"
 Be Sure Events,2014/096753/07,Nitrile Gloves,1000,R250.00,Box of 100,"R            250,000.00"
 Be Sure Events,2014/096753/07,70% Alcohol Sanitisers,10620,R592.00,5L,"R         6,287,040.00"
 Leitam,1994/030134/23,Surgical Masks,12000,R18.50,Ea.,"R            222,000.00"
 Leitam,1994/030134/23,Gloves,157,R195.00,Box of 100,"R              30,615.00"
 Leitam,1994/030134/23,70% Alcohol Sanitisers,5015,R565.00,5L,"R         2,833,475.00"
 Leitam,1994/030134/23,Decant Bottle,10000,R20.00,Ea.,"R            200,000.00"
 Shaneal Distributors,1993/013522/23,Gloves,327,R150.00,Box of 100,"R              49,050.00"
 Mudok,2014/220073/07,Nitrile Gloves,41,R249.00,Box of 100,"R              10,209.00"
 Phiritona Holdings,2014/116485/07,Masks FFP1,1000,R44.85,Ea.,"R              44,850.00"
 Phiritona Holdings,2014/116485/07,Gloves,20,R150.00,Box of 100,"R                3,000.00"
 Phiritona Holdings,2014/116485/07,Decant Bottle,300,R15.00,Ea.,"R                4,500.00"
 Phiritona Holdings,2014/116485/07,1L Sanitiser,100,R146.00,Ea.,"R              14,600.00"
 MA Executive,2004/006551/23,Gloves,50,R200.00,Box of 100,"R              10,000.00"
 MA Executive,2004/006551/23,500 ml Sanitiser,1000,R43.50,Ea.,"R              43,500.00"
 MA Executive,2004/006551/23,125 ml Sanitiser,1500,R18.50,Ea.,"R              27,750.00"
 Brand Enterprise,2016/422948/07,Gloves,100,R135.00,Box of 100,"R              13,500.00"
 Brand Enterprise,2016/422948/07,Sanitiser,50,R239.00,5L,"R              11,950.00"
 Jay's Printer,1966/004687/07,Gloves,10,R135.00,Box of 100,"R                1,350.00"
 Jay's Printer,1966/004687/07,Sanitiser,200,R32.50,Ea.,"R                6,500.00"
 Valmac Stationers,2009/013201/23,Gloves,225,R115.50,Box of 100,"R              25,987.50"
 MR Agencies,2018/373474/07,Gloves,10,R120.00,Box of 100,"R                1,200.00"
 MN Investments,2018/020888/07,200ml Sanitisers,39,R150.00,Ea.,"R                5,850.00"
 MN Investments,2018/020888/07,500ml  Sanitisers,18,R210.00,Ea.,"R                3,780.00"
 Datapower,2004/072898/23,750ml Sanitiser,26,R100.00,Ea.,"R                2,600.00"
 Datapower,2004/072898/23,Sanitiser,1,R600.00,5L,R                   600.00
 LNV Logistics,2008/077869/23,Sanitiser Dispenser,30,R434.86,Ea.,"R              13,045.80"
 LNV Logistics,2008/077869/23, Sanitiser Device Installation,30,R146.19,Ea.,"R                4,385.70"
 Be Sure Events Solutions,2014/096753/07,"Infrared Thermometers Incl. 2 sets of
 Batteries",1320,"R     1 ,700.00",ea.,"R        2,244,000.00"
 Be Sure Events Solutions,2014/096753/07,Perspex Sheets[3m x 2m],150,"R     2 ,850.00",ea.,"R           427,500.00"
 Be Sure Events Solutions,2014/096753/07,Fogging Machine,5,"R   3 0,000.00",ea.,"R           150,000.00"
 Be Sure Events Solutions,2014/096753/07,Fogging Machine Peroxide,135,R        666.66,ea.,"R             89,999.10"
 Be Sure Events Solutions,2014/096753/07,70% Alcohol Sanitiser 5L,18000,R        230.00,5L,"R        4,140,000.00"
 Matongoni General Trading,213/049887/07,Cloth Masks,6000,R          25.00,ea.,"R           150,000.00"
 Matongoni General Trading,213/049887/07,Pressure Pump Bottles,1444,R        450.00,ea.,"R           649,800.00"
 Matongoni General Trading,213/049887/07,70% Alcohol Disinfectant Liquid 5L,6000,R        185.00,5L,"R        1,110,000.00"
 Matongoni General Trading,213/049887/07,DecantGun Spray Bottles,3000,R          21.00,ea.,"R             63,000.00"
 Matongoni General Trading,213/049887/07,70% Alcohol Disinfectant Liquid 5L,18000,R        180.00,5L,"R        3,240,000.00"
 Madendele Consulting,2012/197275/07,Cloth Masks,18000,R          25.00,ea.,"R           450,000.00"
 Madendele Consulting,2012/197275/07,Soft PVC Face Screen Shields,4000,R          27.50,ea.,"R           110,000.00"
 Madendele Consulting,2012/197275/07,"Infrared Thermometers Incl. 2 sets of
 Batteries",650,"R     1 ,700.00",ea.,"R        1,105,000.00"
 Mobeniko Trading & Projects,2016/012892/07,Cloth Masks,12000,R          25.00,ea.,"R           300,000.00"
