Supplier Name,Director Name,Director Surname,Company Registration,CSD Supplier  Number,Location,District,Departme,tOrder Price,
IKAMVALESIZWE TRADERS,Lindelwa,Mbanjwa,2015/225484/07,MAAA0043714,Eastern Cape,Buffalo City,ECPACC,4500.00,
VIRITRIM,Khuthel,Bovu,2010/054201/23,MAAA0132575,Eastern Cape,Buffalo City,ECPACC,13600.00,
Ice Breaker,NTOMBIKAYISE EDITH,DUBULA,2005/144536/23,MAAA0062511,Eastern Cape,OR Tambo,DOH,37090739.92,
URBAN ODYSSEY,Kanya,Mohaji,2019/131490/07,MAAA0800528,Eastern Cape,OR Tambo,ECSECC,15005.00,
Amzluyo Enterprise,Ndileka,Matshingana,2014/028282/07,MAAA0198074,Eastern Cape,Buffalo City,ECPTA,195400.00,
SM Sales,Freda,Drummond,2016/377366/07,MAAA0414920,Eastern Cape,OR Tambo,ECPTA,132329.00,
MMA Enterprise,Mbongeni,Mavuso,2015/038210/07,MAAA0913412,Eastern Cape,Buffalo City,ECPTA,620.00,
Just on cosmetics,Bulumko,Mosho,2017/299711/07,MAAA0492260,Eastern Cape,Buffalo City,ECPTA,15.00,
AMINA CHEM (PTY)LTD,TENIEL,SUTTON,2010/018248/07,MAAA0127803,Eastern Cape,Buffalo City,ECPTA,31750.00,
Bidvest Steiner,Magdeline,Nomeh,2000/011155/07,MAAA0247617,Eastern Cape,Buffalo City,ECPTA,35413.68,
Damita Holdings,Yoliswa,Tshongwane,2010/017039/07,MAAA0849863,Eastern Cape,Buffalo City,ECPTA,62500.00,
Insight office furniture,Dean,Davis,2016/463033/07,MAAA0047173,Eastern Cape,Buffalo City,ECPTA,17250.00,
Deep Clean services,Narendra,Ranchhod,IT 353/2013,MAAA0403763,Eastern Cape,Sarah Baartman,ECPTA,26010.00,
Garret Assemblies,Vennesa,Walters,1986/013125/23,MAAA0234220,Eastern Cape,Buffalo City,ECPTA,44780.86,
Red Alert,Martin,Harvey,1981/010813/07,MAAA0163474,Eastern Cape,Buffalo City,ECPTA,3450.00,
Saffys Projects,Christine,Saffy,2019/412994/07,MAAA0911668,Eastern Cape,Buffalo City,ECPTA,21677.50,
Koloni Consulting Enterprise,Pumeza,Gwija,2010/173887/23,MAAA0371611,Eastern Cape,Buffalo City,DOH,35579460.00,
Investorex 28,Belinda,Brink,2017/365547/07,MAAA0038500,Eastern Cape,Buffalo City,DOH,35071182.00,
Abasemonti Constr,Thembeka,Mbali-Tyatyantsi,2004/119309/23,MAAA0045005,Eastern Cape,Buffalo City,DOH,33750940.00,
Nuticraft,Bulelani Eric,Lugogwana,2018/257834/07,MAAA0624183,Eastern Cape,Chris Hani,ECDC,28175.00,
Eyamantlane Trading,Nosicelo,Volontiya,2015/067208/07,MAAA0114184,Eastern Cape,Chris Hani,ECDC,47300.00,
EconoLab EC t/a Milu Trading,Ncumisa,Adams,2019/461716/07,MAAA0921095,Eastern Cape,Nelson Mandela Bay,DOH,16000000.00,
Abantsundu Construction,Joyce,Nondela,2017/274657/07,MAAA0912596,Eastern Cape,OR Tambo,DOH,12254641.80,
Fabkomp (Pty) Ltd,Riaan Pieter,Swanepoel,2001/025525/07,MAAA0077066,Eastern Cape,Buffalo City,DOH,10148750.00,
Ilinge Labantu Trading,Unathi Emmanuel,Bokolo,2010/175509/23,MAAA0290743,Eastern Cape,Buffalo City,DOH,8842516.52,
My Like General,Bandile Siyabonga,Mbewu,2019/441548/07,MAAA0833183,Eastern Cape,Alfred Nzo,DOH,7560000.00,
Boarder Hazmat,Vanessa,Kilian,2010/024402/23,MAAA0215389,Eastern Cape,Buffalo City,DOH,5750000.00,
Zencare Medical,Iris Likomo,Sicwebu,2016/527310/07,MAAA0506837,Eastern Cape,Nelson Mandela,DOH,5714000.00,
East Cape X-Ray,Yolisa and Siyabulela,Roloma and Dyantyi,1995/046552/23,MAAA0073070,Eastern Cape,Nelson Mandela Bay,DOH,5380016.52,
DANTONETIX (PTY) LTD,KHANYISA,Ncana,2016/515255/0,MAAA0488360,Eastern Cape,Amathole,DOE,4527981.95,
KUP'S TRADING (PTY)LTD,Sigqibo,Makupula,2006/173325/23,MAAA0764425,Eastern Cape,Chris Hani,DOE,4066514.30,
CTLS PROJECTS,Luntu,Somyalo,2014/171051/07,MAAA0415536,Eastern Cape,Buffalo City,DOE,4018347.73,
NUTIGEN,Phumlani,Nene,2018/337822/07,MAAA0801695,Eastern Cape,Buffalo City,DOH,4003550.00,
ZONDIPHASE CONSULTING,Clive,Lingham,2014/172473/07,MAAA0390638,Eastern Cape,Buffalo City,DOE,3883739.20,
PHATU AND THINA TRADING,Phatuxolo,Monakali,2009/046700/23,MAAA0361165,Eastern Cape,Buffalo City,DOE,3740988.74,
MDK Technology Solutions,Lwando,Madikane,2016/141589/07,MAAA0829943,Eastern Cape,Buffalo City,DOH,3685000.00,
"Anam and Lulo Trading (Pty)
Ltd",Vuyolwethu,Skeyi,2015/306672/07,MAAA0084514,Eastern Cape,Nelson Mandela Bay,DOE,3560589.16,
