NO,COMMODITIES/ TYPES OF SERVICES,ORDER NUMBER,SERVICE PROVIDER,ORDERED QTY,AWARDED AMOUNT,DELIVERED QTY,PAID AMOUNT,PROCURMENT METHOD/ PROCESS FOLLOWED,STATUS
1,"Supply and Delivery of masks surgical face standard, type 1, procedure mask with elastic
earloop, single use and latex free; for patient procedures, different colour acceptable; label
on packaging to state; bacterial filtration efficiency of product, latex content; box of 50",OR-053283,Multisurge PTY LTD,1908,"R877,680",1908,"R877,680",RTCOVID19-004,Fully delivered
1,Supply and Delivery of 5 litre of Bottle Disinfectant.,OR-053291,Promed Technologies PTY LTD,500,"R45,000",500,"R45,000",RTCOVID19-012,Fully delivered
1,Supply and Delivery of Digital Body Thermometer Infrared Non Nontact,OR-053289,Multisurge PTY LTD,57,"R131,100",57,"R131,100",RTCOVID19-018,Fully delivered
1,"Supply and deliver 500ml alcohol gel hand sanitizers (3500 quantities) and 3-ply earloop
surgical masks 250 boxes (boxes of 100 pieces)",OR-053159,Kanga Business Management,3750,"R494,500",3750,"R494,500",Price Quotation through Central Supplier Database,"Fully delivered. Please note that the department is in the process of
investigating a complain received by the client about the service provider
on the allegations of substandard quality of the sanitizes delivered and for
fraudulently using the complainant 's name. The department is also
compiling information requested by the SIU regarding orders, quotaions,
payments made to the same service provider."
1,Supply and delivery of 500ml Alcohol Gel Hand Sanitizers,OR-053287,Tara Healthcare PTY LTD,1820,"R179,270",1820,"R179,270",RTCOVID19-008,Fully delivered
1,Supply and Delivery of Wet Wipes pack of 30 (70% Alcohol),OR-053292,Tara Healthcare PTY LTD,2000,"R190,000",2000,"R190,000",RTCOVID19-010,Fully delivered
1,"Supply and delivery of Mask- 3 layers of fabric ( As per the DTIC guidelines and
specifications)
Colour : Green",OW-053288,F & A Consulting,10000,"R200,000",10000,"R200,000",Price quotation through Central Supplier Database (CSD),Fully delivered
1,"Supply and delivery of Glove, examination, non-sterile, type 2 (gloves made primarily from
nitrile rubber latex, polychloroprene rubber latex, styrene-butadiene rubber solution,
styrene - butadiene rubber emulsion or thermoplastic-elastomer solution), single use,
Powder free, Ambidextrous. SANS 11193-1, Box of 100 gloves, Size: Medium, Large and X-
Large",OR-053302,Comet Group,"407 Boxes (M)
551 Boxes (L)
59 Boxes (XL)","R48,816",Not yet,"R48,816",Price Quotation throgh Central Supplier Database (CSD),Fully delivered
1,"Disinfecting/Fogging of Regional offices in all nine (09) Provinces:
GP:",OW-053290,Baleya Civil Construction,1,"120330",30,"120330",Price Quotation through Central Supplier Database (CSD),Fully delivered
1,Disinfecting/Fogging NC:,Manual order,Mamulo Trading and Projects,1,"27870",30,"27870",Price Quotations through Central Supplier Database (CSD),Fully delivered
1,Disinfecting/fogging WC: Harbours in Cape Town,Manual order,Mamulo Trading and Projects,1,R563,Not yet,R563,Price Quotations through Central Supplier Database (CSD),Awaiting delivery
1,Disinfecting/Fogging WC:,Manual order,Mamulo Trading and Projects,1,"624976",30,"624976",Price Quotations through Central Supplier Database (CSD),Fully delivered
1,Disinfecting/Fogging NW:,Manual order,Mamulo Trading and Projects,1,"21849",30,"21849",Price Quotations through Central Supplier Database (CSD),Fully delivered
