Service provider,Amount spend to date,Accrual,Total
Bazix First (PTY) LTD,55 178.76,,55 178.76
Coop Private Services (PTY) LTD,158 336.64,,158 336.64
Crystal Black Group (PTY) LTD,227  937.22,,227 937.22
Lekhetho and Sons Trading (PTY) LTD,194 843.25,26 600.00,221 443.25
LT and T Business Enterprises (PTY) LTD,236 944.96,,236 944.96
Mountrow (PTY) LTD,562 133.74,,562 133.74
Nnoseng Motse (PTY) LTD,181 733.93,,181 733.93
Nomsa Zanele Projects,61 480.00,,61 480.00
Sehanyata General Trading,228 717.02,,228 717.02
Thabshad Trading and Projects (PTY) LTD,96 760.44,,96 760.44
Drezelrock,-,98 714.00,98 714.00
Unromax,-,105 411.88,105 411.88
PMX Trading and Projects,-,52 325.00,52 325.00
DOT Mpowo,-,415 277.52,415 277.52
K2014038096 Khothola,-,174 263.04,174 263.04
Paleil Trading Solution,-,125 249.04,125 249.04
Purple Envelope Strategies,-,95 696.16,95 596.16
Smouse Holding,-,51 353.40,51 353.40
Shirona,194 716.34,,194 716.34
Chatha Silkscreen,-,158 282.88,158 282.88
Matsapa,-,77 387.52,77 387.52
Tshwara Nako,-,257 325.09,257 325.09
Sakula General Trading,-,285 065.76,285 065.76
Sefudli Trading,-,33 260.64,33 260.64
Exclusive event services,6 252.09,,6 252.09
