NO,SUPPLIER,AMOUNT,Amount,APPOINTMENT DATE,PROCUREMENT PROCESS,,
1,,Item Description,Unit Price,18/03/2020,"NormalProcurementProcess(Atleastthree
quotations were received)
Sinceprocureditemswereestimatedanddidnot
exceedR500000.00,thenormalprocurement
processwasfollowed.Threequotationswere
requestedandobtainedfromthreesupplierand
theywereevaluatedaccordingto80/20
preferentialpointsystem.Theprocurement
processfollowedisinlinewithparagraph3.3.1 of
NationalTreasuryInstructionNote8of2007/08
“Accountingofficer/AccountingAuthorityshould
inviteandacceptwrittenpricequotationsfor
requirementsuptoanestimatedvalueofR500
000.00 from as many suppliers as possible, that are
registered on the list of prospective suppliers.”",,
1,"Olwe2 Project Management
Consultancy",Gloves (8000),R 2.52,18/03/2020,"NormalProcurementProcess(Atleastthree
quotations were received)
Sinceprocureditemswereestimatedanddidnot
exceedR500000.00,thenormalprocurement
processwasfollowed.Threequotationswere
requestedandobtainedfromthreesupplierand
theywereevaluatedaccordingto80/20
preferentialpointsystem.Theprocurement
processfollowedisinlinewithparagraph3.3.1 of
NationalTreasuryInstructionNote8of2007/08
“Accountingofficer/AccountingAuthorityshould
inviteandacceptwrittenpricequotationsfor
requirementsuptoanestimatedvalueofR500
000.00 from as many suppliers as possible, that are
registered on the list of prospective suppliers.”",,
1,"Olwe2 Project Management
Consultancy",1L Hand Sanitizer (1000),R 74.20,18/03/2020,"NormalProcurementProcess(Atleastthree
quotations were received)
Sinceprocureditemswereestimatedanddidnot
exceedR500000.00,thenormalprocurement
processwasfollowed.Threequotationswere
requestedandobtainedfromthreesupplierand
theywereevaluatedaccordingto80/20
preferentialpointsystem.Theprocurement
processfollowedisinlinewithparagraph3.3.1 of
NationalTreasuryInstructionNote8of2007/08
“Accountingofficer/AccountingAuthorityshould
inviteandacceptwrittenpricequotationsfor
requirementsuptoanestimatedvalueofR500
000.00 from as many suppliers as possible, that are
registered on the list of prospective suppliers.”",,
1,"Olwe2 Project Management
Consultancy",25L Disinfector (10),R 4032.09,18/03/2020,"NormalProcurementProcess(Atleastthree
quotations were received)
Sinceprocureditemswereestimatedanddidnot
exceedR500000.00,thenormalprocurement
processwasfollowed.Threequotationswere
requestedandobtainedfromthreesupplierand
theywereevaluatedaccordingto80/20
preferentialpointsystem.Theprocurement
processfollowedisinlinewithparagraph3.3.1 of
NationalTreasuryInstructionNote8of2007/08
“Accountingofficer/AccountingAuthorityshould
inviteandacceptwrittenpricequotationsfor
requirementsuptoanestimatedvalueofR500
000.00 from as many suppliers as possible, that are
registered on the list of prospective suppliers.”",,
1,"Olwe2 Project Management
Consultancy",Surgical Masks (10 000),R 30.00,18/03/2020,"NormalProcurementProcess(Atleastthree
quotations were received)
Sinceprocureditemswereestimatedanddidnot
exceedR500000.00,thenormalprocurement
processwasfollowed.Threequotationswere
requestedandobtainedfromthreesupplierand
theywereevaluatedaccordingto80/20
preferentialpointsystem.Theprocurement
processfollowedisinlinewithparagraph3.3.1 of
NationalTreasuryInstructionNote8of2007/08
“Accountingofficer/AccountingAuthorityshould
inviteandacceptwrittenpricequotationsfor
requirementsuptoanestimatedvalueofR500
000.00 from as many suppliers as possible, that are
registered on the list of prospective suppliers.”",,
1,"Olwe2 Project Management
Consultancy",TOTAL,R 500 000.00,18/03/2020,"NormalProcurementProcess(Atleastthree
quotations were received)
Sinceprocureditemswereestimatedanddidnot
exceedR500000.00,thenormalprocurement
processwasfollowed.Threequotationswere
requestedandobtainedfromthreesupplierand
theywereevaluatedaccordingto80/20
preferentialpointsystem.Theprocurement
processfollowedisinlinewithparagraph3.3.1 of
NationalTreasuryInstructionNote8of2007/08
“Accountingofficer/AccountingAuthorityshould
inviteandacceptwrittenpricequotationsfor
requirementsuptoanestimatedvalueofR500
000.00 from as many suppliers as possible, that are
registered on the list of prospective suppliers.”",,
2,"LECHOBAMEDICAL
TECHNOLOGIES (PTY) LTD",Protective Safety Goggles (200),R 56.43,20/03/2020,"AppointedaserviceproviderfromNational
Treasury Transversal contract
Onthe19/03/2020NationalTreasuryIssuedan
Instruction Note No. 8 of 2019/20 which instructed
AccountingOfficersandAccountingAuthoritiesto
utilisesuppliersaccreditedunderthetransversal
contractwhenprocuringPPE.Duetodaily
increasing demand of PPEs, the department placed
anorderwith(LECHOBAMEDICALTECHNOLOGIES
(PTY)LTD)whoisaccreditedundertheNational
Treasurytransversalcontract.Thisprocurementis
in line with National Treasury instruction note No 8
of 2019/20.",,
2,"LECHOBAMEDICAL
TECHNOLOGIES (PTY) LTD","Non-ContactInfraredThermometer
(27)","R 1,348.99",20/03/2020,"AppointedaserviceproviderfromNational
Treasury Transversal contract
Onthe19/03/2020NationalTreasuryIssuedan
Instruction Note No. 8 of 2019/20 which instructed
AccountingOfficersandAccountingAuthoritiesto
utilisesuppliersaccreditedunderthetransversal
contractwhenprocuringPPE.Duetodaily
increasing demand of PPEs, the department placed
anorderwith(LECHOBAMEDICALTECHNOLOGIES
(PTY)LTD)whoisaccreditedundertheNational
Treasurytransversalcontract.Thisprocurementis
in line with National Treasury instruction note No 8
of 2019/20.",,
2,"LECHOBAMEDICAL
TECHNOLOGIES (PTY) LTD",500ml Hand Sanitizer       (2 516),R 52.83,20/03/2020,"AppointedaserviceproviderfromNational
Treasury Transversal contract
Onthe19/03/2020NationalTreasuryIssuedan
Instruction Note No. 8 of 2019/20 which instructed
AccountingOfficersandAccountingAuthoritiesto
utilisesuppliersaccreditedunderthetransversal
contractwhenprocuringPPE.Duetodaily
increasing demand of PPEs, the department placed
anorderwith(LECHOBAMEDICALTECHNOLOGIES
(PTY)LTD)whoisaccreditedundertheNational
Treasurytransversalcontract.Thisprocurementis
in line with National Treasury instruction note No 8
of 2019/20.",,
2,"LECHOBAMEDICAL
TECHNOLOGIES (PTY) LTD","Respiratory Reusable Cloth Mask (10
250)",R 47.83,20/03/2020,"AppointedaserviceproviderfromNational
Treasury Transversal contract
Onthe19/03/2020NationalTreasuryIssuedan
Instruction Note No. 8 of 2019/20 which instructed
AccountingOfficersandAccountingAuthoritiesto
utilisesuppliersaccreditedunderthetransversal
contractwhenprocuringPPE.Duetodaily
increasing demand of PPEs, the department placed
anorderwith(LECHOBAMEDICALTECHNOLOGIES
(PTY)LTD)whoisaccreditedundertheNational
Treasurytransversalcontract.Thisprocurementis
in line with National Treasury instruction note No 8
of 2019/20.",,
2,"LECHOBAMEDICAL
TECHNOLOGIES (PTY) LTD",Promax Disposable Overalls (60),R 312.17,20/03/2020,"AppointedaserviceproviderfromNational
Treasury Transversal contract
Onthe19/03/2020NationalTreasuryIssuedan
Instruction Note No. 8 of 2019/20 which instructed
AccountingOfficersandAccountingAuthoritiesto
utilisesuppliersaccreditedunderthetransversal
contractwhenprocuringPPE.Duetodaily
increasing demand of PPEs, the department placed
anorderwith(LECHOBAMEDICALTECHNOLOGIES
(PTY)LTD)whoisaccreditedundertheNational
Treasurytransversalcontract.Thisprocurementis
in line with National Treasury instruction note No 8
of 2019/20.",,
2,"LECHOBAMEDICAL
TECHNOLOGIES (PTY) LTD",Visor- Full Face Shield (160),R 43.26,20/03/2020,"AppointedaserviceproviderfromNational
Treasury Transversal contract
Onthe19/03/2020NationalTreasuryIssuedan
Instruction Note No. 8 of 2019/20 which instructed
AccountingOfficersandAccountingAuthoritiesto
utilisesuppliersaccreditedunderthetransversal
contractwhenprocuringPPE.Duetodaily
increasing demand of PPEs, the department placed
anorderwith(LECHOBAMEDICALTECHNOLOGIES
(PTY)LTD)whoisaccreditedundertheNational
Treasurytransversalcontract.Thisprocurementis
in line with National Treasury instruction note No 8
of 2019/20.",,
