DHET:PROCUREMENT OF PPEs AS AT 06 AUGUT 2020,,,,,,,,,,,
No,SUPPLIER NAME,ITEM DESCRIPTION,Unit of Issue,Quantity,TOTAL COST,"Goods/
Services","Procuremetn
method","Deviation
(yes or no)",Deviation (a) why,Deviation  (b) detail,"What were the reasons that the goods/service were
purchased from a specified company"
1,"PRIME UNIVERSAL
FOODS T/A HELGA'S
RETAIL",Hand Sanitiser,250ml,30,"R        1,800.00",Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
2,"CHECKERS,
QUEENSWOOD",Savlon liquid,500ml,4,R           199.96,Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
3,"PRIME UNIVERSAL
FOODS T/A HELGA'S
RETAIL",Hand Sanitiser,250 ml,30,"R        1,800.00",Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
4,"PRIME UNIVERSAL
FOODS T/A HELGA'S
RETAIL",Hand Sanitiser,250 ml,30,"R        1,800.00",Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
5,"CHECKERS,
QUEENSWOOD",Savlon liquid,500ml,1,R             49.99,Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
6,"CHECKERS,
QUEENSWOOD",Detergent,1500ml,2,R             45.98,Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
7,"CYCLE MANIA,
WATERMEYER PARK","Anti-bacterial waterless
cleaner",300ml,40,"R        2,000.00",Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
8,L.M. SUPERMARKET,Latex Gloves,Box of 100,3,R             83.97,Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
9,EVERGREEN LATEX,Disposable gloves,Box of 100,100,"R        4,986.00",Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts."
10,"LIORA MEDICAL
SUPPLIES",Masks,Box of 50,600,"R        3,210.00",Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts."
