No,Item Description,Quantity,Amount,Name Of Supplier,COMPANY DIRECTOR
1,"Surgical Mask 50p/box (3ply, single-use)",8,R10660.00,Biolgica Pharmaceuticals PTY LTD,Nondumiso Yvonne Mzizana
2,Hand Sanitizer 70% Alcohol base 5lt refill,31,R60450.00,Biolgica Pharmaceuticals PTY LTD,Nondumiso Yvonne Mzizana
3,Surgical Gloves,70,R32200.00,Biolgica Pharmaceuticals PTY LTD,Nondumiso Yvonne Mzizana
4,"Surgical Mask 50p/box (3ply, single-use)",42,R55965.00,Biolgica Pharmaceuticals PTY LTD,Nondumiso Yvonne Mzizana
5,Hand Sanitizer 70% Alcohol base 5lt refill,90,R175500.00,Biolgica Pharmaceuticals PTY LTD,Nondumiso Yvonne Mzizana
6,Hand Sanitizer 70% Alcohol base 500ml,50,R17500.00,Biolgica Pharmaceuticals PTY LTD,Nondumiso Yvonne Mzizana
7,Nitrile (Latex free) Gloves 300p/box,67,R19529.83,Henry Schein Dental Warehouse,"Nomo Phumlani Khumalo Lonia Magayisa, Sikheto Enock Chauke, Moses Morake, Moshibudu Morake, Mziyanda Mbombo"
8,Hand Sanitizer 70% Alcohol,30,R2699.70,Masana Cleaning Services,
,,,,,
,,,,,
,,,,,
9,Cloth Masks,740,R36992.60,PLUS-FAB,Malesela Tema
10,"Digital Body Thermometer (infrared, non contact",25,R43750.00,Motla Investments,Andrew Rantho
11,Adjustable Face Shield,500,R12650.00,Allenco Medicals and Dental Suppliers,Sivapragasen Allen Mudaly
12,Crime Scene PPE Kits,600,R65484.00,KTF Africa,Sizwe Jantjie
13,Post Mortem Kits,1000,R118248.80,KTF Africa,Sizwe Jantjie
14,Disinfection Spray Bottles (500ml),110,R8800.00,Happy Feet Limited,Lwando Gaba
15,Disinfection Spray Bottles (5l),20,R9000.00,Happy Feet Limited,Lwando Gaba
16,Cleaning Cloths,400,R39192.00,Happy Feet Limited,Lwando Gaba
17,"Digital Body Thermometer (infrared, non contact",56,R112700.00,JD Strategic Investment,Siyanda Jessie Ngcakani
18,Hand Sanitisers with 70% alcohol (5l),60,R28960.20,Logan Medical & Surgical,Vimla Naidoo
19,Disinfection of National Office,1,R44656.00,Masana Cleaning Services,"Lonia Magayisa, Sikheto Enock Chauke, Moses Morake, Moshibudu Morake, Mziyanda Mbombo"
,,,,,
,,,,,
,,,,,
20,Disinfection of Provincial and Satellite offices,13,R239469.75,SSG Cleaning,"Amon Mashigo, Ashley Struwig"
21,Disinfection of WC Provincial Office,1,R20816.60,SSG Cleaning,"Amon Mashigo, Ashley Struwig"
22,Disinfection of EC Provincial Office,1,R20816.60,SSG Cleaning,"Amon Mashigo, Ashley Struwig"
23,Disinfection of EC Provincial Office,1,R18420.76,SSG Cleaning,"Amon Mashigo, Ashley Struwig"
24,Disinfection of KZN Provincial Office,1,R20816.60,SSG Cleaning,"Amon Mashigo, Ashley Struwig"
25,Footpress Sanitiser spray,45,R50001.75,Indlalifa Technologies,Tidimalo Phala
26,Disinfection of National Office,1,R39000.00,Masana Cleaning Services,"Lonia Magayisa, Sikheto Enock"
,,,,,"Chauke, Moses Morake,"
,,,,,"Moshibudu Morake, Mziyanda"
,,,,,Mbombo
27,Disinfection of Gauteng Provincial Office,1,R20816.60,SSG Cleaning,"Amon Mashigo, Ashley Struwig"
28,Disinfection of FS Provincial Office,1,R16000.00,Rainbow Earth PTY (LTD),Jonas Ntoi
29,Disinfection of NW Provincial Office,1,R17912.13,Pro-N Medical Supplies,Nonofo Sebeelo
,,,,,
,,,,,
,TOTAL Estimated Budget,,1359008.92,,
,,,,,
,,,,,
,,,,,
