No,DEPT/ENTITY,CSD NO,SUPPLIER NAME,CO REG NUM,ITEM CATEGORY,ITEM DESCRIPTION,QNT,UNIT PRICE,TOTAL PRICE,TOTAL VAL RECALC,SYS ORDER NO,SYS INVOICE No,"SYS INVOICE
AMOUNT","SYS INVOICE
DATE","SYS INVOICE
RECEIPT DATE","SYS
PAYMENT
DATE","SYS
PAYMENT No","SYS
DISPURSE NO","SYS PAYMENT
AMOUNT","PAYMENT
PERIOD",PAY VAR,STATUS,"COMMITMENT
OUTSTANDING",ORDERS CLOSED,,,
1,AGRICULTURE,MAAA0238860,Bidvest Steiner,2000/011155/07,Cleaning,Cleaning Hygiene,1, 4535.60,4535.60,#VALUE!,HO-004470,PIETRIN0045281,R4535.60,5/14/2020,5/26/2020,5/26/2020,2468791,1148452,4535.60,2020/06,0.00,CLOSED,0.00,0.00,,,
2,AGRICULTURE,MAAA0238860,Bidvest Steiner,2000/011155/07,Cleaning,Hand liquid pink 5l,50, 80.00,4600.00,#VALUE!,HO-004447,PIETRIN0044679,R4600.00,4/16/2020,4/22/2020,4/23/2020,2467687,1147737,4600.00,2020/06,0.00,CLOSED,0.00,0.00,,,
3,AGRICULTURE,MAAA0238860,Bidvest Steiner,2000/011155/07,Cleaning,Hand soap 5l,200, 80.00,18400.00,#VALUE!,HO-004451,298003,R18400.00,4/16/2020,4/22/2020,4/23/2020,2467683,1147737,18400.00,2020/06,0.00,CLOSED,0.00,0.00,,,
4,AGRICULTURE,MAAA0238860,Bidvest Steiner,2000/011155/07,Sanitiser,Hand sanitizer 5l,40,552.00,22080.00,22080.00,HO-004447,PIETRIN0044679,R22080.00,4/16/2020,4/22/2020,4/23/2020,2467687,1147737,22080.00,2020/06,0.00,CLOSED,0.00,0.00,,,
5,AGRICULTURE,MAAA0238860,Bidvest Steiner,2000/011155/07,Cleaning,Cleaning Hygiene,1,36859.98,36859.98,36859.98,HO-004470,PIETRIN0045281,R36859.98,5/14/2020,5/26/2020,5/26/2020,2468791,1148452,36859.98,2020/06,0.00,CLOSED,0.00,0.00,,,
6,AGRICULTURE,MAAA0085880,Crispy Multi Project,2004/083654/23,Cleaning,Two Piece Work suits,500, 356.00,178000.00,#VALUE!,HO-004450,CMP00049,R178000.00,4/20/2020,4/22/2020,4/23/2020,2467684,1147699,178000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
7,AGRICULTURE,MAAA0080910,Evergreen Latex cc,2002/057771/23,Gloves,Surgical Latex gloves,200, 148.00,29600.00,#VALUE!,HO-004446,54220,R29600.00,4/22/2020,4/22/2020,4/23/2020,2467688,1147784,29600.00,2020/06,0.00,CLOSED,0.00,0.00,,,
8,AGRICULTURE,MAAA0038766,Lechoba-Medical Technologies,2005/044442/07,Goggles - Safety,Goggles Safety,200, 69.50,13900.00,#VALUE!,HO-004448,IN100012,R13900.00,5/14/2020,5/25/2020,5/26/2020,2468742,1148479,13900.00,2020/06,0.00,CLOSED,0.00,0.00,,,
9,AGRICULTURE,MAAA0038766,Lechoba-Medical Technologies,2005/044442/07,Sanitiser,500ml hand sanitizer gel,4, 52.83,243000.00,#VALUE!,HO-004442,201802782,R243000.00,4/14/2020,4/15/2020,4/23/2020,2467694,1147780,243000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
10,AGRICULTURE,MAAA0038766,Lechoba-Medical Technologies,2005/044442/07,Cleaning,"Disinfectant Hand Surface
sanitizers",20, 60.75,1215000.00,#VALUE!,HO-004448,IN100012,R1215000.00,5/14/2020,5/25/2020,5/26/2020,2468742,1148479,1215000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
