COVID_19 DONATION REGISTER FOR 2020-21 FINANCIAL YEAR,COVID_19 DONATION REGISTER FOR 2020-21 FINANCIAL YEAR,COVID_19 DONATION REGISTER FOR 2020-21 FINANCIAL YEAR,COVID_19 DONATION REGISTER FOR 2020-21 FINANCIAL YEAR,COVID_19 DONATION REGISTER FOR 2020-21 FINANCIAL YEAR,COVID_19 DONATION REGISTER FOR 2020-21 FINANCIAL YEAR
ITEM DESCRIPTION,DATE,ASSET CATEGORY LEVEL,NAME OF THE DONOR,LOCATION,TOTAL AMOUNT
300 x Bath Towels,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
300 x Hospital bed Blankets,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
300 x Surgical masks,24-Apr,Goods and services,Delmas Development Centre(NPO,Bernice Samuel Hospital,-
32 x Extractor fans,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
350 x N95 masks,24-Apr,Goods and services,Delmas Development Centre(NPO,Bernice Samuel Hospital,-
36 x Sanitizer 70% Alcol Gel -20 litr,29-Apr,Goods and services,Glencore Operations SA (PTY )LTD,Nkangala District,61 600.00
36 x Sanitizer 70% Alcol Liquid -50,29-Apr,Goods and services,Glencore Operations SA (PTY )LTD,Nkangala District,3 920.40
3 Ply surgical masks,01-Jul,Goods and services,STEAM POWER S&E AFRICA,Nkangala District,87 570.00
4 x Gazebos tents and with retract,24-Apr,Goods and services,Delmas Development Centre(NPO,Bernice Samuel Hospital,-
4 x Hand Suction Pumps with Adul,24-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
4 x Professional ward Stretchers a,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
4 x Three wind Screen white Cloth,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
417 x Hospital bed blankets,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
417 x Fire Retardant Pillows,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
417 x Fitted bed sheet for patient,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
417 x Flat Sheets for Hospital bed,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
417 x Pillow Cases,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
417 x Water proof mattress cover,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
"44 x Disposable head covers ,towe",19-Jun,Goods and services,AngloAmerican,Middelburg Pharmaceutical Dep,500.00
5 x Gazebos for testing stations ( F,24-Apr,Goods and services,Delmas Development Centre(NPO,Bernice Samuel Hospital,30 000.00
5 x Sanitisers 70% Alcohol Gel -25 l,29-Apr,Goods and services,Glencore Operations SA (PTY )LTD,Nkangala District,11 000.00
50 x Basic White Dinner Plates,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
50 x Cups and Saucers,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
50 x Glass Water Jugs,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
50 x Large Serving Spoons,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
50 x Serving Cutlery Knife/ Fork /S,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
50 x Small Serving Spoons,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
50 x White Clothes 30 x 45,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
500 x Bath towel,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,-
500 x Patient Dressing gowns,30-Apr,Goods and services,Sasol Secunda,Evander Hospital,4 393 314.04
5000 x pcs Disposable Medical Ma,12-May,Goods and services,Buddist Compassion relief TZU Fou,Rob Ferreira Hospital,50 000.00
52.5  Dozen Eggs,24-May,Food Supplies,South 32 SA,Impungwe Hospital,1 575.00
52.5  Dozen Eggs,24-May,Food Supplies,South 32 SA,Middleburg Hospital,1 575.00
52.5  Dozen Eggs,24-May,Food Supplies,South 32 SA,Witbank Hospital,1 575.00
52.5  Dozen Eggs,24-May,Food Supplies,South 32 SA,Witbank TB Hospital,1 575.00
5L Liquid Soap,15-May,Goods and services,Glencore Operations S.A (Pty) Ltd,Nkangala District,16 100.00
