,SUPPLIER NAME,ITEM DESCRIPTION,"UNIT OF
MEASURE","TOTAL
QUANTITY","PAYMENT
AMOUNT"
1,1 STOP MEDICAL,Aprons,Each,1 000,R       57 500.00
2,BCN MEDICAL,Masks Surgical/medical,Each,100 000,R  2 127 500.00
3,BOPHIRIMA HEALTHCARE,Masks Surgical/medical,Each,3 000,R       84 525.00
4,CENTRAL MEDICAL,Aprons,Each,300 000,R      92 800.00
5,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,700 000,R     593 768.00
6,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,1 300 000,R  1 102 712.00
7,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,300 000,R     329 820.00
8,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,800 000,R    879 520.00
9,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,800 000,R    879 520.00
10,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,2 000 000,R  2 291 996.00
11,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,150 000,R    171 896.25
12,EMERGENCY HOSPITAL SUPPLIES,Goggles,Each,1 000,R      22 195.00
13,EMERGENCY HOSPITAL SUPPLIES,Gloves Examination sterile,Pack of 100,3 600,R         8 056.44
14,LIORA MEDICAL,Goggles,Each,150,R       25 875.00
15,LOGAN MEDICAL,Gowns Disposable,Each,150,R         2 999.95
16,LOGAN MEDICAL,Gowns Disposable,Each,900,R      17 999.69
17,LOGAN MEDICAL,Gowns Disposable,Each,1 000,R       19 999.65
18,LOGAN MEDICAL,Gowns Disposable,Each,200,R        3 999.93
19,LOGAN MEDICAL,Gowns Disposable,Each,300,R        5 999.90
20,MULTISURGE,Masks Surgical/medical,Each,40 000,R     552 000.00
21,NKABO WATER,Masks Surgical/medical,Each,12 500,R     375 000.00
22,PROMED,Gowns Disposable,Each,900,R       21 445.20
23,PROMED,Gowns Disposable,Each,900,R      20 213.55
24,PROMED,Gowns Disposable,Each,300,R        6 943.13
25,PROMED,Gowns Disposable,Each,2 000,R      46 971.75
26,PROMED,Gowns Disposable,Each,300,R        7 148.40
27,PROMED,Gowns Disposable,Each,200,R        4 628.75
28,PROMED,Gowns Disposable,Each,3 000,R      70 115.50
29,PROMED,Gowns Disposable,Each,50,R         1 164.03
30,PROMED,Gowns Disposable,Each,40,R            925.75
31,PROMED,Gowns Disposable,Each,200,R         4 765.60
32,PROMED,Gowns Disposable,Each,2 000,R       46 287.50
33,PROMED,Gowns Disposable,Each,700,R       16 269.05
34,PROMED,Gowns Disposable,Each,1 100,R      25 526.55
35,PROMED,Gowns Disposable,Each,4 000,R       92 575.00
36,QUALITY MEDICAL SUPPLIES,Goggles,Each,2 000,R    130 000.60
37,QUALITY MEDICAL SUPPLIES,Goggles,Each,9 000,R    585 000.00
38,TARA HEALTH CARE,Masks Surgical/medical,Each,30 000,R  1 409 999.82
39,BCN MEDICAL,Gloves surgical,Pack of 50,74 900,R     142 122.75
40,BCN MEDICAL,Masks Surgical/medical,Each,70 900,R  1 508 397.50
41,BIOSURGE,Boot covers,Pack of 100,385 000,R    324 489.59
42,BOPHIRIMA HEALTHCARE,Masks Surgical/medical,Each,9 500,R     267 662.50
43,CENTRAL MEDICAL,Aprons,Each,300 000,R       96 000.00
44,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,1 750 000,R  2 005 496.50
45,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,150 000,R     127 236.00
46,FLOTENK,Masks Surgical/medical,Each,36 000,R     828 000.00
47,G-MERV,Masks Surgical/medical,Each,100 000,R  2 300 000.00
48,G-MERV,Masks Surgical/medical,Each,200 000,R  4 600 000.00
49,G-MERV,Masks Surgical/medical,Each,200 000,R  4 600 000.00
50,HLALU LINDZILE,Masks Surgical/medical,Each,100 000,R 2 645 000.00
51,JAAZIEL,Masks Surgical/medical,Each,50 000,R  1 249 992.50
52,LIORA MEDICAL,Masks Respirator N95/FFP2/KN9,E ach,2 100,R     112 349.82
