"RFQ Reference
Number",Business Unit,"Was normal
SCM process
followed?",Supplier Legal Name,CSD Supplier Nr,Enterprise Type,"B-BBEE Status
Level","Ethnic Group
>51%","Black Woman
Ownership
>51%","Black Youth
Ownership
>51%","RFQ Approved
Date",Description,Price,Procurement Request Status,Contracts
D9732,CHIEF DIRECTORATE SECURITY MAN,EMENYTe SsERVIC,ST M C TRADING,MAAA0076336,EME,1,Black,No,No,5/15/2020,NON-CONTACT INFRARED THERMOMETERS x 9,15192.45,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9705,DDPP DURBAN OFFICE,Yes,UTSHUNGU BUSINESS SOLUTIONS,MAAA0158535,EME,1,Black,No,No,7/15/2020,SANITIZER x 143,31460.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9725,DPP BLOEMFONTEIN OFFICE,Yes,SHIFT CONSULTING,MAAA0492462,EME,1,Black,No,No,5/19/2020,RE-USABLE FACE MASKS -  BLOEMFONTEIN,12700.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9745,DPP BLOEMFONTEIN OFFICE,Yes,ARISING VISONARIES,MAAA0703797,EME,1,Black,Yes,Yes,5/25/2020,SANITIZERS x 254 - DPP BLOEMFONTEIN,77470.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9728,DPP CAPE TOWN OFFICE,Yes,DESIGN26 FOUNDATION,MAAA0671329,EME,1,Black,Yes,No,5/19/2020,RE-USABLE FACE MASKS - DPP CAPE TOWN,25806.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9743,DPP CAPE TOWN OFFICE,Yes,REROX,MAAA0602736,EME,1,Black,No,Yes,5/26/2020,SANITIZERS x 528 - CAPE TOWN,144883.20,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9757,DPP CAPE TOWN OFFICE,Yes,KHACHANI ENTERPRISE,MAAA0106358,EME,1,Black,No,Yes,5/19/2020,FACE SHIELDS x 500,11300.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9703A,DPP GRAHAMSTOWN OFFICE,Yes,A D MEDICAL,MAAA0045221,EME,4,White,No,No,5/18/2020,FACE SHIELDS x 600,16491.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9727,DPP GRAHAMSTOWN OFFICE,Yes,CAPE BUSINESS AND ENGINEERING COLLEGE,MAAA0466320,EME,1,Black,No,No,5/19/2020,RE-USABLE FACE MASKS - EASTERN CAPE,15884.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9741,DPP GRAHAMSTOWN OFFICE,Yes,TRIPLEM SERVIC,MAAA0777806,EME,1,Black,No,No,5/25/2020,SANITIZERS x 361 - EASTERN CAPE OFFICE,86683.32,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9737,DPP JOHANNESBURG OFFICE,Yes,FLAMINGO MOON TRADING 146,MAAA0739436,EME,2,Black,No,No,5/20/2020,RE-USABLE FACE MASKS - JHB,19927.20,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9747,DPP JOHANNESBURG OFFICE,Yes,CHANTEL CONSORTIUM,MAAA0903149,EME,1,Black,Yes,Yes,5/25/2020,SANITIZERS x 456 - DPP JHB,118560.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9855,DPP JOHANNESBURG OFFICE,Yes,MAWEWE TRADING SOLUTIONS,MAAA0854804,EME,1,Black,No,Yes,7/21/2020,FACE AND DESK SHIELDS,19450.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9729,DPP KIMBERLEY OFFICE,Yes,THE EYE NORTHERN CAPE,MAAA0473337,EME,1,Black,Yes,No,5/21/2020,RE-USABLE FACE MASKS - KIMBERLY,7100.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9744,DPP KIMBERLEY OFFICE,Yes,AMBITIOUSD ENTERPRISE,MAAA0564548,EME,1,Black,Yes,Yes,5/25/2020,SANITIZERS x 142 - DPP KIMBERLEY,43310.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9726,DPP LIMPOPO,Yes,ZAUKHAKHATA TRADING AND PROJECTS,MAAA0749242,EME,1,Black,No,No,5/20/2020,RE-USABLE FACE MASKS - LIMPOPO,8352.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9749,DPP LIMPOPO,Yes,ARK PRINTERS AND STATIONERS,MAAA0007292,EME,1,Black,No,No,5/25/2020,SANITIZERS x 261  - DPP LIMPOPO,79605.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9724,DPP MMABATHO OFFICE,Yes,AFRICAN PONCHO,MAAA0842068,EME,1,Black,Yes,Yes,5/18/2020,RE-USABLE FACE MASKS - DPP MMABATHO,8250.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9748,DPP MMABATHO OFFICE,Yes,ENKAY TRADING,MAAA0194112,EME,1,Black,Yes,Yes,5/25/2020,SANITIZERS x 165 - DPP MMABATHO,44550.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9781,DPP MMABATHO OFFICE,Yes,PERMAX MANUFACTURING,MAAA0005377,EME,1,Black,No,Yes,6/8/2020,TEMPERATURE SCANNERS x 6,8400.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9723,DPP MPUMALANGA,Yes,DIKARABO TRADING CO-OPERATIVE LIMITED,MAAA0048296,EME,1,Black,Yes,No,5/18/2020,RE-USABLE FACE MASKS - MPUMALANGA,8800.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9750A,DPP MPUMALANGA,Yes,EDKOKIE TRADING AND PROJECTS,MAAA0317781,EME,1,Black,No,No,7/8/2020,SANITIZERS x 176 5LT,57288.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9734,DPP MTHATHA,Yes,B T N N GENERAL TRADING,MAAA0039905,EME,1,Black,No,No,5/19/2020,FACE SHIELDS x 100,5000.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9739,DPP MTHATHA,Yes,PHUMAPHAMBILI AGRICULTURE AND TEXTILE AN,MAUALATI0-6P0U9R5P5O7SE,CO-OPEMRAETIVE L,MITED1,Black,Yes,No,5/21/2020,RE-USABLE FACE MASKS - DPP MTHATHA,7250.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9740,DPP MTHATHA,Yes,ONLYN BIZ ENTERPRISE,MAAA0003276,EME,1,Black,Yes,No,5/25/2020,SANITIZERS x 145 - DPP MTHATHA,49010.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9730,DPP PIETERMARITZBURG OFFICE,Yes,ZAKHANYA FITNESS,MAAA0748012,EME,1,Black,Yes,Yes,5/20/2020,RE-USABLE FACE MASKS - DPP PIETERMARIZBURG AND DURBAN,21420.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9742,DPP PIETERMARITZBURG OFFICE,Yes,MBUYISA HOLDINGS,MAAA0333396,EME,1,Black,Yes,No,5/26/2020,SANITIZERS x 595 - DPP PMB AND DURBAN,177905.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9810,DPP PIETERMARITZBURG OFFICE,Yes,CLOUDENERGY GROUP,MAAA0484655,EME,1,Black,No,No,7/8/2020,FACE SHIELDS x 204,17541.96,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9738,DPP PRETORIA OFFICE,Yes,FORTISTLE,MAAA0905465,EME,1,Black,No,No,5/18/2020,RE-USABLE FACE MASKS - PRETORIA,18485.10,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9751,DPP PRETORIA OFFICE,Yes,OFFF,MAAA0543792,EME,1,Black,No,No,5/26/2020,SANITIZERS x 423 - DPP PRETORIA,125982.09,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9700,HR TRANSFORMATION UNIT,Yes,ARJO HUNTLEIGH SOUTH AFRICA,MAAA0005800,Other,3,,No,No,4/1/2020,SICK BEDS x 15,23479.50,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9717,HR TRANSFORMATION UNIT,Yes,BAITSEKAGO PROJECTS,MAAA0196983,EME,1,Black,No,No,5/7/2020,DIGITAL INFRARED NON-CONTACT THERMOMETER,76500.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9721,HR TRANSFORMATION UNIT,Yes,EKHAYA INVESTMENTS,MAAA0905392,EME,1,Black,No,No,5/19/2020,RE-USABLE FACE MASKS - GAUTENG - VGM,62748.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9746,HR TRANSFORMATION UNIT,Yes,SINGULARITY TRADING COMPANY,MAAA0070637,EME,1,Black,Yes,No,5/25/2020,SANITIZERS x 709 - VGM,201356.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9676,SOCA UNIT,Yes,ARISING VISONARIES,MAAA0703797,EME,1,Black,Yes,Yes,5/19/2020,HAND SANITIZERS x 220,23100.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9731,HEAD OFFICE,Yes,SHANEAL DISTRIBUTORS,MAAA0000020,QSE,1,Black,Yes,No,5/11/2020,INFRARED NON-CONTACT THERMOMETERS,63000.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9780,HEAD OFFICE,Yes,ROYAL TREAT TRADING,MAAA0374721,EME,1,Black,Yes,No,6/9/2020,RE-USABLE FACE MASKS x 2000,45800.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9787,HEAD OFFICE,Yes,HLABAHLOSILE TRADING PROJECTS,MAAA0086406,EME,2,Black,Yes,No,7/15/2020,FOOT PEDAL HAND SANITIZER STANDS X 4 - HEAD OFFICE,4209.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9788,FREE STATE OFFICE,Yes,BLENDED OAKS,MAAA0527329,EME,1,Black,No,Yes,6/12/2020,FOOT PEDAL HAND SANITIZER STAND - FREE STATE OFFICE,1043.80,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9789,WESTERN CAPE OFFICE,Yes,KWENA PEOPLE,MAAA0694526,EME,2,Black,Yes,No,7/10/2020,FOOT PEDAL HAND SANITIZER STAND - WESTERN CAPE,1077.55,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9790,EASTERN CAPE OFFICE,Yes,ZENCARE,MAAA0778465,EME,1,Black,No,No,7/15/2020,FOOT PEDAL HAND SANITIZER STAND - EASTERN CAPE,1005.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9792,KZN OFFICE,Yes,ACTIVE BLUE TRADING 222,MAAA0039348,EME,1,Black,Yes,No,7/16/2020,FOOT PEDAL HAND SANITIZER STANDS - KZN OFFICE,1366.20,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9793,LIMPOPO OFFICE,Yes,MABUZA TECHNOLOGIST,MAAA0835254,EME,1,Black,Yes,Yes,7/15/2020,FOOT PEDAL HAND SANITIZER STANDS - LIMPOPO,1000.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
D9797,HEAD OFFICE,Yes,DJ MONTOYA TRADING AND PROJECTS,MAAA0016876,EME,1,Black,No,No,6/19/2020,"MULTI SANITIZERS FOR AIR, HAND AND SURFACE",37647.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
