Agriculture and Rural Development,Actual Procured,,
Description of Items,Quantity,Total Value,Service Provider Name
Mask - Other,800,R 44 000,Lebafelo Trading
Gloves - Surgical & Examination - Nitrile Rubber Latex,30,R 7 470,Remmogo
Goggles / Face-Shield / Viser,28,R 2 100,Remmogo
Disposable Aprons,10,R 1 190,Remmogo
Disinfectants 25 litre,30,R 38 970,Remmogo
Temperature Scanners,14,R 19 586,Remmogo
Spray Machines/Bottles,400,R 14 000,Remmogo
Wall Mounted Automatic Hand Sanitizer Dispensers,3,R 950,PLM Tswello
Decontamination of Office Spaces,,R 32 072,Reyakopele
Decontamination of Office Spaces,,R 28 600,Modera Business
Decontamination of Office Spaces,,R 18 900,Makgaga farming
Decontamination of Office Spaces,,R 24 338,Atlegang Garden
Decontamination of Office Spaces,,R 29 955,107 Marcus Construction
Decontamination of Office Spaces,,R 25 254,Mphe Dijo
Decontamination of Office Spaces,,R 28 000,BD Majaestro
Decontamination of Office Spaces,,R 12 758,Kgabo Bakwena
Other: Specify,6,R 1 500,PLM Tswello
Other: Specify,6,R 1 680,PLM Tswello
Other: Specify,6,R 3 000,PLM Tswello
Other: Specify,9,R 10 800,Remmogo
Other: Specify,12,R 6 600,PLM Tswello
Other: Specify,12,R 3 000,PLM Tswello
Other: Specify,6,R 1 740,PLM Tswello
Other: Specify,200,R 13 800,Remmogo
Other: Specify,150,R 36 400,Remmogo
Other: Specify,,R 27 700,Remmogo
TOTAL,1722,R 434 636,
