Education,,Actual procured,,,
Description of Items,,Quantity,Total Value,,Service Provider Name
Mask - Other,,-,R 0,,GO SQUARED
Liquid Soap 5 litre,,900,R 432 000,,BOCIAMO
Liquid Soap 5 litre,,550,R 275 000,,MARUU LOGISTICS
Liquid Soap 5 litre,,400,R 248 000,,OEM TRADING
Liquid Soap 5 litre,,1 100,R 493 350,,S S V TRADING ENTERPRISES
Temperature Scanners,,200,R 330 000,,AVM SUPPLIES
Temperature Scanners,,93,R 158 100,,Betmotsh Trading and Projects
Temperature Scanners,,200,R 460 000,,BOISANGOS 83 TRADING AND PROJECTS
Temperature Scanners,,200,R 460 000,,BOISANGOS 83 TRADING AND PROJECTS
Temperature Scanners,,200,R 365 000,,"BOSUPI PROJECTS AND EVENTS
MANAGEMENT"
Temperature Scanners,,63,R 62 999,,Chapters28 Production
Temperature Scanners,,-,R 0,,DITSHEPISO SUPPLIERS
Temperature Scanners,,170,R 357 000,,Doko's Design
Temperature Scanners,,200,R 390 000,,GADIFELE CIVILS AND PROJECTS
Temperature Scanners,,70,R 98 000,,Gadifele Civils and Projects
Temperature Scanners,,200,R 420 000,,INTEZIV CIVILS AND PROJECTS
Temperature Scanners,,109,R 185 300,,Kayleb Trading
Temperature Scanners,,200,R 386 400,,"KOBUA CONTRACTORS AND BUSINESS
ENTERPRIS"
Temperature Scanners,,200,R 430 000,,LYMPO HEALTHCARE
Temperature Scanners,,-,R 0,,"MAANO GAARETELELWE CONSULTING AND
OTHER"
Temperature Scanners,,200,R 344 000,,Mafbreeze Trading
Temperature Scanners,,-,R 0,,MAMAWATLE HOLDINGS
Temperature Scanners,,200,R 400 000,,MBOK'ONDLOVU BUSINESS ENTERPRISE
Temperature Scanners,,200,R 320 000,,"MOSIMANETHEBE CONSTRUCTIONS AND
TRADING"
Temperature Scanners,,50,R 104 000,,R X D LOGISTICS 9
Temperature Scanners,,200,R 416 000,,R X D LOGISTICS 9
Temperature Scanners,,200,R 390 000,,SKYTEE TRADING AND PROJECTS
Temperature Scanners,,200,R 380 000,,TLTK TRADING AND PROJECTS
Temperature Scanners,,200,R 350 000,,TSHEDIMOSO THAMAGA HOLDINGS
Temperature Scanners,,200,R 420 000,,URBAN BUBBLZ PROJECTS
Temperature Scanners,,50,R 48 000,,Van Toeka Af Tainment
Temperature Scanners,,200,R 370 000,,VIBRANT RL ENTERPRISE
Temperature Scanners,,200,R 370 000,,WHITE EMALAHLENI TRADING
TOTAL,,7 155,R  9 463 149,,
