Office of the Premier,Actual Procured,,
Description of Items,Quantity,Total Value ,Service Provider Name
Mask - Other,2500,R60 375 ,Reiti Maintenance Projects
Medical Hand Sanitisers (Refill ) -  ( 70% Alcohol base) 25 litre,160,R3 040 ,DSTNCTV Group Pty Ltd
Medical Hand Sanitisers ( 70% Alcohol base) 500ml,600,R28 800 ,DSTNCTV Group Pty Ltd
Wall Mounted Automatic Hand Sanitizer Dispensers,30,R13 500 ,DSTNCTV Group Pty Ltd
Disinfectants 25 litre,18,R75 000 ,DSTNCTV Group Pty Ltd
Biohazard Plastic Bags,150,R6 000 ,DSTNCTV Group Pty Ltd
Decontamination of Office Spaces,1,R169 057 ,Seadira cleaning
Decontamination of Office Spaces,1,R65 272 ,World focus projects
Decontamination of Office Spaces,2,R81 682 , Logiic
Decontamination of Office Spaces,2,R60 800 ,Boikanyo and associates
Decontamination of Office Spaces,1,R2 527 ,Logiic
Decontamination of Office Spaces,1,R3 242 ,Ketlareng Trading
Decontamination of Office Spaces,1,R2 482 ,Ketlareng Trading
Decontamination of Office Spaces,2,R45 648 , Eliefu Suppliers
Decontamination of Office Spaces,2,R45 369 ,Ketlareng Trading
Temperature Scanners,15,R23 550 , MBLK Infinity pty Ltd
Other: Specify Radio simulcast on COVID 19,2,R211 600 ,GCIS
Other: Specify Covid19 Awareness Material 10 000 posters and pamhlets,10000,R48 474 , IYB trading &projects
TOTAL,18873,R946 418 ,
