 Description of Items,Quantity,Total Value,Service Provider Name
 Mask - Other,1 400,R 35 000,Bahumi Corporative
 Mask - Surgical,4 000,R 195 800,Zaa Zee Trading (Pty) Ltd
 Gloves - Heavy Duty,4 000,R 15 800,Zaa Zee Trading (Pty) Ltd
Medical Hand Sanitisers (Refill ) -  ( 70% Alcohol base) 1 litre,800,R 130 212,Bidvest Steiner
" Other: Spray Bottles and 48 Batteries for
 Themometer Guns",800,R 36 720,Keyabatho Store
" Other: Disinfection of NWDC Building and
 Lotlamoreng Offices",,R 157 685,Kopanelo Suppliers and Project
" Other: Fumigation of outside walks of NWDC
 building",,R 18 750,Walter Mohau Marutla
" Other: Deep cleaning and disinfection of
 Bojanala  Reginal offices",,R 92 736,Belina Morare
" Other: Deep cleaning and disinfection Dr RSM,
 Vryburg and Ganyesa",,R 129 344,Morapedi Comfort Kgatwane
" Other: Deep cleaning and disinfection Dr KK
 Reginal Offices",,R 118 905,Mongesi O Seleka
" Other: Deep Cleaning and disnfection Dr RSM
 Taung Skull, Taung Station",,R 76 021,Gabatlale Jack Matsoele
" Other: Deep Cleaning of NWDC Building and
 Lotlamoreng",,R 344 557,
" Other: Diinfection of Board rooms, passages
 and Access area",,R 29 686,
" Other: Deep Cleaning and Disinfection Garona
 Building Tourism",,R 96 720,
