Provincial Treasury,,Actual procured,,,
Description of Items,,Quantity,Total Value,,Service Provider Name
Mask - Surgical,,2 000,R 98 000,,Boeleng Developers (Pty) Ltd
Mask - Surgical,,2 500,R 100 000,,Lrato T88 Holdings (Pty) Ltd
Mask - Surgical,,3 500,R 47 180,,Complete Elements
Mask - Other,,750,R 18 750,,African Poncho
Mask - Other,,750,R 18 759,,BlueStorm Trading
Gloves - Surgical & Examination - Natural Rubber,,2 000,R 2 960,,Boeleng Developers (Pty) Ltd
"Gloves - Surgical & Examination - Natural Rubber
Latex",,2 000,R 59 980,,Lrato T88 Holdings (Pty) Ltd
Gloves - Surgical & Examination - Natural Rubber,,7 000,R 19 320,,Complete Elements
"Latex
Medical Hand Sanitisers ( 70% Alcohol base) 500ml",,100,R 10 300,,Boeleng Developers (Pty) Ltd
Medical Hand Sanitisers ( 70% Alcohol base) 500ml,,700,R 62 293,,Complete Elements
Medical Hand Sanitisers ( 70% Alcohol base) 500ml,,698,R 36 930,,Supra Healthcare
"Medical Hand Sanitisers (Refill ) -  ( 70% Alcohol base)
25 litre",,10,R 27 900,,Ofentse's Promotion Distributions
Medical Hand Sanitisers (Refill ) -  ( 70% Alcohol base),,17,R 39 950,,Le Ips Supply and Projects
"25 litre
Wall Mounted Automatic Hand Sanitizer Dispensers",,12,R 81 000,,Refrev Trading (Pty) Ltd
Wall Mounted Automatic Hand Sanitizer Dispensers,,5,R 33 750,,Vinnie Vie Enterprise (Pty) Ltd
Decontamination of Office Spaces,,,R 4 680,,Segas TTT
Decontamination of Office Spaces,,,R 112 499,,Segas TTT
Decontamination of Office Spaces,,,R 117 800,,Segas TTT
Decontamination of Office Spaces,,,R 208 840,,Tshiretso Pest Control
Decontamination of Office Spaces,,,R 29 450,,Tshiretso Pest Control
Decontamination of Office Spaces,,,R 27 683,,Tshiretso Pest Control
Decontamination of Office Spaces,,,R 7 657,,Tshiretso Pest Control
Decontamination of Office Spaces,,,R 14 490,,Tshiretso Pest Control
Decontamination of Office Spaces,,,R 2 356,,Tshiretso Pest Control
Decontamination of Office Spaces,,,R 1 178,,Tshiretso Pest Control
Decontamination of Office Spaces,,,R 1 178,,Tshiretso Pest Control
Decontamination of Office Spaces,,,R 3 534,,Tshiretso Pest Control
Decontamination of Office Spaces,,,R 165 425,,Thesko Holdings
Decontamination of Office Spaces,,,R 251 550,,Thesko Holdings
Decontamination of Office Spaces,,,R 112 500,,Totoo Projects
Temperature Scanners,,10,R 24 750,,P3 Plus Enterprise
Alcohol Swabs (boxes of 200),,500,R 49 995,,Lrato T88 Holdings (Pty) Ltd
Goggles / Face-Shield / Viser,,400,R 16 100,,Setlatleng Trading
Disinfectants 25 litre,,120,R 23 400,,Perplum Projects
Medical Hand Sanitisers ( 70% Alcohol base) 1 litre,,500,R 67 500,,Lrato T88 Holdings (Pty) Ltd
Other: Specify,Disposable overalls/ suits,140,R 23 800,,Johan D Malan
TOTAL,,23 712,R    1 923 437,,
