buyer_name,implementation_location_other,supplier_name,procurement_method,items_description,order_amount_zar
Agricultural Research Council (ARC),AP,Musenga RFQ,RFQ,SANITIZER,52496.50
Agricultural Research Council (ARC),AP,Mothwanape Emergency,Emergency,DISINFECTION MAIN BUILDING,50000.00
Agricultural Research Council (ARC),AP,Mothwanape RFQ,RFQ,DISINFECTION OF ROODEPLAAT,7772.03
Agricultural Research Council (ARC),AP,Mix Creation RFQ,RFQ,3 PLY MASK,25000.00
Agricultural Research Council (ARC),AP,Labotec RFQ,RFQ,THERMOMETER,1092.50
Agricultural Research Council (ARC),AP,Antivirus Trading RFQ,RFQ,DISINFECTION OF NCECA,9525.00
Agricultural Research Council (ARC),AP,Mothwanape Emergency,Emergency,DISINFECTION OF MEAT SCIENCE,38785.40
Agricultural Research Council (ARC),AP,Solani trading RFQ,RFQ,SANITIZER AND THERMOMETER,74940.00
Agricultural Research Council (ARC),lnfruitec,Body shop Petty cash,Petty Cash,hand sanitiser & wipes,239.90
Agricultural Research Council (ARC),lnfruitec,Crazy Store and Body shop Petty cash,Petty Cash,"Spray bottles , aloe gel , oils",887.30
Agricultural Research Council (ARC),lnfruitec,Laborem Lab Supplies RFQ,RFQ,Spray bottles,455.70
Agricultural Research Council (ARC),lnfruitec,The Crazy Store Petty cash,Petty Cash,Spray bottles,300.70
Agricultural Research Council (ARC),lnfruitec,Die Boord Pharmacy Petty cash,Petty Cash,Thermometer & batteries,1412.90
Agricultural Research Council (ARC),lnfruitec,Bidvest Steiner Petty cash,Petty Cash,Masks,1719.48
Agricultural Research Council (ARC),lnfruitec,Bidvest Steiner Petty cash,Petty Cash,Hand sanitiser spray,1932.00
Agricultural Research Council (ARC),lnfruitec,Clicks Petty cash,Petty Cash,Wet wipes,445.15
Agricultural Research Council (ARC),lnfruitec,Steiner Hygiene (Pty) Ltd Emergency,Emergency,Ster-fog spray once-off,34776.31
Agricultural Research Council (ARC),lnfruitec,Steiner Hygiene (Pty) Ltd RFQ,RFQ,Thermometers,16675.00
Agricultural Research Council (ARC),lnfruitec,Petty cash Petty cash,Petty Cash,Batteries,240.00
Agricultural Research Council (ARC),lnfruitec,Petty cash Petty cash,Petty Cash,Spray bottels,443.15
Agricultural Research Council (ARC),lnfruitec,ETHANOL SA RFQ,RFQ,Ethanol,9648.50
Agricultural Research Council (ARC),lnfruitec,MOONSTONE INVESTMENTS 15 RFQ,RFQ,Spray bottels and wipes,10723.75
Agricultural Research Council (ARC),lnfruitec,Mr Farmer CC RFQ,RFQ,Cloth Masks,25875.00
Agricultural Research Council (ARC),lnfruitec,FORMS MEDIA INDEPENDENT AFRI( RFQ,RFQ,Steri-stands,21562.50
Agricultural Research Council (ARC),lnfruitec,MOONSTONE INVESTMENTS 15 RFQ,RFQ,Lavender Oil,1495.00
Agricultural Research Council (ARC),lnfruitec,STEINER HYGIENE RFQ,RFQ,Steri-fog chemicals,10891.65
Agricultural Research Council (ARC),TSC,Steiner Hygiene RFQ,RFQ,Hand Sanitiser 70% gel 25L,89635.60
Agricultural Research Council (ARC),TSC,Steiner Hygiene RFQ,RFQ,Surgical Masks Box of 50,114425.00
Agricultural Research Council (ARC),TSC,Mandi and Prich RFQ,RFQ,3 Layers Cloth Face Masks,10500.00
