buyer_name,supplier_name,order_amount_zar
Department of Education,Spot on Trading [Cloth masks for Provinces],19500000.00
Department of Education,Nxekula General Trading [Cloth masks for Provinces],9600000.00
Department of Education,Impofu Engineering Service [Cloth masks for Provinces],9650000.00
Department of Education,"TCS [Masks, sanitisers, gloves for the Department]",20347.83
Department of Education,"Thorburn [Masks, sanitisers, gloves for the Department]",56918.68
Department of Education,"Digicom [Masks, sanitisers, gloves for the Department]",604521.37
Department of Education,"MCM Promotions [Masks, sanitisers, gloves for the Department]",2633.73
Department of Education,"New Cool 3D Designer Projects [Masks, sanitisers, gloves for the Department]",25211.45
Department of Education,"MCM Promotions [Masks, sanitisers, gloves for the Department]",972.79
Department of Education,Rand Water [Water tanks and water for school,600000000.00
Department of Education,SMEC South Africa (Pty)Ltd [Water monitoring tool],172960.00
Department of Education,DBSA [Rental of mobile toilets for schools for 6 months],72000000.00
Department of Education,The Mvula Trust [Rental of mobile toilets for schools for 6 months],108000000.00
