buyer_name,supplier_name,company_registration_number,items_description,items_quantity,cost_per_unit_zar,UOM,order_amount_zar
South African Post Office (SAPO), Be Sure Events,2014/096753/07,Masks FFP2,40000,54.00,Ea.,2160000.00
South African Post Office (SAPO), Be Sure Events,2014/096753/07,Gloves,2940,200.00,Box of 100,588000.00
South African Post Office (SAPO), Be Sure Events,2014/096753/07,Nitrile Gloves,1000,250.00,Box of 100,250000.00
South African Post Office (SAPO), Be Sure Events,2014/096753/07,70% Alcohol Sanitisers,10620,592.00,5L,6287040.00
South African Post Office (SAPO), Leitam,1994/030134/23,Surgical Masks,12000,18.50,Ea.,222000.00
South African Post Office (SAPO), Leitam,1994/030134/23,Gloves,157,195.00,Box of 100,30615.00
South African Post Office (SAPO), Leitam,1994/030134/23,70% Alcohol Sanitisers,5015,565.00,5L,2833475.00
South African Post Office (SAPO), Leitam,1994/030134/23,Decant Bottle,10000,20.00,Ea.,200000.00
South African Post Office (SAPO), Shaneal Distributors,1993/013522/23,Gloves,327,150.00,Box of 100,49050.00
South African Post Office (SAPO), Mudok,2014/220073/07,Nitrile Gloves,41,249.00,Box of 100,10209.00
South African Post Office (SAPO), Phiritona Holdings,2014/116485/07,Masks FFP1,1000,44.85,Ea.,44850.00
South African Post Office (SAPO), Phiritona Holdings,2014/116485/07,Gloves,20,150.00,Box of 100,3000.00
South African Post Office (SAPO), Phiritona Holdings,2014/116485/07,Decant Bottle,300,15.00,Ea.,4500.00
South African Post Office (SAPO), Phiritona Holdings,2014/116485/07,1L Sanitiser,100,146.00,Ea.,14600.00
South African Post Office (SAPO), MA Executive,2004/006551/23,Gloves,50,200.00,Box of 100,10000.00
South African Post Office (SAPO), MA Executive,2004/006551/23,500 ml Sanitiser,1000,43.50,Ea.,43500.00
South African Post Office (SAPO), MA Executive,2004/006551/23,125 ml Sanitiser,1500,18.50,Ea.,27750.00
South African Post Office (SAPO), Brand Enterprise,2016/422948/07,Gloves,100,135.00,Box of 100,13500.00
South African Post Office (SAPO), Brand Enterprise,2016/422948/07,Sanitiser,50,239.00,5L,11950.00
South African Post Office (SAPO), Jay's Printer,1966/004687/07,Gloves,10,135.00,Box of 100,1350.00
South African Post Office (SAPO), Jay's Printer,1966/004687/07,Sanitiser,200,32.50,Ea.,6500.00
South African Post Office (SAPO), Valmac Stationers,2009/013201/23,Gloves,225,115.50,Box of 100,25987.50
South African Post Office (SAPO), MR Agencies,2018/373474/07,Gloves,10,120.00,Box of 100,1200.00
South African Post Office (SAPO), MN Investments,2018/020888/07,200ml Sanitisers,39,150.00,Ea.,5850.00
South African Post Office (SAPO), MN Investments,2018/020888/07,500ml  Sanitisers,18,210.00,Ea.,3780.00
South African Post Office (SAPO), Datapower,2004/072898/23,750ml Sanitiser,26,100.00,Ea.,2600.00
South African Post Office (SAPO), Datapower,2004/072898/23,Sanitiser,1,600.00,5L,600.00
South African Post Office (SAPO), LNV Logistics,2008/077869/23,Sanitiser Dispenser,30,434.86,Ea.,13045.80
South African Post Office (SAPO), LNV Logistics,2008/077869/23, Sanitiser Device Installation,30,146.19,Ea.,4385.70
South African Post Office (SAPO), Be Sure Events Solutions,2014/096753/07,"Infrared Thermometers Incl. 2 sets of
 Batteries",1320,1700.00,ea.,2244000.00
South African Post Office (SAPO), Be Sure Events Solutions,2014/096753/07,Perspex Sheets[3m x 2m],150,2850.00,ea.,427500.00
South African Post Office (SAPO), Be Sure Events Solutions,2014/096753/07,Fogging Machine,5,30000.00,ea.,150000.00
South African Post Office (SAPO), Be Sure Events Solutions,2014/096753/07,Fogging Machine Peroxide,135,666.66,ea.,89999.10
South African Post Office (SAPO), Be Sure Events Solutions,2014/096753/07,70% Alcohol Sanitiser 5L,18000,230.00,5L,4140000.00
South African Post Office (SAPO), Matongoni General Trading,213/049887/07,Cloth Masks,6000,25.00,ea.,150000.00
South African Post Office (SAPO), Matongoni General Trading,213/049887/07,Pressure Pump Bottles,1444,450.00,ea.,649800.00
South African Post Office (SAPO), Matongoni General Trading,213/049887/07,70% Alcohol Disinfectant Liquid 5L,6000,185.00,5L,1110000.00
South African Post Office (SAPO), Matongoni General Trading,213/049887/07,DecantGun Spray Bottles,3000,21.00,ea.,63000.00
South African Post Office (SAPO), Matongoni General Trading,213/049887/07,70% Alcohol Disinfectant Liquid 5L,18000,180.00,5L,3240000.00
South African Post Office (SAPO), Madendele Consulting,2012/197275/07,Cloth Masks,18000,25.00,ea.,450000.00
South African Post Office (SAPO), Madendele Consulting,2012/197275/07,Soft PVC Face Screen Shields,4000,27.50,ea.,110000.00
South African Post Office (SAPO), Madendele Consulting,2012/197275/07,"Infrared Thermometers Incl. 2 sets of
 Batteries",650,1700.00,ea.,1105000.00
South African Post Office (SAPO), Mobeniko Trading & Projects,2016/012892/07,Cloth Masks,12000,25.00,ea.,300000.00
