buyer_name,implementation_location_province,Supplier name,company_registration_number,items_description,order_amount_zar,implementation_status
South African Post Office (SAPO), Gauteng,Kenglo Holdings,2016/091143/07,"Deep Cleaning of Gauteng
 branches",1671775.11,Done
South African Post Office (SAPO), EC,LNV Logistics cc,2008/077869/23,Deep Cleaning of EC branches,2017280.56,Done
South African Post Office (SAPO), Central,FP Hygiene,2003/052276/23,"Deep Cleaning of Central Region
 branches",538046.25,Done
South African Post Office (SAPO), Central,SRY,2005/119639/23,"Deep Cleaning of Central Region
 branches",247558.26,Done
South African Post Office (SAPO), Central,Phiritona Holdings,2014/116485/07,"Deep Cleaning of Central Region
 branches",553346.50,Done
South African Post Office (SAPO), Central,Five Active Minds,201001148824/23,"Deep Cleaning of Central Region
 branches",93493.60,Done
South African Post Office (SAPO), Central,AK Distributors,1993/070269/07,"Deep Cleaning of Central Region
 branches",21027.75,Done
South African Post Office (SAPO), WC,Lasaka Group,2014/007544/07,Deep Cleaning of WC branches,1410848.76,Done
South African Post Office (SAPO), KZN,Kenglo Holdings,2016/091143/07,Deep Cleaning of KZN buildings,852000.00,Done
South African Post Office (SAPO), KZN,FP Hygiene,2003/052276/23,Deep Cleaning of Durmail,177100.00,Done
South African Post Office (SAPO), North,Staza,2001/040795/23,"Deep Cleaning of Northern
 Region buildings",240707.22,Done
South African Post Office (SAPO), North,FP Hygiene,2003/052276/23,"Deep Cleaning of Northern
 Region buildings",236790.89,Done
South African Post Office (SAPO), North,"SRY Environmental Pest
 Control and Project",2005/119639/23,"Deep Cleaning of Northern
 Region buildings",353694.16,Done
South African Post Office (SAPO), KZN,Tsebo Cleaning Solutions,2016/224394/07,"Deep Cleaning and
 Decontamination of Durmain",107700.00,Done
South African Post Office (SAPO), EC,Supercare,1985/060217/07,Decontamination,92000.00,Ongoing
South African Post Office (SAPO), WC,Supercare,1985/060217/07,Decontamination,39500.00,Done
South African Post Office (SAPO), WC,Intsika,2017/302094/07,Decontamination,12402.00,Done
South African Post Office (SAPO), Northern,Staza and SRY Environmental,(2e0s0t 1C/o0n4t0ro7l9 a5n/2d3 P) rojects,Decontamination,8500.00,Done
South African Post Office (SAPO), Northern,SRY Environmental Pest Contr,(l2 a0n0d5 /P1r1o9je6c3t9s/23),Decontamination,11132.34,Done
South African Post Office (SAPO), NPC,Staza Cleaning Service,2001/040795/23,Decontamination,2709.00,Done
South African Post Office (SAPO), NPC,Supercare,,Decontamination,16200.00,Done
