buyer_name,order_amount_zar,invoice_date,items_description,procurement_method,supplier_name,company_registration_number,Value of Contract,Reason for purchases
Sentech,25450.00,13/03/2020,"Hand Sanitizers 500ml X 50
Hand Sanitizer 250ml X 400",Quotation,Ninetyone Trading and Projects,2015/407311/07,"R25 450,00",COVID
Sentech,106875.00,20/03/2020,"Latex Gloves X 10 Boxes
Hand Sanitizer 500ml X 25
Hand Sanitizer 250ml X 600
Face Masks X 50",Quotation,Ninetyone Trading and Projects,2015/407311/07,"R106 875,00",COVID
Sentech,2600.15,31-Mar-20,Fumigation Services,Existing Contract,Marumo Landscaping and Cleaning Services,2013/064500/07,"R2 600,15",COVID
Sentech,2600.15,07/04/2020,Fumigation Services,Existing Contract,Marumo Landscaping and Cleaning Services,2013/064500/07,"R2 600,15",COVID
Sentech,84334.49,18/03/2020,Fumigation Services,Existing Contract,Marumo Landscaping and Cleaning Services,2013/064500/07,"R84 334,49",COVID
Sentech,85942.49,29/04/2020,Fumigation Services,Existing Contract,Marumo Landscaping and Cleaning Services,2013/064500/07,"R85 942,49",COVID
Sentech,59357.20,21/06/2020,Fumigation Services,Existing Contract,Marumo Landscaping and Cleaning Services,2013/064500/07,"R59 357,20",COVID
Sentech,115475.00,01/04/2020,"N95 Masks X 1000
Latex Glove X 100 Boxes
Hand Sanitizer 100ml X 500
Hand Sanitizer 250ml X 500",Quotation,Fargocure,2011/138179/07,"R115 475,00",COVID
Sentech,45000.00,02/05/2020,3 Ply Non-woven washable Masks X 1800,Quotation,Fargocure,2011/138179/07,"R45 000,00",COVID
Sentech,89125.00,02/05/2020,Non- Contact Medical Infrared Thermometer,Quotation,Brand Innovation,2017/516007/07,"R89 125,00",COVID
Sentech,6325.00,21/05/2020,Surface Disinfectant Spray X 100,Quotation,SWISSBAY,2018/046053/07,"R6 325,00",COVID
Sentech,116127.00,26/05/2020,Auto Sanitizer Spray and Refill,Quotation,Growth Circle Construction,2012/185675/07,"R116 127,00",COVID
Sentech,7532.50,07/05/2020,"Latex Gloves X 4 Boxes
Disposable Masks X 120
Disposable Apron X 180
Hand Sanitizer",Quotation,Cleaning Africa,2010/008520/07,"R7 532,50",COVID
Sentech,23460.00,18/06/2020,"3Ply Washable Face Masks X 600
Visors X 150",Quotation,THE EXPRESS PENGUINS CONSULTING,2015/194676/07,"R23 460,00",COVID
Sentech,153000.00,26/06/2020,Auto Sanitizer Spray and Refill,Quotation,Skillspot,2015/033741/07,"R153 000,00",COVID
Sentech,63700.00,24/07/2020,"Hand Sanitizer 500ml X 900
Hand Sanitizer 250ml X 600
Liquid Hand Disinfectant Spray 500ml X 200",Quotation,EKHAYA INVESTMENTS AND PROPERTIES 2405,2015/192116/07,"R63 700,00",COVID
