buyer_name,Amount Spent,invoice_date,items_description,procurement_method,supplier_name,company_registration_number,order_amount_zar,Reason for purchases
Independent Communications Authority of South Africa (ICASA),R42 165,2020-04-20,Gel hand sanitizer 500ml Hand sanitizers,RFQ,Tripple N Medical distributor,2011/129850/07,42165.00,Hand sanitizers
Independent Communications Authority of South Africa (ICASA),R62 000,2020-06-20,Hand Sanitizer,RFQ,ABLEMINDS CONSULTING,2013/181855/07,62000.00,"Hand Sanitizer
Thermometers"
Independent Communications Authority of South Africa (ICASA),R960,2020-04-20,Plastic apron  yellow full body,RFQ,Chemical Medical,2016/330198/07,960.00,PPE
Independent Communications Authority of South Africa (ICASA),R2 493,2020-04-20,"2500 x large gloves
2500 x medium gloves",RFQ,Evergreen latex cc,2002/057771/23,2493.00,PPE
Independent Communications Authority of South Africa (ICASA),R54 639,2020-07-20,"Office Disinfection
Vehicle Disinfection",Contract Variation,Impact Cleaning CC,2000/035107/23,54639.00,Disinfection
Independent Communications Authority of South Africa (ICASA),R4 359,2020-07-20,Office Disinfection,RFQ,Kleen Fresh,2016/285249/07,4359.00,Disinfection
Independent Communications Authority of South Africa (ICASA),R1 794,2020-07-20,"Office Disinfection
Vehicle Disinfection",Contract Variation,Nozihle Construction and Proje,2002/041023/23,1794.00,Disinfection
Independent Communications Authority of South Africa (ICASA),R7 287,2020-07-20,"Office Disinfection
Vehicle Disinfection",Contract Variation,Quintax Cleaning Services,2009/012917/23,7287.00,Disinfection
Independent Communications Authority of South Africa (ICASA),R2 740,2020-07-20,"Office Disinfection
Vehicle Disinfection",Contract Variation,RED ALERT CLEANING PTY LTD,2009/024161/07,2740.00,Disinfection
Independent Communications Authority of South Africa (ICASA),R25 000,2020-06-20,3-layer cloth Mask,RFQ,Rox Extrax T/A Rox Masks,2017/321389/07,25000.00,PPE
Independent Communications Authority of South Africa (ICASA),R139 104,2020-06-20,Office Equip Rental,Contract Variation,VOX TELECOMMUNICATIONS (PTY) L,2011/000797/07,239568.00,Rental of laptops
Independent Communications Authority of South Africa (ICASA),R65 693.75,2020-06-20,Provision of health support to ICASA Staff for COVID-19 related cases,Contract Variation,Careways,2012/077831/07,65693.75,Health support
Independent Communications Authority of South Africa (ICASA),R12 231.00,2020-06-20,Provision of Office and Vehicle Disinfection Services in the KZN Regional Office,Contract Variation,M-Jnr and Olwethu Consulting (Pty) Ltd,2014/035097/07,12231.00,Disinfection Services
Independent Communications Authority of South Africa (ICASA),R2 242.50,2020-06-20,Provision of Office and Vehicles Disinfection at Port Elizabeth Regional Office,Contract Variation,DKZEE Cleaning Services CC,2007/162990/23,2242.50,Disinfection
Independent Communications Authority of South Africa (ICASA),R4 847.39,2020-07-20,Provision of Cleaning Services at Western Cape Regional Office,Contract Variation,Kusile Hygiene and Industrial Services,2019/481196/07,4847.39,Cleaning Services
Independent Communications Authority of South Africa (ICASA),R2 346.00,Contract Variation,Provision of Office and Vehicles Disinfection at Northern Cape Regional Office,Contract Variation,Kusile Hygiene and Industrial Services,2019/481196/07,2346.00,Cleaning Services
Independent Communications Authority of South Africa (ICASA),R0.00,2020-06-20,Provision of two additional physical guards to assist in checking employees' temperatures at Head Office for a period of 8 months,Contract Variation,Modise Protection Services,2003/055752/23,200256.58,Additional physical guards
