buyer_name,implementation_location_province,implementation_location_other,itmes_description,supplier_name,company_registration_number,procurement_method,order_number,invoice_date,items_quantity,cost_per_unit_zar,order_amount_zar
Department of Correctional Services (DCS),Gauteng,Bivaanspoort,Gloves Cleaning Heavy duty (each),Kgosi botshelo,2013/168791/07,Quotation,AH-565519,2020-05-04,1400,19.80,27720.00
Department of Correctional Services (DCS),Gauteng,Bivaanspoort,Infra-Red Electronic Thermometers.,Multisurge PTY LTD,2014/170364/07,RT76,AH-565501,2020-04-08,20,2300.00,46000.00
Department of Correctional Services (DCS),Gauteng,Bivaanspoort,sleeve protector,Medicore Technologies,2013/198711/07,RT32,AH-565479,2020-03-26,1000,0.22,220.00
Department of Correctional Services (DCS),Gauteng,Bivaanspoort,Mask N95,Liora Medical Suppliers,2011/013434/23,RT32,AH-565490,2020-03-20,15390,5.35,82336.50
Department of Correctional Services (DCS),Gauteng,Bivaanspoort,Medical hand sanitizer,Lechoba medical,2005/044442/07,RT COVID 19-008,AH-565511,2020-04-16,1000,60.75,60750.00
Department of Correctional Services (DCS),Gauteng,Bivaanspoort,Goggles,Lechoba medical,2005/044442/07,RT COVID 19-016,AH-565511,2020-01-16,30,65.90,1977.00
Department of Correctional Services (DCS),Gauteng,Bivaanspoort,Digital body thermometer,Lechoba medical,2005/044442/07,RT COVID 19-018,AH-565511,2020-01-16,20,1348.99,26979.80
Department of Correctional Services (DCS),Gauteng,Bivaanspoort,Mask surgical standard,Lechoba medical,2005/044442/07,RT COVID 19-004,AH-565512,2020-04-17,250,10.99,2747.50
Department of Correctional Services (DCS),Gauteng,Bivaanspoort,Protective cover bodysuit,Lechoba medical,2005/044442/07,RTCOVID 19-014,AH-565512,2020-04-17,50,358.99,17949.50
Department of Correctional Services (DCS),Gauteng,Bivaanspoort,Suit scrap,Logan Medical and Surgical,2012/056508/07,RT32,AH-565482,2020-03-18,30,17.33,519.90
Department of Correctional Services (DCS),Gauteng,Bivaanspoort,Decontamination,NEOWAN,2014/033967/07,BVP108/2020,AH-565525,2020-07-02,45000m2,4.03,181125.00
