ITEM DESCRIPTION,SUPPLIER NAME,COMPANY REGISTRATION NO,PROCUREMENT PROCESS FOLLOWED,ORDER DATE,UNIT OF MEASURE,UNIT PRICE,ORDER QUANTITY,TOTAL PRICE
Surface and hand sanitizer,Altis Biologics,2002/021295/07,"Deviation - Department placed orders with service providers listed on Annexure A
to Treasury Instruction Note 8 of 2019/2020. Regions reported to our National
Operations Centre  that there is lead times of 2 to 3 weeks",27-Mar-20,25l,"R2,029.75",40,"R81,190.00"
"Agro knapsack sprayer, 12l bottle",Altis Biologics,2002/021295/07,As above,27-Mar-20,Each,R447.62,20,"R8,952.30"
N95 masks,Tefla Group T/A Gauflora CC,2007/031940/23,As above,28-Mar-20,Each,R48.88,100000,"R4,888,000.00"
Latex  gloves,Tefla Group T/A Gauflora CC,2007/031940/23,As above,28-Mar-20,Pair,R5.52,300000,"R1,656,000.00"
"Sanitizer, hand ,70% alcohol",Tefla Group T/A Gauflora CC,2007/031940/23,As above,28-Mar-20,25l,"R2,702.50",1000,"R2,702,500.00"
Surgical masks,Bontle Ba MaAfrica Clothing,2002/049694/23,As above,28-Mar-20,Each,R33.35,300,"R10,005.00"
Nitrile gloves,Bontle Ba MaAfrica Clothing,2002/049694/23,As above,28-Mar-20,Box of 100,R402.50,28,"R11,270.00"
Latex  gloves,Ndzalama Enterprise Projects,2015/052123/07,As above,28-Mar-20,Box of 100,R250.00,300,"R75,000.00"
3 Ply Surgical masks,Ndzalama Enterprise Projects,2015/052123/07,As above,28-Mar-20,Each,R25.00,4000,"R100,000.00"
Surgical masks,Isibane Training (Pty) Ltd,2016/481835/07,As above,28-Mar-20,Each,R26.22,20000,"R524,400.00"
Infra-red Electronic Thermometers,Isibane Training (Pty) Ltd,2016/481835/07,As above,28-Mar-20,Each,"R2,869.25",20,"R57,385.00"
Gloves,Isibane Training (Pty) Ltd,2016/481835/07,As above,28-Mar-20,pair,R2.60,20000,"R51,980.00"
Hand sanitizer,Isibane Training (Pty) Ltd,2016/481835/07,As above,28-Mar-20,5l,R977.50,100,"R97,750.00"
Mask FFP1 medical use,Oliver Divine Interior,2017/139508/07,As above,31-Mar-20,Each,R27.00,2000,"R54,000.00"
"N95 masks, civil use",Oliver Divine Interior,2017/139508/07,As above,31-Mar-20,Each,R90.00,600,"R54,000.00"
"N95 masks, medical use",Oliver Divine Interior,2017/139508/07,As above,31-Mar-20,Each,R160.00,500,"R80,000.00"
Delivery,Oliver Divine Interior,2017/139508/07,As above,31-Mar-20,1,"R2,500.00",1,"R2,500.00"
Surgical gloves,Maanda Nes Investments,2014/098098/07,As above,31-Mar-20,Each,R28.20,800,"R22,560.00"
Latex gloves disposable large,Maanda Nes Investments,2014/098098/07,As above,31-Mar-20,Box of 100,R350.00,70,"R24,500.00"
Heavy duty rubber cleaning gloves,Maanda Nes Investments,2014/098098/07,As above,31-Mar-20,Each,R65.00,60,"R3,900.00"
Surgical masks,Masil Recycling (Pty) Ltd T/A SaDaBo (Pty),2013/161463/07,As above,31-Mar-20,Each,R78.20,500,"R39,100.00"
Mask FFP2,LPteds t Control and Cleaning Specialists,2014/192737/07,As above,31-Mar-20,Each,R74.75,440,"R32,890.00"
Gloves non-sterile,Pest Control and Cleaning Specialists,2014/192737/07,As above,31-Mar-20,Box of 100,R230.00,1500,"R345,000.00"
Hand sanitizer,Selamed (Pty) Ltd,2007/020703/07,As above,1-Apr-20,25L,4387.49,184,"R807,298.16"
Surface and hand sanitizer,Altis Biologics,2002/021295/07,As above,2-Apr-20,Liter,R74.75,49000,"R3,662,750.00"
Outsourced transport nationwide,Altis Biologics,2002/021295/07,As above,2-Apr-20,1,"R391,000.00",1,"R391,000.00"
