MANAGEMENT AREA,ITEM DESCRIPTION,NAME OF SUPPLIER,COMPANY REGISTRATION NUMBER,"PROCUREMENT PROCESS FOLLOWED
('TRANSVERSAL CONTRACT NO/SUPPLIER
IDENTIFIED BY TREASURY/DEVIATION
PROCUREMENT METHOD)",ORDER NUMBER,ORDER DATE,UNIT OF MEASURE,ORDER QUANTITY,UNIT PRICE,ORDER VALUE
Allandale,Alcohol based hand sanitiser,Tripple N Medical Distibutors,2011/129850/07,Annexure A Table 2,AD-006399,16/04/2020,25 Lr,10000,R98.37 per litre,"R                      983,772.00"
Allandale,Alcohol based hand sanitiser,Unitrade 1032 CC,1998/002665/23,Annexure A Table 2,OQ 004720,03/04/2020,25 Lr,475,R60.03 Each,"R                         28,514.25"
Allandale,Alcohol based hand sanitiser,UNITRADE 1032CC,1998/002665/23,Annexure A Table 2,AD-006389,03/04/2020,25 Lr,475,R60.03 per litre,"R                         28,514.25"
Allandale,Alcohol based hand sanitiser,UNITRADE 1032CC,1998/002665/23,Annexure A Table 2,HA-002287,03.04.2020,25 Lr,475,R60.03 per litre,"R                         28,514.25"
Brandvlei,Alcohol based hand sanitiser,BARRS PHAMACEUTICALS INDUSTRIES,2012/056577/07,RT300-2017-51284804-00001,BN-018296,7/20/2020,each,2000,R                       15.92,"R                         31,840.00"
Brandvlei,Alcohol based hand sanitiser,BARRS PHAMACEUTICALS INDUSTRIES,2012/056577/07,RT300-201701,BN-018277,7/20/2020,each,1000,R                       15.79,"R                         15,790.00"
Brandvlei,Alcohol based hand sanitiser,Boikamo Group,2020/138403/07,price quotation,BN-018287,7/15/2020,each,120,R                     235.50,"R                         28,260.00"
Brandvlei,Alcohol based hand sanitiser,Maanies General,2010/061020/23,price quotation,BN-018295,7/20/2020,each,300,R                       26.00,"R                           7,800.00"
Brandvlei,Alcohol based hand sanitiser,Winelands retail and trade,2019/537984/07,price quotation,BN-018152,6/22/2020,each,400,R                       74.00,"R                         29,600.00"
Breede River,Alcohol based hand sanitiser,BARRS Pharmaceuticals,2012/056577/07,RT300,BR-008192,3/22/2020,lt,3000,R                       14.44,"R                         43,320.00"
Breede River,Alcohol based hand sanitiser,Delimaya,2016/449454/07,Quotation,BR-008247,4/20/2020,lt,1600,R                       71.96,"R                      115,136.00"
Breede River,Alcohol based hand sanitiser,Destiny Chemicals,2015/054104/07,Quotation,BR-008210,3/26/2020,lt,475,R                       60.00,"R                         28,500.00"
Breede River,Alcohol based hand sanitiser,Destiny Chemicals,2015/054104/07,Quotation,BR-008221,3/31/2020,lt,475,R                       60.00,"R                         28,500.00"
Breede River,Alcohol based hand sanitiser,Unitrade 1032,1998/002665/23,Covid 19,BR-008389,7/8/2020,lt,1875,R                       60.03,"R                      112,556.25"
Drakenstein,Alcohol based hand sanitiser,BARRS,2012/056577/07,RT300,DN-013124,4/9/2020,BT,740000,R                       15.92,"R                         23,561.60"
Drakenstein,Alcohol based hand sanitiser,BARRS,2012/056577/07,RT300,DN-013289,5/14/2020,BT,8000,R                       18.33,"R                      146,640.00"
Goodwood,Alcohol based hand sanitiser,BARRS PHARM,2012/056577/07,RT300,GW-011650,18/03/2020,EA (500ML),3000,R                       14.44,"R                         43,320.00"
Goodwood,Alcohol based hand sanitiser,DESTINY,2015/054104/07,QUOTATION,A-236600/240,03/04/2020,EA (500ML),950,R                       30.00,"R                         28,500.00"
Goodwood,Alcohol based hand sanitiser,TRIPPLE N MED,2011/129850/07,RTCOVID19-008,GW-011671,24/03/2020,EA (500ML),1000,R                       84.33,"R                         84,330.00"
Overberg,Alcohol based hand sanitiser,BARRS PHAMCEUTICAL,2012/056577/07,RT300,CA-005518            & CA-005519,3/24/2020,ml,1000,R                          8.65,"R                           8,645.00"
Overberg,Alcohol based hand sanitiser,BARRS PHAMCEUTICAL,2012/056577/07,RT300,HS-010752,3/20/2020,ml,500,R                          9.35,"R                         37,380.00"
Overberg,Alcohol based hand sanitiser,BARRS PHAMCEUTICAL,2012/056577/07,RT300,HS-010985,7/16/2020,ml,1000000,R                          0.03,"R                         32,820.00"
Overberg,Alcohol based hand sanitiser,BARRS PHARMACEUTICAL IND,2012/056577/07,RT300,BJ-005135,3/26/2020,ml,2000,R                       15.62,"R                           7,811.00"
Overberg,Alcohol based hand sanitiser,Singa Establishment,2018/493323/07,Quotation,HS-011002,7/24/2020,ml,800000,R                          0.04,"R                         29,398.40"
Pollsmoor,Alcohol based hand sanitiser,Barrs Pharmaceuticals Industries,2012/056577/07,RT300/2017,PS-010244,17.03.2020,EA,100 x 500ml,R                       16.41,"R                           1,641.00"
Pollsmoor,Alcohol based hand sanitiser,Destiny Chemicals,2015/054104/07,CSD,PS-010212,25.03.2020,EA,200 X 25L,"R                 1,400.00","R                      280,000.00"
Southern Cape,Alcohol based hand sanitiser,Lechoba Medical Technologies,2005/044442/07,RT-76,SC-008390,15/06/2020,litre,2500,R                     175.66,"R                      439,156.25"
Voorberg,Alcohol based hand sanitiser,Barrs,1998/002665/23,RT300,VB-0010305,2020.05.22,500ML,500,R                          4.36,"R                         22,180.06"
Voorberg,Alcohol based hand sanitiser,Unitrade,2012/056577/07,COVID046,VB-010427,2020.06.19,500ml,2500,R                       62.50,"R                      155,250.00"
Brandvlei,"Alcohol based hand sanitiser,  Refil Detergent",Boikamo Group,2020/138403/07,price quotation,BN-018287,7/15/2020,L,120,R                     235.50,"R                         28,260.00"
Southern Cape,Backpack pressure sprays,TENORAH,2018/266857/07,Price Quotation,SC-008271,20/03/2020,each,15,R                     599.00,"R                           8,985.00"
Southern Cape,beard caps,Anqingsa,2017/343405/07,Price Quotation,SC-008319,17/04/2020,each,10000,R                          0.99,"R                           9,898.00"
Brandvlei,Biocide D / Bleach,FK424 Chelsea Commodities,2011/081163/23,Price Quotation,BN-017982,4/20/2020,L,2000,R                          9.00,"R                         18,000.00"
Brandvlei,Biocide D / Bleach,World focus 1722,2007/208349/23,BRQ30/2020 TENDER,BN-018280,7/15/2020,L,500,R                          6.81,"R                           3,407.00"
Breede River,Biocide D / Bleach,BARRS Pharmaceuticals,2012/056577/07,RT300,BR-008193,4/21/2020,500 ml,3000,R                       16.41,"R                         49,230.00"
Breede River,Biocide D / Bleach,Destiny Chemicals,2015/054104/07,Quotation,BR-008206,4/21/2020,500 ml,120,R                     200.00,"R                         24,000.00"
Drakenstein,Biocide D / Bleach,SOLUCARE,2015/113356/07,ALD1/2018,DST072,3/19/2020,LT,12000,R                       16.54,"R                         99,268.80"
Overberg,Biocide D / Bleach,SIMSIM SALES & MARKETING,2018/195625/07,PRICE QUOTATION,HS7/2020,4/1/2020,ml,10,R                     350.00,"R                           3,500.00"
Overberg,Boot covers,Medical Internal orthaopaedic,2007/023366/23,RT32-2019,HS-010969,7/8/2020,Pair,1000,R                       19.23,"R                         19,230.00"
Overberg,BP Cuffs,Uthembeni Project Management,2003/094510/23,Price quotation,HS-010845,5/12/2020,Each,7,R                       92.00,R                              644.00
Overberg,BP Cuffs,Uthembeni Project Management,2003/094510/23,Price quotation,HS-010847,5/11/2020,Each,7,R                     138.00,R                              966.00
Goodwood,BP Monitoring Machine,NGAPHAYA Y2K10,2008/241856/23,QUOTATION,GW-011728,15/04/2020,EA,10,R                     500.00,"R                           5,000.00"
Pollsmoor,BP Monitoring Machine,Class Three Medical Solutions,2017/535986/07,CSD Supplier,PS-010239,17.04.2020,EA,20,R                     430.00,"R                           8,600.00"
Breede River,Cooler Box 2liters,Xhanti Consolidation,2017/520106/07,Quotation,BR-008260,4/21/2020,each,6,"R                 3,500.00","R                         21,000.00"
Drakenstein,Cooler Box 2liters,TRIPPLE A SOLUTIONS,2017/271551/07,PRICE QUOATION,DN-013142,3/30/2020,EA,16,R                     250.00,"R                           4,000.00"
Overberg,Cooler Box 2liters,SIMSIM SALES & MARKETING,2018/195625/07,PRICE QUOTATION,HS7/2020,4/1/2020,Each,5,R                     250.00,"R                           1,250.00"
Overberg,Decontamination: Maintenance,Traffic Cleaning Services,2020/093594/07,Price Quotation,HS23/2020,7/2/2020,m2,1480,R                          5.37,"R                           7,947.60"
Overberg,Decontamination: Med & Max,Traffic Cleaning Services,2020/093594/07,Price Quotation,HS24/2020,2020.07.02,m2,1857.1087,R                          5.37,"R                           9,966.72"
Allandale,D-Germ,BARRS PHAMACEUTICALS,2012/056577/07,RT 300,AD-006487,25.06.2020,ml,2000,R                       16.41,"R                         32,820.00"
Allandale,D-Germ,BARRS PHAMACEUTICALS,2012/056577/07,RT 300,HA-002272,23.03.2020,ml,160,R                       16.41,"R                           2,625.60"
Allandale,D-Germ,BARRS PHAMACEUTICALS,2012/056577/07,RT 300,OQ-004817,28.07.2020,ml,160,R                       16.41,"R                           2,625.60"
Voorberg,Disenfectant hand cleaning,Barrs,2012/056577/07,RT300,VN-002763,2020.05.28,500ML,1000,R                       13.79,"R                         13,790.00"
Pollsmoor,Disposable  aprons,Compass Medical Waste Services,2003/002007/07,CSD,PS-010396,20.07.2020,EA,10000,R                          0.63,"R                           6,300.00"
Allandale,Disposable aprons,KAAP   AGRI,1995/000336/06,DEVIATION  PROCUREMENT METHOD,PC-001608,09.04.2020,Each,68,R                       16.15,"R                           1,097.90"
Brandvlei,Disposable aprons,Central Medical,1995/003785/07,RT32-2019ITEMNO-42131601-00003,BN-018384,7/27/2020,EACH,4000,R                          0.38,"R                           1,280.00"
Breede River,Disposable aprons,Central Medical,1995/003785/07,RT32,BR-008184,4/21/2020,each,3000,R                          0.32,R                              960.00
