buyer_name,supplier_name,items_description,order_amount_zar,items_quantity
Department of Defence (DoD), T.S. Entity Maximum Heights,Masks: Surgical,520000.00,20 000
Department of Defence (DoD),1STOP MEDICAL SUPPLIES,Masks: Surgical,8625000.00,750 000
Department of Defence (DoD),1STOP MEDICAL SUPPLIES,Protective Clothing,52580.00,49 500
Department of Defence (DoD),21st Kings,Masks: Surgical,625000.00,50000
Department of Defence (DoD),3 Gems Communications (Pty) Ltd,Masks: Surgical,1068000.00,60 000
Department of Defence (DoD),3 Gems Communications (Pty) Ltd,Surgical Gloves,720000.00,2 000
Department of Defence (DoD),3D MEDICAL,Masks: Surgical,777000.00,60 000
Department of Defence (DoD),3rd Alternative Solutions (Pty) Ltd,Masks: Surgical,972500.00,50000
Department of Defence (DoD), Abokemedi Tading,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), ADCOCK INGRAM CRITICAL CARE LT,Sanitisers,22698051.00,456 264
Department of Defence (DoD), Afribukamoso (Pty) Ltd(TR Group),Masks: Surgical,520000.00,20 000
Department of Defence (DoD), AfricanAshes,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), AFRIKA INVEST (PTY) LTD,Masks: Surgical,853200.00,60 000
Department of Defence (DoD), AKA Na Rina Supplies,Masks: Surgical,123000.00,10000
Department of Defence (DoD), AKON-KHA PROJECTS MANAGEMENT,Masks: Surgical,772800.00,60 000
Department of Defence (DoD), Alex Cape Holdings Ck,Masks: Surgical,1250000.00,100000
Department of Defence (DoD), Alex Cape Holdings Ck,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), ALLENCO MEDICAL AND DENTAL SUP,Masks: Surgical,106000.00,1000
Department of Defence (DoD), ALLENCO MEDICAL AND DENTAL SUP,Protective Clothing,15221.00,6 380
Department of Defence (DoD), ALTLEGA STATIONERS CC,Masks: Surgical,720000.00,60 000
Department of Defence (DoD), ALUTHA SOLUTIONS,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Amandasig Trading,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), AMS Supply and Logistics,Masks: Surgical,931500.00,30000
Department of Defence (DoD), ANKO TRADING AND SUPPLY,Masks: Surgical,810000.00,60 000
Department of Defence (DoD), AQUALYTIC,Surgical Gloves,10903.00,120
Department of Defence (DoD), Arangaho (Pty) Ltd,Masks: Surgical,1037000.00,40 000
Department of Defence (DoD), Arangaho (Pty) Ltd,Surgical Gloves,715980.00,2000
Department of Defence (DoD), Arctopart Strategic Supplies,Masks: Surgical,1075000.00,50 000
Department of Defence (DoD), Arctopart Strategic Supplies,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), ARIYE TOURS,Masks: Surgical,990000.00,60 000
Department of Defence (DoD), ASIKULIBALI TRADING,Masks: Surgical,888000.00,60000
Department of Defence (DoD), ASIZIPHANGA HOLDING (PTY) LTD,Masks: Surgical,870000.00,60 000
Department of Defence (DoD),Aspimo Project 34,Surgical Gloves,760000.00,2000
Department of Defence (DoD), Auto Extreme and Sons Panel,Masks: Surgical,123000.00,10 000
Department of Defence (DoD), Avenue brand commuication and design,Masks: Surgical,2120000.00,80 000
Department of Defence (DoD), Azmec Consulting,Masks: Surgical,1560000.00,80 000
Department of Defence (DoD), Azmec Consulting,Surgical Gloves,2192000.00,6 000
Department of Defence (DoD), B Marshel & Co,Masks: Surgical,1250000.00,100000
Department of Defence (DoD), Bannico Trading (Pty) Ltd,Masks: Surgical,520000.00,20 000
Department of Defence (DoD), Banthati Property Development,Masks: Surgical,4087500.00,135000
Department of Defence (DoD), Baphameli General Training (Pty) Ltd,Masks: Surgical,530000.00,20 000
Department of Defence (DoD), Bareki Investments Pty Ltd (Shank Project),Masks: Surgical,520000.00,20 000
Department of Defence (DoD), BASHNUBILE CONSTRUCTION,Masks: Surgical,750000.00,60 000
Department of Defence (DoD), BASHNUBILE CONSTRUCTION,Surgical Gloves,1127250.00,3 000
Department of Defence (DoD), BBZ MASELE HOLDING,Masks: Surgical,720000.00,60 000
Department of Defence (DoD), Beetsi General Trading,Masks: Surgical,1065000.00,60 000
Department of Defence (DoD), Beetsi General Trading,Surgical Gloves,840000.00,2 400
Department of Defence (DoD), Belph Tradings,Masks: Surgical,3530000.00,140000
Department of Defence (DoD), Bicks Gosiame (Pty) Ltd,Masks: Surgical,300000.00,10 000
Department of Defence (DoD), BICS ENGINEERING AND SUPPLY,Masks: Surgical,897000.00,60 000
Department of Defence (DoD), BIOLOGICA PHARMACEUTICALS,Masks: Surgical,14658.00,550
Department of Defence (DoD), BIOLOGICA PHARMACEUTICALS,Protective Clothing,26000.00,100
Department of Defence (DoD), BLACK DOT PETROLEUM,Masks: Surgical,738000.00,60000
Department of Defence (DoD), Black Jew Monach,Masks: Surgical,498000.00,20000
Department of Defence (DoD), Black Jew Monach,Surgical Gloves,330084.00,930
Department of Defence (DoD), Black Leo Tire and Services,Masks: Surgical,246000.00,20 000
Department of Defence (DoD), Black Mapisi (Pty) Ltd,Masks: Surgical,1060000.00,40000
Department of Defence (DoD), BLACKBIRD INTERNATIONAL,Masks: Surgical,756000.00,60000
Department of Defence (DoD), Blu Sky Travellers,Masks: Surgical,520000.00,20 000
Department of Defence (DoD), Blu Sky Travellers,Surgical Gloves,1520000.00,4000
Department of Defence (DoD), Bomaite trading and Projects,Masks: Surgical,123000.00,10 000
Department of Defence (DoD),Bouvest 2158 cc,Masks: Surgical,123000.00,10 000
Department of Defence (DoD),Bouvest 2158 cc,Surgical Gloves,760000.00,2 000
Department of Defence (DoD), Brilen Trading Enterprise cc,Masks: Surgical,1575000.00,60 000
Department of Defence (DoD), BUKA STRATEGIC,Surgical Gloves,1127250.00,3 000
Department of Defence (DoD), Bulkeng,Surgical Gloves,612000.00,1700
Department of Defence (DoD), BW,Masks: Surgical,795000.00,30000
Department of Defence (DoD), CAMITHA HOLDINGS (PTY) LTD,Masks: Surgical,750000.00,60 000
Department of Defence (DoD), CAMITHA HOLDINGS (PTY) LTD,Surgical Gloves,760000.00,2000
Department of Defence (DoD), Canal Skills Pty Ltd,Masks: Surgical,520000.00,20 000
Department of Defence (DoD), CAW Tech Electro Mechanical Solutions,Masks: Surgical,630000.00,50 000
Department of Defence (DoD), CENTRAL MEDICAL PTY LTD,Protective Clothing,53140.00,134500
Department of Defence (DoD), CIT,Walk through Scanners,8200000.00,60
Department of Defence (DoD), CLEANING SUCCESSORS,Sanitisers,97050.00,150
Department of Defence (DoD), CLEARVIEW ENTERPRISES,Protective Clothing,1979500.00,28000
Department of Defence (DoD),COLLYMANZI 90 TRADING (PTY),Masks: Surgical,744000.00,60000
Department of Defence (DoD), CONFIDENT CLINICAL CC,Protective Clothing,27516.00,130
Department of Defence (DoD), Conspecs Businesses,Sanitisers,3000000.00,375000
Department of Defence (DoD), CRYSTAL QUICK,Surgical Gloves,749950.00,2500
Department of Defence (DoD), Cubicle,Masks: Surgical,1350000.00,50 000
Department of Defence (DoD), DNC Group,Masks: Surgical,1250000.00,100000
Department of Defence (DoD),D9X Trading Pty Ltd,Masks: Surgical,562500.00,25 000
Department of Defence (DoD), Da Brains Trading,Sanitisers,2668341.00,359000
Department of Defence (DoD), DAK MAR TRADING,Masks: Surgical,839400.00,60 000
Department of Defence (DoD), Dalcy Enterprise (Pty) Ltd,Masks: Surgical,480000.00,20 000
Department of Defence (DoD), Denoko Trading,Masks; Surgical,540000.00,18 000
Department of Defence (DoD), Denoko Trading,Surgical Gloves,1516000.00,4000
