buyer_name,invoice_date,items_description ,procurement_method,"supplier_name
",director_names_and_surnames,Date of first registration of the entity with CIPC, cost_per_unit_zar,order_amount_zar,"implementation_status
","Indicate if the company registration includes supply of PPE as a service that they render 
"
Department of Health,2020-10-09,350 x Digital Pen Thermometers,Procurement via quotations (DOH365/2019- 2020),"Unicore Holdings 

","Zahira Hansa, Uranbileg Dashzeveg",07/01/2011,1010.79,353527.82,Two partial deliveries onâ€¨2020-04-16 andâ€¨2020-04-17,"Yes
Medical facility products and Mobile medical services products.
"
Department of Health,2020-03-27,"8 x fixed thermal scanner machines for ports of entry
91 x handheld scanners for ports of entry",Tender process (NDOH59a&b/2019-2020),"Yellow Technical Services 
","Jacobus Johannes Botes , Tjaard Brookryk, Antonio Joaqum Moreira, â€¨Mora April Seshoka â€¨",12/12/2013,"Handheld scanner 80020.05
Fixed thermal scanners 404914.59",11975018.39,Two partial deliveries on 2020-06-30 and 2020-07-29,"Yes
Supply of measuring, observing and testing instruments and passive discrete components."
Department of Health,2020-04-07,30000 x Surgical Masks,Transversal tender RT296- 08-271,"Biologica Pharmaceuticals 

",Nondumiso Yvonne Helen Mzizana (Owner),19/04/2013,26.65,799500,"Three partial deliveries on 2020-04-20, 2020-05-06 and 2020-05-12","Yes
Human health and social work activities 
"
Department of Health,2020-05-06 and 2020-05-08,3400 x face cloth masks with NDoH logo,Emergency procurement approvalâ€¨National Treasury Instruction no 08 of 2019/2020,Tammy Taylor Nails SA Holdings,Melany Juanita Viljoen,25/05/2012,57.5,195500,Two deliveries on 2020-05-06 and 2020-05-12,"Yes
Wholesale and retail trade
"
Department of Health,2020-03-06,21000 x N95 masks,Transversal tender (RT32/2019),Liora Medical supplies ,"Gertrude Jill Selamolela 
",04/02/2011,5.35,112350,2020-04-12,"Yes, registered for PPE
Other personal service activities"
Department of Health,2020-03-24,900000 x gloves (9000 boxes of 100 items) Initially 2400000 was ordered but order was cancelled after 900000 being delivered,Transversal tender RT296- 2020,Promed Technologies â€¨,"Nash-Lee Govender 
",20/08/2014,46.60 per box of 100 items,419400,2020-04-03,"CSD shows manufacturing of paper and paper products 
"
Department of Health,2020-04-21,40000 x K95 masks,"Services were sourced through the use of the quotations, but no deviations were indicated 
",X Business Resources â€¨,Noxolo Sylvia Dyantyi ,11/04/2013,66.7,2668000,2020-05-18,"DoesnÕt seem like it. CSD shows Electricity, gas, steam and air conditioning; Civil Engineering; Other Professional and Technical Services.
"
Department of Health,2020-05-09,15 x Face shields,One quote quotation as per SCM procedures for amounts up to R2000.00,"Sciprofs 
",Mbongiseni Erick Ndlangamandla,01/10/2016,65.55,983.25,2020-05-26,"DoesnÕt seem like it. Manufacturing of electronic equipment; Professional, scientific and technical activities. 
"
Department of Health,2020-03-18,"7000 x 500ml Hand Sanitizers for use by NDoH staff, ports of entry, security points and Forensic Chemistry Laboratories",Transversal tender RT300- 2017,BARRS Pharmaceuticals â€¨,"Graham George Feltham Michael,Alfreda Elizabeth le Roux,Joseph Lionel Morris,David Sepel,Rubin Gabriel Norwitz ",22/03/2012,14.44 for Steriprep 16.41 for Sterisol,107975,"Several partial deliveriesâ€¨2020-03-26, 2020-03-27, 2020-04-08","Yes Manufacturing of pharmaceutical products 
"
Department of Health,2020-04-07,"60000 x 500ml Hand Sanitizers 
11340 units still to be delivered",Transversal tender RT300- 2017,BARRS Pharmaceuticals â€¨,"Graham George Feltham Michael,Alfreda Elizabeth le Roux,Joseph Lionel Morris,David Sepel,Rubin Gabriel Norwitz ",22/03/2012,16.41,984600,"48660 items delivered by 2020-05-13. 
11340 items still to be delivered","Yes Manufacturing of pharmaceutical products 
"
Department of Health,2020-03-26,742 x Hand Sanitizers Breakdown 92 x 400ml 100 x 200ml 50 x 400ml 500 x 500l,Emergency procurement approvalâ€¨National Treasury Instruction no 08 of 2019/2020,Libera ,Evert Philipus Bruwer ,24/10/2003,"63.94 for 400ml
33.93 for 200ml 
94.63 for 400ml
236.59 for 500l",132298.53,2020-04 (user cannot recall exact date),"CSD registration shows services to buildings and landscape buildings. 
"
Department of Health,2020-04-21,100000 x Hand Sanitizers 500ml,Transversal tender RT300- 2017,BARRS Pharmaceuticals â€¨,"Graham George Feltham Michael,Alfreda Elizabeth le Roux,Joseph Lionel Morris,David Sepel,Rubin Gabriel Norwitz ",22/03/2012,16.58,1658000,"Partial deliveries on 2020-06-24 and 2020-06-29 totalling to 6740 items. 
93260 items still to be delivered","Yes Manufacturing of pharmaceutical products 
"
Department of Health,2020-05-12,200 x Hand Sanitizers for FCL: Durban,Transversal tender RT300- 2017,BARRS Pharmaceuticals â€¨,"Graham George Feltham Michael,Alfreda Elizabeth le Roux,Joseph Lionel Morris,David Sepel,Rubin Gabriel Norwitz ",2012-03-22,18.33,3666,2020-07-06,"Yes Manufacturing of pharmaceutical products 
"
Department of Health,2020-05-08,200 x Hand Sanitizers for FCL: Cape Town,Transversal tender RT300- 2017,BARRS Pharmaceuticals â€¨,"Graham George Feltham Michael,Alfreda Elizabeth le Roux,Joseph Lionel Morris,David Sepel,Rubin Gabriel Norwitz ",22/03/2012,18.33,3666,2020-06-05,"Yes Manufacturing of pharmaceutical products 
"
Department of Health,2020-05-06,10000 x Hand Sanitizers,Transversal tender RT300- 2017,"BARRS Pharmaceuticals 
","Graham George Feltham Michael,Alfreda Elizabeth le Roux,Joseph Lionel Morris,David Sepel,Rubin Gabriel Norwitz ",22/03/2012,16.41,164100,2020-05-13,"Yes Manufacturing of pharmaceutical products 
"
