No,buyer_name,supplier_name,items_description,items_unit,items_quantity,order_amount_zar,Goods/Services,procurement_method,Deviation(yes or no),Deviation (a) why,Deviation  (b) detail,What were the reasons that the goods/service were purchased from a specified company
1,Department of Higher Education and Training (DHET),"PRIME UNIVERSAL
FOODS T/A HELGA'S
RETAIL",Hand Sanitiser,250ml,30,1800.00,Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
2,Department of Higher Education and Training (DHET),"CHECKERS,
QUEENSWOOD",Savlon liquid,500ml,4,199.96,Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
3,Department of Higher Education and Training (DHET),"PRIME UNIVERSAL
FOODS T/A HELGA’S RETAIL",Hand Sanitiser,250 ml,30,1800.00,Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
4,Department of Higher Education and Training (DHET),"PRIME UNIVERSAL
FOODS T/A HELGA'S
RETAIL",Hand Sanitiser,250 ml,30,1800.00,Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
5,Department of Higher Education and Training (DHET),"CHECKERS,
QUEENSWOOD",Savlon liquid,500ml,1,49.99,Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
6,Department of Higher Education and Training (DHET),"CHECKERS,
QUEENSWOOD",Detergent,1500ml,2,45.98,Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
7,Department of Higher Education and Training (DHET),"CYCLE MANIA,
WATERMEYER PARK",Anti-bacterial waterless cleaner,300ml,40,2000.00,Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
8,Department of Higher Education and Training (DHET),L.M. SUPERMARKET,Latex Gloves,Box of 100,3,83.97,Goods,Petty Cash,No,NA,NA,"The items were procured through petty cash prior to the
issuing of National Treasury Instruction 8 of 2019/20.
Petty cash purchase allows the Department to procure
from any supplier under R2000 without sourcing 3
quotes. This supplier is located in the Pretoria
surroundings."
9,Department of Higher Education and Training (DHET),EVERGREEN LATEX,Disposable gloves,Box of 100,100,4986.00,Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts."
10,Department of Higher Education and Training (DHET),"LIORA MEDICAL
SUPPLIES",Masks,Box of 50,600,3210.00,Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts."
