buyer_name,implementation_location_other,supplier_name,items_description,invoice_number,invoice_date,procurement_method,items_quantity,Unit of Measure,cost_per_unit_zar,order_amount_zar
Department of Home Affairs (DHA),Head office- Civic Services,Edsna Medical Distributors,Gloves - Surgical & Examination - Natural Rubber Latex (BVR),Petty Cash,2020-03-18,Petty Cash,12,Box of 100,90.00,1080.00
Department of Home Affairs (DHA),Head office- Civic Services,RND Amalgamated Pest Control and Higiene Specialist,Sanitisers (BVR),Petty Cash,2020-03-20,Petty Cash,1,25 litres,4025.00,4025.00
Department of Home Affairs (DHA),Head office- Civic Services,KITA TOURS DELIVERIES,BOTTLE SPRAYS,OR-109707,2020-07-13,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,700,each,15.60,10920.00
Department of Home Affairs (DHA),Head office- Civic Services,KOMAPE MANIA TRADING ENTERPRISE,STEEL FOOT DISPENSER,OR-109706,2020-07-13,SCM PROCESS FLOW,22,each,1900.00,41800.00
Department of Home Affairs (DHA),Head office- Civic Services,Plastics R us,Spray bottles,Petty Cash,2020-05-02,Petty Cash,150,100 ML,16.01,2402.00
Department of Home Affairs (DHA),Head office- Civic Services,MTHOWANI,STAND,Petty Cash,2020-06-30,Petty Cash,1,,650.00,650.00
Department of Home Affairs (DHA),Head office- Civic Services,MTHOWANI,SANITIZING WIPES,Petty Cash,2020-06-30,Petty Cash,3,Pack,450.00,1350.00
Department of Home Affairs (DHA),Head office- Civic Services,MAKRO,BATTERIES,Petty Cash,2020-06-11,Petty Cash,3,,654.33,1963.00
Department of Home Affairs (DHA),Head office- Civic Services,Plastics R us,LOTION PUMP BOTTLE 10,Petty Cash,2020-06-25,Petty Cash,17,,117.00,1989.00
Department of Home Affairs (DHA),Head office- Civic Services,MTHOWANI,STAND,Petty Cash,2020-07-02,Petty Cash,1,,650.00,650.00
Department of Home Affairs (DHA),Head office- Civic Services,MTHOWANI,SANITIZING WIPES,Petty Cash,2020-07-02,Petty Cash,3,Pack,450.00,1350.00
Department of Home Affairs (DHA),EC Region 1,Ezolutsha Trading,Sanitisers,Acceptance letter,2020-03-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100 litre,per litre,120.00,12000.00
Department of Home Affairs (DHA),EC Region 2,Ntuba Ltd Pty,Sanitisers,Acceptance letter,2020-03-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100 litre,per litre,130.00,13000.00
Department of Home Affairs (DHA),EC Region 3,Ntuba Ltd Pty,Sanitisers,Acceptance letter,2020-03-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100 litre,per litre,136.00,13600.00
Department of Home Affairs (DHA),EC Region 4,Nodoli,Sanitisers,Acceptance letter,2020-03-26,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100 litre,per litre,136.00,13600.00
Department of Home Affairs (DHA),EC Provincial Office,The Stationers & Computer shop,Gloves,Petty cash,2020-04-17,Petty Cash,11,box of 50,175.00,1925.00
Department of Home Affairs (DHA),EC Region 1,The Stationers  & Computer shop,Gloves,Petty cash,2020-04-17,Petty Cash,11,box of 50,175.00,1925.00
Department of Home Affairs (DHA),EC Region 2,The Stationers  & Computer shop,Gloves,Petty cash,2020-04-17,Petty Cash,11,box of 50,175.00,1925.00
Department of Home Affairs (DHA),EC Region 3,The Stationers & Computer shop,Gloves,Petty cash,2020-04-17,Petty Cash,11,box of 50,175.00,1925.00
Department of Home Affairs (DHA),EC Region 4,The Stationers & Computer shop,Gloves,Petty cash,2020-04-17,Petty Cash,11,box of 50,175.00,1925.00
Department of Home Affairs (DHA),EC PE LOL,JOE DAVIS,Spray bottles,Acceptance letter,2020-03-23,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,11,per litre,20.00,220.00
Department of Home Affairs (DHA),EC PE LOL,BKB DISTRIBUTORS,Sanitisers,Acceptance letter,2020-03-23,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,1,5litre,340.00,340.00
Department of Home Affairs (DHA),EC PE LOL,BKB DISTRIBUTORS,Sanitisers,Acceptance letter,2020-03-23,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,2,1litre,56.00,112.00
Department of Home Affairs (DHA),EC Grahamstown Lom,Cassim's,Sanitisers,Acceptance letter,2020-03-27,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,5,per litre,100.00,500.00
Department of Home Affairs (DHA),EC Grahamstown Lom,Cassim's,Gloves,Acceptance letter,2020-03-27,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,2,100 per box,180.00,360.00
Department of Home Affairs (DHA),EC KWT,SPAR,Sanitisers,Petty cash,2020-03-17,Petty Cash,7,50 ml,16.99,118.93
Department of Home Affairs (DHA),EC KWT,CLICKS Phamarcy,Sanitisers,Petty cash,2020-03-10,Petty Cash,16,250 ml,16.99,271.84
Department of Home Affairs (DHA),EC KWT,CLICKS Phamarcy,Sanitisers,Petty cash,2020-03-18,petty Cash,9,250 ml,16.99,152.91
Department of Home Affairs (DHA),EC KWT,BRANDO'S Pharmacy,Gloves,Petty cash,2020-03-20,Petty Cash,1,box of 50,114.95,114.95
Department of Home Affairs (DHA),EC KWT,CLICKS Phamarcy,Sanitisers,Petty cash,2020-03-21,Petty Cash,3,each,89.99,269.97
Department of Home Affairs (DHA),EC East London,Fantasy Trading,Sanitizer Containers,Petty cash,2020-03-20,petty cash,32,bottle,7.55,241.50
Department of Home Affairs (DHA),EC Bizana Office,Aminachem Pty Ltd,Sanitiser (For Tabankulu Office),Petty cash,2020-03-18,Petty cash,1,5 litre,350.00,350.00
Department of Home Affairs (DHA),EC Bizana Office,Sylewyse Cosmics Bizana,Dettol (For Bizana Office),Petty cash,2020-03-20,Petty cash,2,750 ml,69.99,139.98
Department of Home Affairs (DHA),EC Bizana Office,Lathi-thaa Pharmacy,Gloves (For Mt Ayliff Office),Petty cash,2020-03-20,Petty cash,1,box of 50,129.95,129.95
Department of Home Affairs (DHA),EC Bizana Office,Lathi-thaa Pharmacy,Sanitiser (For Mt Ayliff Office),Petty cash,2020-03-20,Petty cash,1,500 ml,120.05,120.05
Department of Home Affairs (DHA),EC Bizana Office,Lathi-thaa Pharmacy,Sanitiser (For Mt Ayliff Office),Petty cash,2020-03-20,Petty cash,1,100 ml,39.95,39.95
Department of Home Affairs (DHA),EC Bizana Office,Arise and Shine Ministries,Sanitiser (For Bizana Office),Petty cash,2020-03-26,Petty cash,6,500 ml,85.00,510.00
Department of Home Affairs (DHA),EC Lusikisiki,Superpar,Detol,Petty cash,2020-03-17,Petty cash,4,750 ml,85.99,343.96
Department of Home Affairs (DHA),EC Lusikisiki,Superpar,Health & Beauty ( GERMEX HYGIENE LIQUID),Petty cash,2020-03-17,Petty cash,5,750 ml,38.99,194.95
Department of Home Affairs (DHA),EC Lusikisiki,Ingquza Hill Pharmacy,Gloves,Petty cash,2020-03-17,Petty cash,3,box,170.98,512.94
Department of Home Affairs (DHA),EC Lusikisiki,Jabula Supermarket,Menthol Spirit,Petty cash,2020-03-18,Petty cash,6,750 ml,14.00,84.00
Department of Home Affairs (DHA),EC Lusikisiki,Emax Home,Plastic Water bottles,Petty cash,2020-03-18,Petty cash,9,each,16.00,144.00
Department of Home Affairs (DHA),EC Lusikisiki,Shorprite,Cleaning Clothes,Petty cash,2020-03-18,Petty cash,8,pack,19.99,159.92
Department of Home Affairs (DHA),EC Lusikisiki,Entabeni Hardware Express,Plastic Water Bottles,Petty cash,2020-03-18,Petty cash,6,each,12.95,77.70
Department of Home Affairs (DHA),EC Lusikisiki,Entabeni Hardware Express,Plastic Water Bottles,Petty cash,2020-04-19,Petty cash,3,each,12.95,38.85
Department of Home Affairs (DHA),EC Mthatha Office,Blazing Silver Trading,Detol,Petty cash,19.03.2020,Petty cash,3,2 litre,118.99,356.97
Department of Home Affairs (DHA),EC Mthatha Office,Cash Build,Dust Musk,Petty cash,20.03.2020,Petty cash,19,pack of 5,69.95,1329.08
Department of Home Affairs (DHA),EC Mthatha Office,Clicks,Gloves,Petty cash,20.03.2020,Petty cash,4,box,108.00,432.00
Department of Home Affairs (DHA),EC Mthatha Office,Quality Plumbers,Dust Musk,Petty cash,20.03.2020,Petty cash,4,pack of 48,48.00,192.00
Department of Home Affairs (DHA),EC Mthatha Office,Soul Fire Holdings,Sanitiser,Petty cash,26.03.2020,Petty cash,2,5 litre,550.00,1100.00
Department of Home Affairs (DHA),EC Region 4,Guleni Projects,Cloth Masks,EC-010061,15.05.2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,300,each,24.50,7350.00
Department of Home Affairs (DHA),EC Region 1,Phumaphambili Agric and Textile,Cloth Masks,EC-010058,11.05.2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,500,each,25.00,12500.00
Department of Home Affairs (DHA),EC Region 1,Ulu Trading PTY (LTD),Deep cleaning- 15 offices,EC-010048,08.05.2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,15 Offices (5 725 m2),once off,,118380.00
Department of Home Affairs (DHA),EC Region 3,JK Tech Promo,Sanitizers,EC-010057,07.06.2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,24,25 litres,1466.25,40468.50
Department of Home Affairs (DHA),EC Region 2,Spumeze Trading,Sanitizers,EC-010050,07.06.2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,50,5 litres,411.12,20556.00
Department of Home Affairs (DHA),EC Region 3,Evergreen Latex Gloves,Gloves,EC-010059,01.06.2020,Contract,5000,Box,57.34,286700.00
Department of Home Affairs (DHA),EC Region 2,Africa's Plumber,Deep cleaning- 16 offices,EC-010055,08.05.2020,CSD,16 Offices,once off,114950.00,114950.00
Department of Home Affairs (DHA),EC Region 1,Libhongo trading Enterprise,sanitizers,EC-010131,22.07.2020,Order number,30,25 litres,2000.00,60000.00
Department of Home Affairs (DHA),EC- Grahamstom,Luphiwam Trading,Deep cleaning,EC- 010155,2020-06-03,Order number,1 office,3 months,15063.03,45189.09
Department of Home Affairs (DHA),EC-Region 2,Ezanathi solutions,Sanitizers,EC-010150,2020-08-02,Order number,50,5 litres,482.00,24100.00
