"",CONSOLIDATIONOF ORDERS PLACED FOR COVID-19 RELATED PROCUREMENT AND PERSONAL PROTECTIVE EQUIPMENT : DEPARTMENT OF HOME AFFAIRS,,,,,,,,,
"",OFFICE,Supplier Name,"Item Description (Gloves, Masks, Sanitisers, etc)",Order No.,Date Purchased,Process Followed,Qty,Unit of Measure,Unit Price,Total Price
"",Head office- Civic Serv,cEedsna Medical Distributors,Gloves - Surgical & Examination - Natural Rubber Latex (BVR),Petty Cash,18/03/2020,Petty Cash,12,Box of 100,R90.00,"R1,080.00"
"",Head office- Civic Serv,cReNsD Amalgamated Pest Control and Higiene Specialist,Sanitisers (BVR),Petty Cash,20/03/2020,Petty Cash,1,25 litres,"R4,025.00","R4,025.00"
"",Head office- Civic Serv,cKeIsTA TOURS DELIVERIES,BOTTLE SPRAYS,OR-109707,13/7/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,700,each,R15.60,"R10,920.00"
"",Head office- Civic Serv,cKeOsMAPE MANIA TRADING ENTERPRISE,STEEL FOOT DISPENSER,OR-109706,13/07/2020,SCM PROCESS FLOW,22,each,"R1,900.00","R41,800.00"
"",Head office- Civic Serv,cPelsastics R us,Spray bottles,Petty Cash,02/05/2020,Petty Cash,150,100 ML,R16.01,"R2,402.00"
"",Head office- Civic Serv,cMesTHOWANI,STAND,Petty Cash,30/06/2020,Petty Cash,1,,R650.00,R650.00
"",Head office- Civic Serv,cMesTHOWANI,SANITIZING WIPES,Petty Cash,30/06/2020,Petty Cash,3,Pack,R450.00,"R1,350.00"
"",Head office- Civic Serv,cMesAKRO,BATTERIES,Petty Cash,11/06/2020,Petty Cash,3,,R654.33,"R1,963.00"
"",Head office- Civic Serv,cPeLsASTICS R US,LOTION PUMP BOTTLE 10,Petty Cash,25/06/2020,Petty Cash,17,,R117.00,"R1,989.00"
"",Head office- Civic Serv,cMesTHOWANI,STAND,Petty Cash,02/07/2020,Petty Cash,1,,R650.00,R650.00
"",Head office- Civic Serv,cMesTHOWANI,SANITIZING WIPES,Petty Cash,02/07/2020,Petty Cash,3,Pack,R450.00,"R1,350.00"
"",EC Region 1,Ezolutsha Trading,Sanitisers,Acceptance letter,26/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100 litre,per litre,R120.00,"R12,000.00"
"",EC Region 2,Ntuba Ltd Pty,Sanitisers,Acceptance letter,26/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100 litre,per litre,R130.00,"R13,000.00"
