buyer_name,implementation_location_province,Cluster,implementation_location_other,supplier_name,company_registration_number,RFQ,Contract,hea_Number,PO Printed Date,Fund Name,Project Name,Sub Category Item,items_description,items_quantity,QTY Received,implementation_status,order_amount_zar,bbbee_status,Contract Amount,Invoice Receipt Date,invoice_date,PAID WITHIN 30 DAYS
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,CERES,LC CERES,MAAA0011153 EXCELL CONSUMABLES,2007/020896/23,YES,,POO00003N6,2020-07-14T09:26:08.277,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,4140.00,Level 1,,2020-06-26,2020-07-17,21
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0573505 AVELLANCHE PROJECTS,2018/036009/07,YES,,POO00003M1,2020-07-11T11:35:45.057,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,6981.00,Level 1,,2020-06-30,2020-07-23,23
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0760842 KHENSI M GROUP,2019/174737/07,YES,,POO00003M3,2020-07-11T11:44:43.223,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,81812.50,Level 1,,2020-06-30,2020-07-23,23
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0909785 MUCHIPISENI BUSINESS ENTERPRISE,2019/266309/07,YES,,POO000032B,2020-07-02T14:22:42.963,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,54281.00,Level 1,,2020-07-02,2020-07-28,26
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0635070 ORIS HYGIENE AND CHEMICAL SOLUTIONS,2018/049859/07,YES,,POO0000384,2020-07-07T10:37:27.360,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,135648.00,Level 1,,2020-07-04,2020-07-27,23
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0635070 ORIS HYGIENE AND CHEMICAL SOLUTIONS,2018/049859/07,YES,,POO000035V,2020-07-03T15:22:16.660,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,36894.60,Level 1,,2020-07-04,2020-07-29,25
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0725623 PHILA AND NANA TRADING,2018/501278/07,YES,,POO00003LX,2020-07-11T11:06:30.633,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,27300.00,Level 1,,2020-07-04,2002-07-31,27
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO0000360,2020-07-05T14:39:13.290,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,21280.00,Level 1,,2020-07-07,2020-07-29,22
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00003F2,2020-07-08T14:51:41.360,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,25360.00,Level 2,,2020-07-08,2020-04-08,27
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,STRAND,LC STRAND,MAAA0079199 PEST RELIEVERS,2002/051888/23,YES,,POO00003M4,2020-07-11T14:16:35.910,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,1955.00,Level 1,,2020-07-10,2020-07-17,7
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0333840 BK AUGUST GROUP,2013/228658/07,YES,,POO00003BQ,2020-07-07T16:44:21.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,29799.38,Non-compliant contributor,,2020-07-10,2020-07-27,17
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0635070 ORIS HYGIENE AND CHEMICAL SOLUTIONS,2018/049859/07,YES,,POO00003KB,2020-07-10T12:44:12.247,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,4283.73,Level 1,,2020-07-10,2020-07-27,17
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,SWELLENDAM,LC SWELLENDAM,MAAA0550383 OVERBERG PEST CONTROL,1999/067843/23,YES,,POO000044B,2020-07-23T08:38:49.613,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,6895.00,Non-compliant contributor,,2020-07-10,2020-07-28,18
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,KNYSNA,LC KNYSNA,MAAA0234220 GARRETT ASSEMBLIES,1986/013125/23,YES,,POO00003FM,2020-07-09T11:53:54.920,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,12895.53,Level 2,,2020-07-10,2020-07-30,20
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0927977 CLAIRSERVICES,2020/233408/07,YES,,POO00003WC,2020-07-17T10:07:38.150,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,4500.00,Level 1,,2020-07-12,2020-07-28,16
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,KIMBERLEY,LC KIMBERLEY,MAAA0160451 TIRISO INVESTMENTS,1999/066851/23,YES,,POO00003D1,2020-07-08T15:50:49.557,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,3656.19,Level 1,,2020-07-13,2020-07-20,7
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,KIMBERLEY,LC KIMBERLEY,MAAA0160451 TIRISO INVESTMENTS,1999/066851/23,YES,,POO00003D0,2020-07-08T15:50:38.063,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,765.00,Level 1,,2020-07-13,2020-07-20,7
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,ALIWAL NORTH,LC ALIWAL NORTH,MAAA0911285 JUNCTION HEALTH CARE,2016/453951/07,YES,,POO00003XR,2020-07-17T13:03:40.493,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,3688.09,1,Completed,23603.78,Level 1,,2020-07-13,2020-08-05,23
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0090530 RUDAMANS (NELSPRUIT),1985/003433/07,YES,,POO00003GW,2020-07-09T12:53:08.620,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT>R5000,CLEANER HIGH PRESSURE,3,3,Completed,17168.00,Non-compliant contributor,,2020-07-14,2020-07-17,3
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0563953 BHEKA SINOLWAZI TRADING,2017/501661/07,YES,,POO00003M0,2020-07-11T11:30:50.900,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,29112.50,Level 1,,2020-07-14,2020-07-23,9
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0908768 ABUTI APPAREL,2018/098062/07,YES,,POO00003ZX,2020-07-17T15:38:16.860,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,9007.44,Level 1,,2020-07-14,2020-07-27,13
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0878416 TKG TRADING ENTERPRISES,2020/053728/07,YES,,POO00004NT,2020-07-31T15:34:38.510,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,10784.00,Level 1,,2020-07-14,2020-08-07,24
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,GEORGE,LC GEORGE,MAAA0461862 APCOT TRADING,2017/143621/07,YES,,POO00003PH,2020-07-14T11:49:57.293,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,21600.00,Level 1,,2020-07-15,2020-07-23,8
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0333840 BK AUGUST GROUP,2013/228658/07,YES,,POO00003Q9,2020-07-14T13:53:42.697,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,5725.45,Non-compliant contributor,,2020-07-15,2020-07-27,12
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0748283 NOSHA TRADING AND PROJECTS,2009/172208/23,YES,,POO000046B,2020-07-22T15:06:51.410,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,9796.00,Level 1,,2020-07-15,2020-07-28,13
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921 FIZNEF TRADING 10,2011/050820/23,YES,,POO000039S,2020-07-07T14:37:47.497,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,1850.00,Level 4,,2020-07-15,2020-08-06,22
