Region,Cluster,Responsibility,Supplier,Supplier Registration Number,RFQ,Contract,hea_Number,PO Printed Date,Fund Name,Project Name,Sub Category Item,Item Name,QTY Ordered,QTY Received,PO Status,RFQ Amount,B-BBEE Contibutor Level,Contract Amount,INVOICE RECEIVED DATE,PAYMENT DATE,PAID WITHIN 30 DAYS
WESTERN CAPE,CERES,LC CERES,MAAA0011153 EXCELL CONSUMABLES,2007/020896/23,YES,,POO00003N6,2020-07-14T09:26:08.277,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"4,140.00",Level 1,,6/26/2020,7/17/2020,21
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0573505 AVELLANCHE PROJECTS,2018/036009/07,YES,,POO00003M1,2020-07-11T11:35:45.057,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"6,981.00",Level 1,,6/30/2020,7/23/2020,23
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0760842 KHENSI M GROUP,2019/174737/07,YES,,POO00003M3,2020-07-11T11:44:43.223,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"81,812.50",Level 1,,6/30/2020,7/23/2020,23
MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0909785 MUCHIPISENI BUSINESS ENTERPRISE,2019/266309/07,YES,,POO000032B,2020-07-02T14:22:42.963,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"54,281.00",Level 1,,7/2/2020,7/28/2020,26
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0635070 ORIS HYGIENE AND CHEMICAL SOLUTIONS,2018/049859/07,YES,,POO0000384,2020-07-07T10:37:27.360,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"135,648.00",Level 1,,7/4/2020,7/27/2020,23
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0635070 ORIS HYGIENE AND CHEMICAL SOLUTIONS,2018/049859/07,YES,,POO000035V,2020-07-03T15:22:16.660,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"36,894.60",Level 1,,7/4/2020,7/29/2020,25
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0725623 PHILA AND NANA TRADING,2018/501278/07,YES,,POO00003LX,2020-07-11T11:06:30.633,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"27,300.00",Level 1,,7/4/2020,7/31/2020,27
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO0000360,2020-07-05T14:39:13.290,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"21,280.00",Level 1,,7/7/2020,7/29/2020,22
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO00003F2,2020-07-08T14:51:41.360,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"25,360.00",Level 2,,7/8/2020,8/4/2020,27
WESTERN CAPE,STRAND,LC STRAND,MAAA0079199 PEST RELIEVERS,2002/051888/23,YES,,POO00003M4,2020-07-11T14:16:35.910,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"1,955.00",Level 1,,7/10/2020,7/17/2020,7
