buyer_name,implementation_location_facility,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,Quantities,order_amount_zar,"Branding other than
 Supplier Name that
 appeared on items"
Department of Justice and Constitutional Development, DDPP Bhisho,2020-04-15,Abacus Supply Chain Solutions (PTY) Ltd,5L Handsanitiser with 70% Alcohol,6,475,475,3277.5,None
Department of Justice and Constitutional Development, DDPP Bhisho,2020-04-16,Heinen Uniforms & Ebroider Studio,Face Masks,17.39,130,130,2599.95,None
Department of Justice and Constitutional Development, DDPP Durban,2020-03-19,AIG INTERNATIONAL,SANITIZERS,100,18,18,2070,None
Department of Justice and Constitutional Development, DDPP Durban,2020-04-02,SERVICE ROYALE HYGIENE SPECIALISTS KZN,MASKS,25,200,200,5750,None
Department of Justice and Constitutional Development, DDPP Durban,2020-04-14,SERVICE ROYALE HYGIENE SPECIALISTS KZN,MASKS,25,90,90,2587.5,None
Department of Justice and Constitutional Development, DDPP Durban,2020-04-16,DISCHEM,GLOVES,119.95,,6 BOXES,720.7,None
Department of Justice and Constitutional Development, DDPP Durban,2020-04-19,DISCHEM,GLOVES,119.95,,7 BOXES,854.6,None
Department of Justice and Constitutional Development, DDPP Port Elizabeth,2020-03-24,Antonroland Enterprises,Hand Sprayer bottles 5 lit,242.18,11,11x 5 lit,1210.9,None
Department of Justice and Constitutional Development, DDPP Port Elizabeth,2020-04-15,Conticare,Gloves,1100,,5 boxes,5500,None
Department of Justice and Constitutional Development, DDPP Port Elizabeth,2020-05-18,Saniti ZA,Sanitaz Units,650,8,8,5200,None
Department of Justice and Constitutional Development, DDPP Port Elizabeth,2020-06-10,WB Metal Design,Foot Operated Saniter Stands,550,6,6,2700,none
Department of Justice and Constitutional Development, DPP BISHO,2020-04-01,Decontimination of offices,Decontamination,,,,9200,None
Department of Justice and Constitutional Development, DPP BISHO,2020-05-01,Decontimination of offices,Decontamination,,,,9700,None
Department of Justice and Constitutional Development, DPP BISHO,2020-05-01,Decontimination of offices,Decontamination,,,,2700,None
Department of Justice and Constitutional Development, DPP BISHO,2020-07-01,Decontimination of offices,Decontamination,,,,18400,None
Department of Justice and Constitutional Development, DPP Bloemfontein,2020-03-31,Adcoc Ingram,Sanitizer 500ml,65.88,54,54 x 500ml,3557.52,None
Department of Justice and Constitutional Development, DPP Bloemfontein,2020-04-14,the inspired bunny,Re-usable masks,40,120,120,4800,None
Department of Justice and Constitutional Development, DPP Bloemfontein,2020-05-19,SHIFT CONSULTING,RE-USABLE FACE MASKS -  BLOEMFONTEIN,,,,12700,None
Department of Justice and Constitutional Development, DPP Bloemfontein,2020-05-25,ARISING VISONARIES,SANITIZERS x 254 - DPP BLOEMFONTEIN,,,,77470,None
Department of Justice and Constitutional Development, DPP Cape Town,2020-05-19,DESIGN26 FOUNDATION,RE-USABLE FACE MASKS - DPP CAPE TOWN,,,,25806,None
Department of Justice and Constitutional Development, DPP Cape Town,2020-05-19,KHACHANI ENTERPRISE,FACE SHIELDS x 500,,,,11300,None
Department of Justice and Constitutional Development, DPP Cape Town,2020-05-26,REROX,SANITIZERS x 528 - CAPE TOWN,,,,144883.2,None
Department of Justice and Constitutional Development, DPP CAPE TOWN,2020-05-01,Decontimination of offices,Decontamination,,,0,3455.94,None
Department of Justice and Constitutional Development, DPP CAPE TOWN,2020-07-01,Decontimination of offices,Decontamination,,,0,3455.94,None
Department of Justice and Constitutional Development, DPP DURBAN,2020-05-01,Decontimination of offices,Decontamination,,,0,3482.96,None
Department of Justice and Constitutional Development, DPP DURBAN,2020-06-01,Decontimination of offices,Decontamination,,,0,3482.96,None
Department of Justice and Constitutional Development, DPP DURBAN,2020-07-01,Decontimination of offices,Decontamination,,,0,3482.96,None
Department of Justice and Constitutional Development, DPP Grahamstown,2020-04-15,Abacus supply chain solutions,Handsanitizer,475,,6 x 5l,2850,None
Department of Justice and Constitutional Development, DPP Grahamstown,2020-04-15,Mustard seed,Handsanitizer,404.1,,2 x 2l,808.2,None
Department of Justice and Constitutional Development, DPP Grahamstown,2020-04-15,Heinen Embroidery,Face Masks,20,81,81,1620,None
Department of Justice and Constitutional Development, DPP Grahamstown,2020-05-18,A D MEDICAL,FACE SHIELDS x 600,,,,16491,None
Department of Justice and Constitutional Development, DPP Grahamstown,2020-05-19,CAPE BUSINESS AND ENGINEERING COLLEGE,RE-USABLE FACE MASKS - EASTERN CAPE,,,,15884,None
Department of Justice and Constitutional Development, DPP Grahamstown,2020-05-25,TRIPLEM SERVIC,SANITIZERS x 361 - EASTERN CAPE OFFICE,,,,86683.32,None
Department of Justice and Constitutional Development, DPP Grahamstown,2020-09-04,Heinen Embroidery,Face Masks,20,10,10,200,None
Department of Justice and Constitutional Development, DPP GRAHAMSTOWN,2020-04-01,Decontimination of offices,Decontamination,,,0,1120,None
Department of Justice and Constitutional Development, DPP GRAHAMSTOWN,2020-05-01,Decontimination of offices,Decontamination,,,0,450,None
Department of Justice and Constitutional Development, DPP GRAHAMSTOWN,2020-06-01,Decontimination of offices,Decontamination,,,0,1000,None
Department of Justice and Constitutional Development, DPP Johannesburg,2020-09-03,Reggae Products,Hand sanitisers,21,92,92,1932,None
Department of Justice and Constitutional Development, DPP Johannesburg,2020-03-18,Muluila Supermarket,Hand sanitisers,110,31,31,3410,None
Department of Justice and Constitutional Development, DPP Johannesburg,2020-03-19,China shop,Gloves,60,4,4,240,None
Department of Justice and Constitutional Development, DPP Johannesburg,2020-03-24,Gzwivhuya group,Hand sanitisers,4000,1,1,4000,None
Department of Justice and Constitutional Development, DPP Johannesburg,2020-04-20,Walkerville Pharmacy,Face masks,30,100,100,3000,None
Department of Justice and Constitutional Development, DPP Johannesburg,2020-04-21,PPE Pharma Supplies,Face masks,20,300,300,6000,None
Department of Justice and Constitutional Development, DPP Johannesburg,2020-05-20,FLAMINGO MOON TRADING 146,RE-USABLE FACE MASKS - JHB,,,,19927.2,None
Department of Justice and Constitutional Development, DPP Johannesburg,2020-05-25,CHANTEL CONSORTIUM,SANITIZERS x 456 - DPP JHB,,,,118560,None
Department of Justice and Constitutional Development, DPP JOHANNESBURG,2020-01-04,Decontimination of offices,Decontamination,,,0,45895.05,None
Department of Justice and Constitutional Development, DPP JOHANNESBURG,2020-01-05,Decontimination of offices,Decontamination,,,0,45895.05,None
Department of Justice and Constitutional Development, DPP JOHANNESBURG,2020-01-06,Decontimination of offices,Decontamination,,,0,112595.05,None
Department of Justice and Constitutional Development, DPP JOHANNESBURG,2020-01-07,Decontimination of offices,Decontamination,,,0,112595.05,None
Department of Justice and Constitutional Development, DPP KIMBERLEY,2020-01-06,Decontimination of offices,Decontamination,,,0,8902.75,None
Department of Justice and Constitutional Development, DPP KIMBERLEY,2020-01-07,Decontimination of offices,Decontamination,,,0,16845.53,None
Department of Justice and Constitutional Development, DPP Kimberley,2020-05-21,THE EYE NORTHERN CAPE,RE-USABLE FACE MASKS - KIMBERLY,,,,7100,None
Department of Justice and Constitutional Development, DPP Kimberley,2020-05-25,AMBITIOUSD ENTERPRISE,SANITIZERS x 142 - DPP KIMBERLEY,,,,43310,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-20,CHARMERS,LH GKOVES BLUE BOX,100,2,2,200,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-20,CHARMERS,LH GKOVES BLUE BOX,100,2,2,200,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-20,OSBRO CASH & CARRY (PTY) LTD PLK,BACKET AND LID 20L,32,1,1,32,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-20,OSBRO CASH & CARRY (PTY) LTD PLK,MEASURING JUG 600ML,19,1,1,19,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-20,OSBRO CASH & CARRY (PTY) LTD PLK,BACKET AND LID 2.5L,8.5,1,1,8.5,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-20,CLICKS PHARMACY POLOKWANE,FIRST AID MASK,10.99,4,4,43.96,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-20,CITY HAWKERS POLOKWANE,DISHWASHER 2L,19.99,1,1,19.99,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-20,CITY HAWKERS POLOKWANE,DETTOL 250ML,45,1,1,45,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-20,CITY HAWKERS POLOKWANE,BLEACH 750ML,23.97,1,1,23.97,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-20,CITY HAWKERS POLOKWANE,SPRAY BOTTLE,13.99,2,2,27.98,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-20,CITY HAWKERS POLOKWANE,SPIRITS 750 ML KC,24.99,1,1,24.99,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-24,RAZA BROARDWAY SUPERMARKET,SAVLON ANTISEPIC 2LT,130,1,1,130,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-24,RAZA BROARDWAY SUPERMARKET,ANGEL SPIRITS 750ML,20,3,3,60,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-24,RAZA BROARDWAY SUPERMARKET,DETTOL 250ML,45,1,1,45,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-24,CHARMERS,LH GKOVES BLUE BOX,120,10,10,1200,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-24,OSBRO CASH & CARRY (PTY) LTD PLK,Spray bottles  50ml (CLEANING KIT),5,200,200,1000,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-24,CITY HAWKERS POLOKWANE,BLEACH 5L LIMI,19.99,2,2,39.98,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-24,CITY HAWKERS POLOKWANE,DISHWASHER 2L,19.99,1,1,19.99,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-24,CITY HAWKERS POLOKWANE,SPIRITS 750 ML KC,24.99,2,2,49.98,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-24,CITY HAWKERS POLOKWANE,DISHWASHER 5L,49.99,2,2,99.98,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,PICK N PAY,LARGE CARRIER BAG,0.6,3,3,1.8,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,RAZA BROARDWAY SUPERMARKET,SAVLON ANTISEPIC 2LT,130,3,3,390,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,RAZA BROARDWAY SUPERMARKET,ANGEL SPIRITS 750ML,20,2,2,40,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,RAZA BROARDWAY SUPERMARKET,JUMBO PLASTIC BENJI,2,1,1,2,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,CHARMERS,PLASTIC BAG,1,1,1,1,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,CHARMERS,SPRAY BOTTLE,6,2,2,120,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,CHARMERS,SPRAY BOTTLE,6,4,4,24,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,CHARMERS,PLASTIC BAG,1,1,1,1,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,PICK N PAY,SPIRIT VINEGAR WHITE,24.99,1,1,24.99,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,PICK N PAY,VINEGAR SPIRIT,17.99,1,1,17.99,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,PICK N PAY,DISHWASHER,99.99,2,2,199.98,None
Department of Justice and Constitutional Development, DPP Limpopo,2020-03-25,PICK N PAY,THIN BLEACH LEMON,45.99,3,3,137.97,None
