buyer_name,supplier_name,bbbee_status,items_description,items_quantity,items_unit,"(f) Average unit
 price","(g) Date of
 applicable
 National
 Treasury price",order_amount_zar,"(i) Turnaround
 time of
 payment"
Legal Aid South Africa, Amakhambi Medical Supplies,Level 1 BEE contributor,Sanitisers,60x 500ml,Litres,N/A,N/A,4000,30 days
Legal Aid South Africa, Kusile facilities,Level 1 BEE contributor,Sanitisers plus sargical cloves,20@500ml,Litres,N/A,N/A,1776.75,30 days
Legal Aid South Africa, Transatlantic Construction and earthworks,"7 years in business. Level 2
 BEE contributor",Infrared Thermometers (non-touch),152,Litres,1499.99,28 April 2020,229027.88,30 days
Legal Aid South Africa, Spot on Trading,Level 1 BEE contributor,Sanitizers& spray bottles,"143@5l plus 278
 spray bottles",litres,,28 April 2020,52923.95,30 days
Legal Aid South Africa, Kusile Facilities,Level 1 BEE contributor,Cleaning of offices Decontamination,Cleaning of 9 floor x4,N/A,N/A,N/A,69000,30 days
Legal Aid South Africa, All staff- Allowance,N/A,Sanitisation and masks allowances,,N/A,N/A,N/A,586350,30 days
Legal Aid South Africa, Rentokil,N/A,Sanitisers,,N/A,N/A,N/A,316.3,30 days
Legal Aid South Africa, Procure Stat (Pty) Ltd,N/A,Masks,,N/A,N/A,N/A,500,30 days
Legal Aid South Africa, Paxol SA and Packaging Solutions,N/A,Gloves,,N/A,N/A,N/A,100,30 days
Legal Aid South Africa, Procure Stat (Pty) Ltd,N/A,Sanitisers,,N/A,N/A,N/A,1690,30 days
Legal Aid South Africa, Capcom,N/A,Gloves,,N/A,N/A,N/A,1000,30 days
Legal Aid South Africa, Capcom,N/A,Gloves,,N/A,N/A,N/A,440,30 days
Legal Aid South Africa, Belville Packaging,N/A,Face masks,,N/A,N/A,N/A,1340,30 days
Legal Aid South Africa, Clicks,N/A,Satizers,,N/A,N/A,N/A,250.5,30 days
Legal Aid South Africa, Mambos Plastics,N/A,Sanitizers containers,,N/A,N/A,N/A,263.8,30 days
Legal Aid South Africa, Mad Buldogz Distributors,N/A,Masks,,N/A,N/A,N/A,297.2,30 days
Legal Aid South Africa, Clicks - Caledon,N/A,Sanitisers,,N/A,N/A,N/A,450.34,30 days
Legal Aid South Africa, Procure Stat (Pty) Ltd,N/A,Masks,,N/A,N/A,N/A,792,30 days
Legal Aid South Africa, Procure Stat (Pty) Ltd,N/A,Sanitisers,,N/A,N/A,N/A,700,30 days
Legal Aid South Africa, United Paints George,N/A,Sanitisers,,N/A,N/A,N/A,539,30 days
Legal Aid South Africa, Maskup Protective Mask Manufacturers,N/A,Masks,,N/A,N/A,N/A,2000,30 days
Legal Aid South Africa, Mosselbay Phamarcy,N/A,Masks,,N/A,N/A,N/A,320,30 days
Legal Aid South Africa, Maskup Protective Mask Manufacturers,N/A,Masks,,N/A,N/A,N/A,600,30 days
Legal Aid South Africa, Procure Stat (Pty) Ltd,N/A,Sanitisers,,N/A,N/A,N/A,600,30 days
Legal Aid South Africa, Procure Stat (Pty) Ltd,N/A,Masks,,N/A,N/A,N/A,276,30 days
Legal Aid South Africa, Gadijahs Supplies,N/A,Masks,,N/A,N/A,N/A,600,30 days
Legal Aid South Africa, Pacino's,N/A,Masks,,N/A,N/A,N/A,140,30 days
Legal Aid South Africa, Procure Stat (Pty) Ltd,N/A,Sanitisers,,N/A,N/A,N/A,1750,30 days
