buyer_name,,No.,items_description,supplier_name,order_amount_zar,Duration,award_date,bbbee_status,% Owned by black people,% Owned by youth,% Owned by black women ,% Owned by people with disabilities,order_number,COMMENTS 
Department of Mineral Resources and Energy (DMRE),CLEANING SERVICES CONTRACT SANITIZATION ,1,"Appointment of FP Hygiene Services to install and replenish a minimum
of 600/o ak:ohol-based hand sanitize in cape Town for a period or six
(06) months.","FP Hygiene Services 
",9521.63,06 months,2020-03-13,Level 1,100%,0%,0%,0%,OR-027430,Ongoing
Department of Mineral Resources and Energy (DMRE),CLEANING SERVICES CONTRACT SANITIZATION ,2,Appointment of FP Hygiene Services to install and replenish a minimum of 60%alcohol-based hand sanilizers in Durban for a period of six (06) months.,"FP Hygiene Services 
",9521.63,06 months,2020-03-13,Level 1,100%,0%,0%,0%,OR-027428,Ongoing
Department of Mineral Resources and Energy (DMRE),CLEANING SERVICES CONTRACT SANITIZATION ,3,Appointment of Calvary Enterprise cc to install and replenish a minimum of 60%alcohol-based hand sanitizers in Witbank Regional Office for a riod of six 06 months.,"Calvary Enterprise CC 
",25396.48,06 months,2020-03-13,Level 1,100%,0%,0%,0%,,Ongoing
Department of Mineral Resources and Energy (DMRE),CLEANING SERVICES CONTRACT SANITIZATION ,4,Appointment of Calvary Enterprise cc to install and replenish a minimum of 60%alcohol-based hand sanitizers in Polokwane Regional Office for a riod O S 06 months.,"Calvary Enterprise CC 
",29763.84,06 months,2020-03-13,Level 1,100%,0%,0%,0%,OR-027426,Ongoing
Department of Mineral Resources and Energy (DMRE),CLEANING SERVICES CONTRACT SANITIZATION ,5,"Appointment of Calvery Enterprise cc to install and replenish a minimum of 60%alcohol-based hand sanitizers in Welkom Regional o, fora ·odofsix 06 mo ths",Calvary Enterprise CC ,16661.77,06 months,2020-03-13,Level 1,100%,0%,0%,0%,OR-027435,Ongoing
Department of Mineral Resources and Energy (DMRE),CLEANING SERVICES CONTRACT SANITIZATION ,6,Appoinlment of Lindokuhlemale Trading and Projects lo install and replenish a minimum of 60%alcohol-based hand sanitizers in Braamfonte e ·onal Office for a riod of six 06 monlhs.,Llndokuhlemate Trading and Projects ,11886.00,06 months,2020-03-13,Level 1,100%,0%,100%,0%,OR-027434,Ongoing
Department of Mineral Resources and Energy (DMRE),CLEANING SERVICES CONTRACT SANITIZATION ,7,Appointment of Lindokuhlemate Trading & Projects to install and replenish a minimum of 60%alcohol-based hand sanitizers in Head Office Trevenna cam s for a riod of six (06 months.,Lindokuhlemate Trading and Projects ,31050.00,06 months,2020-03-13,Level 1,100%,0%,100%,0%,OR-027424,Ongoing
Department of Mineral Resources and Energy (DMRE),CLEANING SERVICES CONTRACT SANITIZATION ,8,Appointment of Randgate Fleet Management & ConsuHing lo install and replenish a minimum of 60%alcohol-based hand sanitizers in Klmber1ey Regional Office for a period of six (06) months.,Randgate Fleet Management & Consulting ,13528.04,06 monlhs,2020-03-13,Level 1,100%,0%,100%,0%,OR-027427,Ongoing
Department of Mineral Resources and Energy (DMRE),CLEANING SERVICES CONTRACT SANITIZATION ,9,Appointment of Randgate Fleet Management & ConsuHing lo install and replenish a minimum of 60%alcohol-based hand sanitizers in Klmber1ey Regional Office for a period of six (06) months.,Randgate Fleet Management & Consulting ,7627.19,06 months,2020-03-13,Level 1,100%,0%,100%,0%,OR-027431,Ongoing
Department of Mineral Resources and Energy (DMRE),CLEANING SERVICES CONTRACT SANITIZATION ,10,Appointment of Randgate Fleet Management & ConsuHing lo install and replenish a minimum of 60%alcohol-based hand sanitizers in Klmber1ey Regional Office for a period of six (06) months.,Randgate Fleet Management & Consulting ,7627.19,06 months,2020-03-13,Level 1,100%,0%,100%,0%,OR-027425,Ongoing
Department of Mineral Resources and Energy (DMRE),CLEANING SERVICES CONTRACT SANITIZATION ,11,"Appointment of Samagaba Cleaning Services to install and replenish a 
minimum of 60%alcohol-based hand sanitizers in Springbok sateUite Office Regional Office for a period of six (06) months.",Samagaba Cleaning Services ,10036.27,06 months,2020-03-13,Level 1,100%,0%,0%,0%,OR-027433,Ongoing
Department of Mineral Resources and Energy (DMRE),CLEANING SERVICES CONTRACT SANITIZATION ,12,Appointment of Upview General Trading cc to install and replenish a minimum of 60%alcohol-based hand sanitizers in Port Elizabeth RegionalOfficefora riodofsix 6 months.,Upview General Trading CC ,7329.87,06 months,2020-03-13,Level 1,100%,0%,0%,0%,OR-027429,Ongoing
