buyer_name,supplier_name,items_description,order_amount_zar
Centre for public services innovation,Bela Consulting,Mobile foot operated hand sanitizer dispenses,7880.00
Centre for public services innovation,Bela Consulting,"PPE (aprons, wipes, show covers)",67826.80
Centre for public services innovation,Company Wellness Solutions,Covid 19 Screening,115225.00
Centre for public services innovation,D&F Commodity Broking CC,Desk based screens,123653.75
Centre for public services innovation,Petty cash,3 ply Cloth Masks,1225.00
Centre for public services innovation,Petty cash,Adhesive stickers,1225.00
Centre for public services innovation,Petty Cash,10 shield mask,2700.00
Centre for public services innovation,Petty cash,3 ply Cloth Masks,2325.00
Centre for public services innovation,Petty Cash  14/05/2020,3 ply Cloth Masks,1200.00
Centre for public services innovation,Phinot Nostalgic Projects,70% Alcohol Sanitizer gel,10600.00
Centre for public services innovation,Skitterblink Doringkloof (PTY)LTD,Disinfection,2961.25
Centre for public services innovation,Skitterblink Doringkloof (PTY)LTD,PPE,287.50
Centre for public services innovation,SPS Advertising & Marketing (PTY),Digital Body Thermometer,4599.89
Centre for public services innovation,SPS Advertising & Marketing (PTY),Gloves,3449.43
Centre for public services innovation,SPS Advertising & Marketing (PTY),Hand Sanitizers,12870.80
Centre for public services innovation,SPS Advertising & Marketing (PTY),Sanitizer Bottles,18972.13
Centre for public services innovation,SPS Advertising & Marketing (PTY),Surface Disinfection,21272.13
