NR,ITEM,QUANTITY,SUPPLIER,PROCUREMENT PROCESS FOLLOWED,ORDER,ORDER DATE,AMOUNT,RECEIVED,
1,SANITIZER,HAND SANITIZER & HOLDERS,,MASANA HYGIENE SERVICES,PART OF NSG CLEANING CONTRACT,AH082707,3/10/20,"13,314.61",YES
2,SANITIZER,FLOOR AND OTHER SURFACE,,MASANA HYGIENE SERVICES,PART OF NSG CLEANING CONTRACT,AH082708,3/11/20,"6,152.50",YES
3,ACCESS CARDS,ACCESS CARDS AND HOLDERS,,VOX TELECOM,PART OF NSG CCTV CONTRACT,AH082709,3/11/20,"16,027.71",YES
4,MASK,WASHABLE FACE MASKS ( 3 LAYERED),400,AUTHENTIC LEATHER WORKS ANSA HANDMADE SHOES,QUOTATION LESS  R10K,AH082715,4/30/20,"10,000.00",YES
4,MASK,WASHABLE FACE MASKS ( 3 LAYERED),,AUTHENTIC LEATHER WORKS ANSA HANDMADE SHOES,QUOTATION LESS  R10K,SUNDRY,5/3/20,"3,650.00",YES
5,PROTECTOR,DESK VIRUS SCREEN PROTECTOR COUNTER SCREEN WITH FEET 850X850,6,NDABANINGI HOLDINGS,QUOTATION LESS  R10K,AH082722,5/4/20,"7,176.00",YES
6,VISOR,FACE SHIELDS,5,MEETING PLANNERS INTERNATIONAL,FORMAL QUOTATION ON 80/20 PREFERENCE POINT SYSTEM,AH082717,5/8/20,517.5,YES
7,SCREEN,DESK PROTECTOR,30,MEETING PLANNERS INTERNATIONAL,FORMAL QUOTATION ON 80/20 PREFERENCE POINT SYSTEM,AH082717,5/8/20,"18,975.00",YES
8,BOTTLES,SPRAY 250 ML,250,MEETING PLANNERS INTERNATIONAL,FORMAL QUOTATION ON 80/20 PREFERENCE POINT SYSTEM,AH082717,5/9/20,"7,475.00",YES
9,BOTTLES,SPRAY 500 / 750 ML,12,MEETING PLANNERS INTERNATIONAL,FORMAL QUOTATION ON 80/20 PREFERENCE POINT SYSTEM,AH082717,5/9/20,483,YES
10,SANITIZER,LIQUID HAND BULK - 25 l,30,MEETING PLANNERS INTERNATIONAL,FORMAL QUOTATION ON 80/20 PREFERENCE POINT SYSTEM,AH082717,5/10/20,"51,543.00",YES
11,NURSE,AUXILLARY NURSE,6 MONTHS,REVOLUTION HUMAN CAPITAL (PTY)LTD,FORMAL QUOTATION ON 80/20 PREFERENCE POINT SYSTEM,AH082720,5/13/20,"117,899.41",YES
12,STABILISERS,L-SHAPED PERSPEX DESK COUNTER SCREEN STABILIZERS,120,NDABANINGI HOLDINGS,QUOTATION LESS  R10K,AH082723,5/13/20,820,YES
13,STICKERS,SOCIAL DISTANCING STICKERS,50,VINSA GENERAL DEALERS,QUOTATION LESS  R10K,AH082725,5/15/20,"4,542.50",YES
14,GLOVES,EXAMINATION GLOVES -NITRILE POWDER FREE,10 BOXES OF 100,MEETING PLANNERS INTERNATIONAL,QUOTATION LESS  R10K,AH082737,5/25/20,"2,530.00",YES
15,APRONS,"DISPOSABLE, PLASTIC, TIE-BACK APRON",10 BOXES OF 100,MEETING PLANNERS INTERNATIONAL,QUOTATION LESS  R10K,AH082737,5/25/20,"2,415.00",YES
16,DECONTAMINATION,22 TO 24 JUNE 2020 - DUE TO CONFIRMED COVID 19 POSITIVE CASE,1,MADJITIA CLEANING SERVICE,DEVIATION PROCESS APPROVED BY DELEGATED OFFICIAL,AH082740,6/22/20,"79,275.00",YES
18,STICKERS,PAPER STICKERS PRINTED FULL COLOUR - 32 MM,"30,000",MEETING PLANNERS INTERNATIONAL,QUOTATION LESS  R10K,AH082769,7/16/20,"9,947.50",YES
17,DECONTAMINATION,03 TO 05 AUGUST 2020 - DUE TO CONFIRMED COVID 19 POSITIVE CASE,1,MASANA HYGIENE SERVICES,DEVIATION PROCESS APPROVED BY DELEGATED OFFICIAL,AH082741,8/3/20,"22,844.75",YES
