buyer_name,supplier_name,items_description,cost_per_unit_zar,order_amount_zar
Public Works and Infrastructure,Afrodizz Trading,Cleaning services @ SAPS College,211543.00,
Public Works and Infrastructure,aHa Bloemfontein Hotel,Accommodation: Quarantine Site,1200.00,
Public Works and Infrastructure,aHa Kopanong Hotel,Accommodation: Quarantine Site,1200.00,
Public Works and Infrastructure,Alilambathi Trading,Cleaning Magistrate courts: Mt Ayliff,22300.00,
Public Works and Infrastructure,Alilambathi Trading,Cleaning Magistrate courts: Mt Ayliff,15300.00,
Public Works and Infrastructure,Alilambathi Trading,Cleaning Magistrate courts: Ntabankulu,24440.00,
Public Works and Infrastructure,Alilambathi Trading,Cleaning Magistrate courts: Ntabankulu,17500.00,
Public Works and Infrastructure,ALU and SMA Trading Enterprise,Cleaning Magistrate Court : Maluti,34009.00,
Public Works and Infrastructure,ALU and SMA Trading Enterprise,Cleaning Magistrate courts: Mt Frere,24990.00,
Public Works and Infrastructure,ALU and SMA Trading Enterprise,Cleaning Magistrate courts: Mt Frere,21827.00,
Public Works and Infrastructure,ALU and SMA Trading Enterprise,Cleaning Magistrate courts: Mt Frere,24694.00,
Public Works and Infrastructure,ALU and SMA Trading Enterprise,Cleaning Magistrate courts: Ntabankulu,19807.00,
Public Works and Infrastructure,ALU and SMA Trading Enterprise,Decontamination / Deep Cleaning & Disinfection,88693.00,
Public Works and Infrastructure,ALU and SMA Trading Enterprise,Decontamination / Deep Cleaning & Disinfection,98149.00,
Public Works and Infrastructure,ALU and SMA Trading Enterprise,Decontamination / Deep Cleaning & Disinfection,80364.00,
Public Works and Infrastructure,ALU and SMA Trading Enterprise,Decontamination / Deep Cleaning & Disinfection,92940.00,
Public Works and Infrastructure,ALU and SMA Trading Enterprise,Decontamination / Deep Cleaning & Disinfection,141226.00,
Public Works and Infrastructure,ALU and SMA Trading Enterprise,Decontamination / Deep Cleaning & Disinfection,139655.00,
Public Works and Infrastructure,Amaphosa Amahle Projects,decontamination of facilities,55200.00,
Public Works and Infrastructure,AMINA Chem,Cleaning Material: COVID 19,420189.00,
Public Works and Infrastructure,Amor De Vertade,Cleaning services during COVID-19,88686.00,
Public Works and Infrastructure,Amor De Vertade,Cleaning services during COVID-19,112873.00,
Public Works and Infrastructure,Amor De Vertade,Cleaning services during COVID-19,233808.00,
Public Works and Infrastructure,AQN Events,Supply of face shield,24504.00,
Public Works and Infrastructure,Atheha Consulting and Projects,Cleaning Services Groot Marico,34800.00,
Public Works and Infrastructure,Avellanche Projects,Justice Various Magistrate Courts: EThekwini District Municipality: Decontamination of facilities,1885987.00,
Public Works and Infrastructure,A-Z General Trading (Germ X),Cleaning and Decontamination of DPWI facilities,242000.00,
Public Works and Infrastructure,A-Z General Trading (Germ X),Cluster 1 Courts: Cleaning and Decontamination of facilities,37901.00,
Public Works and Infrastructure,A-Z General Trading (Germ X),Cluster 2 Courts: Cleaning and Decontamination of facilities,79493.00,
Public Works and Infrastructure,Badplaas Forever Resorts - Mpumulanga,Accommodation: Quarantine Site,1208.00,
Public Works and Infrastructure,BD Hlalele Catering & Cleaning Service,"Bothaville, 28 Smith str",7800.00,
Public Works and Infrastructure,Bela Bela Fire and Security,PTA West Quarantine Site (mechanical fire),27012.00,
Public Works and Infrastructure,Belinda's creative,3 layer fabric/cloth masks (5 per packet),160000.00,
Public Works and Infrastructure,Belinda's creative,Supply & delivery of fabric masks,160000.00,
Public Works and Infrastructure,Bertie  Cleaning,Rendering of cleaning services DPW offices(6 Months),87140.00,
Public Works and Infrastructure,Bidvest Steiner,Examination Gloves Medium,162856.00,
Public Works and Infrastructure,Bidvest Steiner,Installation of soap dispensers,158231.00,
Public Works and Infrastructure,Bidvest Steiner,Mask with Ear Loop,3855.00,
Public Works and Infrastructure,Bidvest Steiner,"Soap, hand sanitizer Gel 70%",162856.00,
Public Works and Infrastructure,Bidvest Steiner,Book cover foil self-adhesive & Redfern Printing labels,772.00,
Public Works and Infrastructure,Bidvest Steiner,Disinfectant bottles,62.00,
Public Works and Infrastructure,Bidvest Steiner,Installation and maintenance of 65 no touch hand sanitizers (automated dispensers plus monthly refills) for a period of 36 months,657162.00,
Public Works and Infrastructure,Bidvest Steiner,25 L Hand Sanitiser,20700.00,
Public Works and Infrastructure,Bidvest Steiner,5L Hand Sanitizer and empty bottle,5506.00,
Public Works and Infrastructure,Bidvest Steiner,installation of hand sanitizer Spray(12 Months Rental),25740.00,
Public Works and Infrastructure,Bidvest Steiner,"ALCOHOL based Wipes for Basement, car park",7615.00,
Public Works and Infrastructure,Bidvest Steiner,Dispenser Wall Mounted (STAND AND DISPENSER),6238.00,
Public Works and Infrastructure,Bidvest Steiner,Emergency Procurement Delegation with 2 Quotes obtained.,144072.00,
Public Works and Infrastructure,Bidvest Steiner,Gloves,883.00,
Public Works and Infrastructure,Bidvest Steiner,H/Duty Gloves (Workshop Officials),18975.00,
Public Works and Infrastructure,Bidvest Steiner,Hand Sanitizer (GEL),46338.00,
Public Works and Infrastructure,Bidvest Steiner,Office Friendly Sanitisers,24438.00,
Public Works and Infrastructure,Bidvest Steiner,Vehicle Sanitizing,11500.00,
Public Works and Infrastructure,Biological Pharmaceuticals,Purchase of face masks,19901.00,
Public Works and Infrastructure,Biological Pharmaceuticals,Masks,2132000.00,
Public Works and Infrastructure,Birchwood Hotel – Kempton park,Accommodation: Quarantine Site,1150.00,
Public Works and Infrastructure,Black Sky Investment,One Seater Couch(For Sickbay),3000.00,
Public Works and Infrastructure,BO Ikarabelo Enterprises and Trading,Koppies Magistrate Office: Service for April 2020,11590.00,
Public Works and Infrastructure,BO Ikarabelo Enterprises and Trading,Koppies Magistrate Office: Service for April 2020,11590.00,
Public Works and Infrastructure,Bogamphemtse,Decontamination Ekangala Magistrate Court,87652.00,
Public Works and Infrastructure,Bokamoso Ba Kgalalelo le Tshegofatso,Cleaning services @ Pretoria North Court,136140.00,
Public Works and Infrastructure,Bolk construction,Decontamination at PTA North Magistrate Court,199640.00,
Public Works and Infrastructure,Bon Hotel Bloemfontein,Accommodation: Quarantine Site,1000.00,
Public Works and Infrastructure,Bontirox,Emergency Procurement Delegation: One Quotation,149213.00,
Public Works and Infrastructure,Bontirox,Emergency Procurement Delegation: One Quotation,15759.00,
Public Works and Infrastructure,Buhle Besonto/N Mposwa,Cleaning Magistrate courts: Port St Johns,18476.00,
Public Works and Infrastructure,Builders Warehouse,PPE (Covid-19),1337.00,
Public Works and Infrastructure,Buyambo Cultural Organisation,Digital body thermometers,150030.00,
Public Works and Infrastructure,C- Squard,Marquee Tent Hire,60000.00,
Public Works and Infrastructure,Caledon River Properties t/a Magwa Construction,Beitbridge phase 1 borderline infrastructure and installation: Infrastructure Contractor,37176844.00,
Public Works and Infrastructure,Caltex,Petrol,800.00,
Public Works and Infrastructure,Canfield Industries,Rendering of Additional Cleaning Service  - Upington Magistrate Court,13616.00,
