buyer_name,items_description,supplier_name,order_amount_zar,procurement_method
Department of Science and Innovation (DSI),Surgical Gloves,Dischem,949.50,Petty Cash
Department of Science and Innovation (DSI),Sanitizer,Dischem,61.90,Petty Cash
Department of Science and Innovation (DSI),Surgical Gloves,Lynnwood Road Pharmacy,398.00,Petty Cash
Department of Science and Innovation (DSI),Face Masks,Lynnwood Road Pharmacy,1561.00,Petty Cash
Department of Science and Innovation (DSI),Surgical Gloves,Serene Pharmacy,699.90,Petty Cash
Department of Science and Innovation (DSI),Sanitizer,Serene Pharmacy,629.80,Petty Cash
Department of Science and Innovation (DSI),Face Masks,PharmaValue Pharmacy,2638.68,Petty Cash
Department of Science and Innovation (DSI),Sanitizer,Barclay Square Pharmacy,1881.30,Petty Cash
Department of Science and Innovation (DSI),Sanatizer Dispensers,Masana Hygiene,20412.50,Deviation
Department of Science and Innovation (DSI),Sanitizer refill for dispensers (3 Months),Masana Hygiene,20829.38,Deviation
Department of Science and Innovation (DSI),Social Media Service during COVID-19,Ploy Media,295565.00,Deviation
Department of Science and Innovation (DSI),Once-Off spray deep cleaning of offices,Maanda Nes Investment,67212.60,Quotation process
Department of Science and Innovation (DSI),Face Mask,Uspects Trading Enterprise,40500.00,Quotation process
Department of Science and Innovation (DSI),Surgical Gloves,Uspects Trading Enterprise,8450.00,Quotation process
Department of Science and Innovation (DSI),Face Masks,Supra Healthcare,4312.50,Quotation process
Department of Science and Innovation (DSI),Surgical Gloves,Supra Healthcare,5637.30,Quotation process
Department of Science and Innovation (DSI),Once-Off Decontamination Spray,Maanda Nes Investment,63000.00,Quotation process
Department of Science and Innovation (DSI),Foodpetal for Pretoria offices,LA Signature & Corporate Identity,297136.90,Quotation process
Department of Science and Innovation (DSI),Desk Hand Sanitizer,SLV Marketing,51000.00,Quotation process
Department of Science and Innovation (DSI),Decontamination Spray,Maanda Nes Investment,90000.00,Quotation process
Department of Science and Innovation (DSI),Fabric Face Masks,Extol Jireh Sew and Stitch,43964.50,Quotation process
Department of Science and Innovation (DSI),"FullHIRAriskassessmentwithCOVID-19
assessment",Occupational Health and Wellness,70500.00,Quotation process
Technology Innovation Agency (TIA),Carpet Cleaning & Sanitise,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",6785.00,TIA18341
Technology Innovation Agency (TIA),Hand sanitizer and Masks,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",7845.30,TIA18345
Technology Innovation Agency (TIA),Masks and sanitizers,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",5982.80,TIA18346
Technology Innovation Agency (TIA),Hand Sanitizes,Big Kings Trading,3750.00,TIA18351
Technology Innovation Agency (TIA),Automatic Dispenser,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",9729.00,TIA18363
Technology Innovation Agency (TIA),Sanitizer dispenser,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",5796.00,TIA18362
Technology Innovation Agency (TIA),Sanitizers,Impact Cleaning,1366.20,TIA18364
Technology Innovation Agency (TIA),Reusable washable filtered masks,TLOSA DIHLAKALA SERVICES,7200.00,TIA18365
Technology Innovation Agency (TIA),Face Shield Masks,Big Kings Trading,300.00,TIA18370
Technology Innovation Agency (TIA),Sanitizer dispenser refills,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",2070.00,TIA18372
Technology Innovation Agency (TIA),Reception desk screen,Evolve Furniture and Fitout,2753.10,TIA18384
Technology Innovation Agency (TIA),COVID 19 - PPE,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",2884.20,TIA18378
Technology Innovation Agency (TIA),COVID 19 - waste Bin,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",264.50,TIA18376
Technology Innovation Agency (TIA),COVID 19 Preventative Office Disinfecting,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",2587.50,TIA18377
Technology Innovation Agency (TIA),Reception Screens,Evolve Furniture and  Fitout,2840.50,TIA18392
Technology Innovation Agency (TIA),COVID 19 Tape,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",52.33,TIA18390
Technology Innovation Agency (TIA),Reception Screens,Evolve Furniture and  Fitout,4082.50,TIA18395
Technology Innovation Agency (TIA),Gel sanitizer,STEINER HYGIENE,901.60,TIA18403
Technology Innovation Agency (TIA),Deep Cleaning Biosafety Offices,RENTOKIL INITIAL,0.00,TIA18398
Technology Innovation Agency (TIA),Building Microbial Fogging Sanitation,"SUPERCARE SERVICES
GROUP (PTY)LTD",10592.88,TIA18399
Technology Innovation Agency (TIA),Automatic dispenser,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",9108.00,TIA18400
Technology Innovation Agency (TIA),Sanitizer dispenser,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",7038.00,TIA18401
Technology Innovation Agency (TIA),Reception Perspex counter,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",9654.25,TIA18402
Technology Innovation Agency (TIA),Gel Hand Sanitizers,K2020022611 (SOUTH AFRICA),1631.25,TIA18404
Technology Innovation Agency (TIA),Detergent disinfectant wipes pre-saturated wipes,INFECTION PROTECTION,4772.50,TIA18405
Technology Innovation Agency (TIA),Thiba Vimba Protection screens,SAWUBONA MYCELIUM,9545.00,TIA18406
Technology Innovation Agency (TIA),COVID-19 FOGGING TREATMENT,Gotec Investments CC,1092.50,TIA18407
Technology Innovation Agency (TIA),Vinyl Social distance sticker,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",156.99,TIA18411
Technology Innovation Agency (TIA),Deep Cleaning Biosafety Offices,RENTOKIL INITIAL,1610.00,TIA18418
Technology Innovation Agency (TIA),Liquid Hand Sanitizers,K2020022611 (SOUTH AFRICA),5981.25,TIA18417
Technology Innovation Agency (TIA),Fogging the office,"SUPERCARE SERVICES
GROUP (PTY)LTD",10592.88,TIA18440
Technology Innovation Agency (TIA),Reusable washable face masks,Vaal University of Technology,3000.00,TIA18456
Technology Innovation Agency (TIA),Disinfectant,Masana Hygiene Services,618.98,TIA18463
Technology Innovation Agency (TIA),Building Microbial Fogging Sanitation,"SUPERCARE SERVICES
GROUP (PTY)LTD",10569.94,TIA18467
Technology Innovation Agency (TIA),Fogging of Bio processing Platform,Gotec Investments CC,3392.50,TIA18471
Technology Innovation Agency (TIA),Hand sanitizer,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",5704.00,TIA18296
Technology Innovation Agency (TIA),Sanitizers,OPTIMUSBIO,482.40,TIA18301
Technology Innovation Agency (TIA),Hand wash,Clicks,120.40,Petty cash
Technology Innovation Agency (TIA),Hand sanitizer,Clicks,53.90,Petty cash
Technology Innovation Agency (TIA),Tissues & wipes,Dischem,555.70,Petty cash
Technology Innovation Agency (TIA),PPE Consumables,Burgan Busket,269.90,Petty cash
Technology Innovation Agency (TIA),Wipes,Dischem,100.70,Petty cash
Technology Innovation Agency (TIA),Hand sanitizers,documents are in the office,486.00,Petty cash
Technology Innovation Agency (TIA),Hand soap refills,documents are in the office,470.80,Petty cash
Technology Innovation Agency (TIA),Sanitizer refill,documents are in the office,450.00,Petty cash
Technology Innovation Agency (TIA),Wipes,documents are in the office,480.60,Petty cash
Technology Innovation Agency (TIA),Gloves & masks,documents are in the office,298.50,Petty cash
Technology Innovation Agency (TIA),Batteries for automatic devise for hand sanitizer,Game,490.80,Petty cash
Technology Innovation Agency (TIA),Hygiene Office Supplies for covid-19,"Pastilon Wholesale & CNA
Stationers",1266.30,Petty cash
Technology Innovation Agency (TIA),Sanitizers,Plastics fo Africa,371.00,Petty cash
Technology Innovation Agency (TIA),Gloves & masks,Legg & Wessel,601.00,Petty cash
Technology Innovation Agency (TIA),Hand sanitizers & wipes,Pick 'n pay,480.50,Petty cash
Technology Innovation Agency (TIA),Gloves,Clicks,147.50,Petty cash
Technology Innovation Agency (TIA),Bottled water,Clicks,128.00,Petty cash
Technology Innovation Agency (TIA),"Disposable aprons, wipes & sanitizers",Makro,382.30,Petty cash
Technology Innovation Agency (TIA),Tissues & sanitisers,Century City Pharmacy,332.30,Petty cash
Technology Innovation Agency (TIA),Sanitizer bottles,Rochel,280.00,Petty cash
Technology Innovation Agency (TIA),Hand sanitizers,Zuplex,230.00,Petty cash
Council for Scientific and Industrial Research (CSIR),AEC  AMERSHAM SOC LTD,Filters,7554.00,RFQ
Council for Scientific and Industrial Research (CSIR),AFRICAN QUALITY ANALYTICS (PTY) LTD,Face shield components,13548.00,RFQ
Council for Scientific and Industrial Research (CSIR),"AIR FILTER MAINTENANCE SERVICES RSA
(PTY) LTD","Specialised filters
Re-certification of laboratories",157520.00,Emergency
Council for Scientific and Industrial Research (CSIR),AIR TECHNOLOGY SERVICES (PTY) LTD,Face masks,1248.00,RFQ
Council for Scientific and Industrial Research (CSIR),AKACIA MEDICAL (PTY) LTD,Ventilator components,20665529.00,Emergency
Council for Scientific and Industrial Research (CSIR),ANCHOR PETROLEUM CC,Diesel,1422887.00,RFQ
Council for Scientific and Industrial Research (CSIR),"ANDANI FUTURETECH MANUFACTURING
(PTY) LTD",Ventilator components,1740858.00,Emergency
Council for Scientific and Industrial Research (CSIR),ARRABON TRADING CC,Ventilator components,287336.00,Emergency
Council for Scientific and Industrial Research (CSIR),B AND M SCIENTIFIC CC,Lab consumables,8090.00,RFQ
Council for Scientific and Industrial Research (CSIR),BEARING AGENT (PTY) LTD,Ventilator components,1360.00,RFQ
Council for Scientific and Industrial Research (CSIR),BEARING MAN GROUP (PTY) LTD,Ventilator components,17761.00,RFQ
Council for Scientific and Industrial Research (CSIR),BEFORE MATH (PTY) LTD,Spray bottles,50400.00,RFQ
Council for Scientific and Industrial Research (CSIR),BIDFOOD (PTY) LTD,Sanitiser & Masks,860.00,RFQ
Council for Scientific and Industrial Research (CSIR),BIO-MEL SCIENTIFIC PTY LTD,Lab consumables,41140.00,RFQ
Council for Scientific and Industrial Research (CSIR),BLACK CAPITAL SYSTEMS (PTY) LTD,Ventilator components,2383442.00,Emergency
Council for Scientific and Industrial Research (CSIR),BLINEX PLASTIEK BK,Ventilator components,102215.00,Single source
Council for Scientific and Industrial Research (CSIR),BRIAN PIENAAR NORTH (PTY) LTD,Dust masks,520.00,RFQ
Council for Scientific and Industrial Research (CSIR),BUSINESS FURNITURE SOLUTIONS PTY LTD,Foot pedal stands,6020.00,RFQ
Council for Scientific and Industrial Research (CSIR),BYROSTYLE (PTY) LTD,Communication media,64000.00,RFQ
Council for Scientific and Industrial Research (CSIR),CC IMELMANN (PTY) LTD,Chemicals,5315.00,RFQ
