Services Rendered,Service Provider,"Amount
Spend","Supply Chain Management
(SCM) process followed"
,DSI,,
Surgical Gloves,Dischem,"R949,50",Petty Cash
Sanitizer,Dischem,"R61,90",Petty Cash
Surgical Gloves,Lynnwood Road Pharmacy,"R398,00",Petty Cash
Face Masks,Lynnwood Road Pharmacy,"R1 561,00",Petty Cash
Surgical Gloves,Serene Pharmacy,"R699,90",Petty Cash
Sanitizer,Serene Pharmacy,"R629,80",Petty Cash
Face Masks,PharmaValue Pharmacy,"R2 638,68",Petty Cash
Sanitizer,Barclay Square Pharmacy,"R1 881,30",Petty Cash
Sanatizer Dispensers,Masana Hygiene,"R20 412,50",Deviation
Sanitizer refill for dispensers (3 Months),Masana Hygiene,"R20 829,38",Deviation
Social Media Service during COVID-19,Ploy Media,"R295 565,00",Deviation
Once-Off spray deep cleaning of offices,Maanda Nes Investment,"R67 212,60",Quotation process
Face Mask,Uspects Trading Enterprise,"R40 500,00",Quotation process
Surgical Gloves,Uspects Trading Enterprise,"R8 450,00",Quotation process
Face Masks,Supra Healthcare,"R4 312,50",Quotation process
Surgical Gloves,Supra Healthcare,"R5 637,30",Quotation process
Once-Off Decontamination Spray,Maanda Nes Investment,"R63 000,00",Quotation process
Foodpetal for Pretoria offices,LA Signature & Corporate Identity,"R297 136,90",Quotation process
Desk Hand Sanitizer,SLV Marketing,"R51 000,00",Quotation process
Decontamination Spray,Maanda Nes Investment,"R90 000,00",Quotation process
Fabric Face Masks,Extol Jireh Sew and Stitch,"R43 964,50",Quotation process
"FullHIRAriskassessmentwithCOVID-19
assessment",Occupational Health and Wellness,"R70 500,00",Quotation process
,Technology Innovation Agency (TIA),,
Carpet Cleaning & Sanitise,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES","R6,785.00",TIA18341
Hand sanitizer and Masks,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES","R7,845.30",TIA18345
Masks and sanitizers,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES","R5,982.80",TIA18346
Hand Sanitizes,Big Kings Trading,"R3,750.00",TIA18351
Automatic Dispenser,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES","R9,729.00",TIA18363
Sanitizer dispenser,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES","R5,796.00",TIA18362
Sanitizers,Impact Cleaning,"R1,366.20",TIA18364
Reusable washable filtered masks,TLOSA DIHLAKALA SERVICES,"R7,200.00",TIA18365
Face Shield Masks,Big Kings Trading,R 300.00,TIA18370
Sanitizer dispenser refills,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES","R2,070.00",TIA18372
Reception desk screen,Evolve Furniture and Fitout,"R2,753.10",TIA18384
COVID 19 - PPE,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES","R2,884.20",TIA18378
COVID 19 - waste Bin,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",R 264.50,TIA18376
COVID 19 Preventative Office Disinfecting,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES","R2,587.50",TIA18377
Reception Screens,Evolve Furniture and  Fitout,"R2,840.50",TIA18392
COVID 19 Tape,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",R 52.33,TIA18390
Reception Screens,Evolve Furniture and  Fitout,"R4,082.50",TIA18395
Gel sanitizer,STEINER HYGIENE,R 901.60,TIA18403
Deep Cleaning Biosafety Offices,RENTOKIL INITIAL,R 0.00,TIA18398
Building Microbial Fogging Sanitation,"SUPERCARE SERVICES
GROUP (PTY)LTD","R10,592.88",TIA18399
Automatic dispenser,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES","R9,108.00",TIA18400
Sanitizer dispenser,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES","R7,038.00",TIA18401
Reception Perspex counter,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES","R9,654.25",TIA18402
Gel Hand Sanitizers,K2020022611 (SOUTH AFRICA),"R1,631.25",TIA18404
Detergent disinfectant wipes pre-saturated wipes,INFECTION PROTECTION,"R4,772.50",TIA18405
Thiba Vimba Protection screens,SAWUBONA MYCELIUM,"R9,545.00",TIA18406
COVID-19 FOGGING TREATMENT,Gotec Investments CC,"R1,092.50",TIA18407
Vinyl Social distance sticker,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES",R 156.99,TIA18411
Deep Cleaning Biosafety Offices,RENTOKIL INITIAL,"R1,610.00",TIA18418
Liquid Hand Sanitizers,K2020022611 (SOUTH AFRICA),"R5,981.25",TIA18417
Fogging the office,"SUPERCARE SERVICES
GROUP (PTY)LTD","R10,592.88",TIA18440
Reusable washable face masks,Vaal University of Technology,"R3,000.00",TIA18456
Disinfectant,Masana Hygiene Services,R 618.98,TIA18463
Building Microbial Fogging Sanitation,"SUPERCARE SERVICES
GROUP (PTY)LTD","R10,569.94",TIA18467
Fogging of Bio processing Platform,Gotec Investments CC,"R3,392.50",TIA18471
Hand sanitizer,"GARRETT ASSEMBLIES trd
KEMPSTON CLEANING
SERVICES","R5,704.00",TIA18296
Sanitizers,OPTIMUSBIO,R 482.40,TIA18301
Hand wash,Clicks,R 120.40,Petty cash
Hand sanitizer,Clicks,R 53.90,Petty cash
Tissues & wipes,Dischem,R 555.70,Petty cash
PPE Consumables,Burgan Busket,R 269.90,Petty cash
Wipes,Dischem,R 100.70,Petty cash
Hand sanitizers,documents are in the office,R 486.00,Petty cash
Hand soap refills,documents are in the office,R 470.80,Petty cash
Sanitizer refill,documents are in the office,R 450.00,Petty cash
Wipes,documents are in the office,R 480.60,Petty cash
Gloves & masks,documents are in the office,R 298.50,Petty cash
Batteries for automatic devise for hand sanitizer,Game,R 490.80,Petty cash
Hygiene Office Supplies for covid-19,"Pastilon Wholesale & CNA
Stationers","R1,266.30",Petty cash
Sanitizers,Plastics fo Africa,R 371.00,Petty cash
Gloves & masks,Legg & Wessel,R 601.00,Petty cash
Hand sanitizers & wipes,Pick 'n pay,R 480.50,Petty cash
Gloves,Clicks,R 147.50,Petty cash
Bottled water,Clicks,R 128.00,Petty cash
"Disposable aprons, wipes & sanitizers",Makro,R 382.30,Petty cash
Tissues & sanitisers,Century City Pharmacy,R 332.30,Petty cash
Sanitizer bottles,Rochel,R 280.00,Petty cash
Hand sanitizers,Zuplex,R 230.00,Petty cash
,Council for Scientific and Industrial Research (CSIR),,
AEC  AMERSHAM SOC LTD,Filters,R7 554,RFQ
AFRICAN QUALITY ANALYTICS (PTY) LTD,Face shield components,R13 548,RFQ
"AIR FILTER MAINTENANCE SERVICES RSA
(PTY) LTD","Specialised filters
Re-certification of laboratories",R157 520,Emergency
AIR TECHNOLOGY SERVICES (PTY) LTD,Face masks,R1 248,RFQ
AKACIA MEDICAL (PTY) LTD,Ventilator components,R20 665 529,Emergency
ANCHOR PETROLEUM CC,Diesel,R1 422 887,RFQ
"ANDANI FUTURETECH MANUFACTURING
(PTY) LTD",Ventilator components,R1 740 858,Emergency
ARRABON TRADING CC,Ventilator components,R287 336,Emergency
B AND M SCIENTIFIC CC,Lab consumables,R8 090,RFQ
BEARING AGENT (PTY) LTD,Ventilator components,R1 360,RFQ
BEARING MAN GROUP (PTY) LTD,Ventilator components,R17 761,RFQ
BEFORE MATH (PTY) LTD,Spray bottles,R50 400,RFQ
BIDFOOD (PTY) LTD,Sanitiser & Masks,R 860.00,RFQ
BIO-MEL SCIENTIFIC PTY LTD,Lab consumables,R41 140,RFQ
BLACK CAPITAL SYSTEMS (PTY) LTD,Ventilator components,R2 383 442,Emergency
BLINEX PLASTIEK BK,Ventilator components,R102 215,Single source
BRIAN PIENAAR NORTH (PTY) LTD,Dust masks,R 520.00,RFQ
BUSINESS FURNITURE SOLUTIONS PTY LTD,Foot pedal stands,R6 020,RFQ
BYROSTYLE (PTY) LTD,Communication media,R64 000,RFQ
CC IMELMANN (PTY) LTD,Chemicals,R5 315,RFQ
CEDAR RIVER TRADING (PTY) LTD,Cleaners / Lab consumables,R8 902,RFQ
"CENTRAL UNIVERSITY OF TECHNOLOGY,
FREE STATE",Ventilator components,R5 866 522,Emergency
CLOUD CHEFS (PTY) LTD,Catering for Covid-19 Team,R18 375,RFQ
DAVEGLEN 9003 INVESTMENTS CC,Face shields,R1 915,RFQ
DAVIES DIAGNOSTICS (PTY) LTD,Lab consumables,R178 250,RFQ
DIS-CHEM GLENFAIR PHARMACY,VIT Biotaine Hand Sanitizers,R4 197,RFQ
DTK COMPRESSORS CC,Lab consumables,R3 991,RFQ
EAST AFRICAN GROUP (PTY) LTD,PPE,R46 300,RFQ
EMANGJALO TRADE  CIVIL (PTY) LTD,Screens,R19 071,RFQ
ENDLESS SUMMER TECHNOLOGIES CC,Ventilator components,R2 345 203,Emergency
ENVIROCON INSTRUMENTATION CC,Tests components,R118 590,RFQ
EPI CREATIVE (PTY) LTD,Communication media,R4 350,RFQ
EURO STEEL (PTY) LTD,Lab consumables,R11 928,RFQ
FOOD CONSULTING SERVICES PTY LTD,Tests components,R3 510,RFQ
FRESH SIGN AND PRINT (PTY) LTD,Lab consumables,R6 595,RFQ
"FULLSTREAM BUSINESS SERVICES (PTY)
LTD",Ventilator components,R61 200,RFQ
G4S SECURE SOLUTIONS SA PTY LTD,Security Lock down deployment,R27 602,RFQ
GABLER MEDICAL (PTY) LTD,Ventilator components,R5 917 900,Emergency
GENSCRIPT LIMITED,Ventilator components,R212 246,Emergency / RFQ
GLOBAL COMMUNICATIONS,Scanner,R3 790,RFQ
"IMPERIAL LOGISTICS SOUTH AFRICA GROUP
(PTY) LTD",Sanitiser & Masks,R7 524,RFQ
INCREDIBLE CONNEXION,Mobile devices,R8 394,RFQ
"INQABA BIOTECHNICAL INDUSTRIES (PTY)
LTD",Lab consumables,R57 817,RFQ
INTERSURGICAL (RSA) (PTY) LTD,Ventilator components,R683 233,Emergency
"IQUAD INTEGRATED MANAGEMENT
SYSTEMS PTY LTD",Ventilator components,R69 975,emergency
"JIVE MEDIA MARKETING COMMUNICATIONS
CC",Communication media,R24 684,RFQ
"JJ SKHOSANA TRANSPORT SERVICES (PTY)
LTD",Staff Transport,R6 200,RFQ
JOEL TRANSPORT (PTY) LTD,Transport of equipment,R5 153,RFQ
K2016388770 (SOUTH AFRICA) (PTY) LTD,Lab consumables,R2 478,RFQ
KATHLEEN ANNE HOLMES,Legal Services,R25 340,RFQ
"KHARIFARISANANE CONSTRUCTION AND
CLEANING SERVICES CC",Sanitiser & Masks,R172 712,RFQ
KIMIX CHEMICAL AND LAB SUPPLIES CC,Sanitiser & Masks,R 780.00,RFQ
LABCHEM (PTY) LTD,Lab consumables,R 560.00,RFQ
"LABORATORY CONSUMABLES AND
CHEMICALS SUPPLIES CC",Lab consumables,R1 650,RFQ
