buyer_name,No,items_description,procurement_method,supplier_name,company_registration_number,award_date,order_amount_zar
Department of Small Business Development (DSBD),1,"Deep cleaning and
decontamination of offices,
Block G (4776m2)",3 quotation process,Lenko Tlhoolo,2014/131518/07,2020-03-26,175068.00
Department of Small Business Development (DSBD),2,"Deep cleaning and
decontamination of offices,
Block A (590m2)",3 quotation process,Lenko Tlhoolo,2014/131518/07,2020-04-07,26177.97
Department of Small Business Development (DSBD),3,20litres of hand sanitiser,Petty cash,"WangaTradingand
Construction",2009/191698/23,2020-03-12,2000.00
Department of Small Business Development (DSBD),4,"13unitsofsanitiser
dispensers (wall mounted)",Petty cash,3 Pin,"Registeredas
SoleProvideron
CSD",2020-03-11,2000.00
Department of Small Business Development (DSBD),5,15litres of hand sanitiser,Petty cash,Viking Steel Division,2016/461656/07,2020-03-19,2000.00
Department of Small Business Development (DSBD),6,"75Laptopsand75laptop
bags",Deviation,Mass Stores,1991/006805/07,2020-03-23,682350.00
Department of Small Business Development (DSBD),7,"75 data cards and 75 Wi-Fi
routers",Deviation,Vodacom,1993/003367/07,2020-03-25,43038.75
Department of Small Business Development (DSBD),8,"Hand sanitisers (8x5litre
liquid and 12x gel and 600x
500ml gel sanitisers);
Desktop/surface disinfectants
(5litre);50 x automated
sanitiser dispensers",3 quotation process,KSwate General Services,2015/282180/07,2020-06-19,138170.00
Department of Small Business Development (DSBD),9,"Fogging, deep cleaning and
decontaminationofoffices,
Block G (4776m2) and Block A
(590m2)",3 quotation process,"Let’sCleanCommercial
HouseholdCorporate
(Pty) Ltd",2020/216774/07,2020-07-09,349710.00
Department of Small Business Development (DSBD),10,"5x 1 litre Sanitiser bottle
sprays and 2 boxes of self-
adhesive stickers",Petty cash,MOK All Purpose,K2020022611,2020-06-12,325.00
Department of Small Business Development (DSBD),11,10 00 N95 masks,Deviation,"HlathiDevelopmentand
Enterprises (Pty) Ltd",2019/136953/07,2020-03-26,35750.00
Department of Small Business Development (DSBD),12,15 0 latex gloves,Petty cash,"Johnny’sCleaning
services",2014/203641/07,2020-05-19,585.00
Department of Small Business Development (DSBD),13,"10 00
ClothMasks–
branded. 3 Layered",3 quotation process,Angioe Chem,2018/561782/07,2020-05-28,24000.00
Department of Small Business Development (DSBD),14,"C overalls (20@R1 860.00).
FaceShields(100@
R8 200.00)and
Temperaturescanners
(10@R13 500.00)",3 quotation process,KSwate General Services,"2015/282180/07
(Pty) Ltd",2020-06-19,23560.00
Department of Small Business Development (DSBD),15,"Fa
ceshields(25@
R1 175.00) and disposable
non-surgicalgloves(2
boxes @R500.00)",Petty cash,MOK All Purpose,"K2020022611
(Pty) Ltd",2020-06-12,1675.00
Department of Small Business Development (DSBD),16,Digital thermometer (1),Petty cash,MOK All Purpose,"K2020022611
(Pty) Ltd",2020-05-11,2000.00
