buyer_name,implementation_location_province,implementation_location_other,items_description,procurement_method,supplier_name,company_registration_number,"Date of
appointment
(Order date)",award_date,order_amount_zar
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),,National Office,"500ml Sanitizer
Bottles(Quantity:1660)","Request For
Quotation (RFQ)","Unitrade
1032 CC","CK No.:
1998/002665/23",09/04/2020,2020-04-09,103086.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),,"National Office plus
9(Nine) Provincial
Offices and Seda
Branches","(Bulk)Surgical Gloves(QTY:332)
N95 Mask Respirator (QTY:66
X BOX of 50)
Visor(QTY:100)
Digital Thermometers (QTY:90)","NT Instruction
Note 3 of
2020/21","Spot On
Trading","Reg No:
2005/052378/23",06/05/2020,2020-05-06,552028.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),,National Office,Cloth masks(QTY:450),"Request For
Quotation","Style
Substratum","REG No: 2016
356437/07",31/06/2020,2020-06-31,9350.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),,National Office,"Fogging and Disinfection of the
building","Request For
Quotation","Apple Tree
Investment","Reg No:
2019/405500/07",08/07/2020,2020-07-08,29740.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),,National Office,"Dettol(QTY:2X6X125ml and
1X12X50ml)  and
bottles(QTY:135X5ml)",Petty Cash,,N/A,23/03/2020,2020-03-23,3509.70
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),,National Office,Sanitizers(QTY:60X500ml),Petty Cash,,N/A,16/03/2020,2020-03-16,3900.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),,National Office,"Social Distance
Stickers(QTY:33X stickers)(3x
Duct tapes) and
batteries(4XAAand 2XAAA)",Petty Cash,,N/A,"07/05-26/06
& 17/07/2020",,2726.60
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),,National Office,"Sanitation Step Foot
Operator(QTY:4)",Petty Cash,,N/A,"17-
23/07/20202","17-
23/07/20202",4784.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),,National Office,"Counter top Protection
Screen(QTY:3)plus transport",Petty Cash,,N/A,26/06/2020,2020-06-26,4250.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),,National Office,"Disposable Coverall for Building
sanitation(QTY:3)",Petty Cash,,N/A,17/07/2020,2020-07-17,495.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Gauteng,Seda Gauteng,"Office disinfecting for JHB & PO
- COVID-19 case","Petty Cash
each branch procured their
own as it was
below R2000","Safe pest
control",N/A,04/05/2020,2020-05-04,1200.00
SMALL ENTERPRISE DEVELOPMENT AGENCY (SEDA),Gauteng,Seda Gauteng,"Reception desk protection
screen - JHB","Petty Cash
each branch procured their
own as it was
below R2000","CNC
National",N/A,20/05/2020,2020-05-20,1475.00
