buyer_name,order_number,supplier_name,invoice_date,items_description,items_quantity,cost_per_unit_zar,order_amount_zar
National Development Agency (NDA),PO08961,AMANADAANA,18/03/2020,Sanitisers,100,0.00,135000.00
National Development Agency (NDA),PO08961,"AMANADAANA
HOLDINGS",18/03/2020,1 L Hand Sanitisers,50,1300.00,
National Development Agency (NDA),PO08961,"AMANADAANA
HOLDINGS",18/03/2020,Hand Sanitisers,50,1900.00,
National Development Agency (NDA),PO08949,Global Tours Pty Ltd,19/03/2020,Items needed to prevent Corona Virus,600,93.63,56175.00
National Development Agency (NDA),PO08966,"3D Technologies and
Projects Pty Ltd",02/06/2020,"Head Office Deep Cleaning for COVID
19",3,26438.72,
National Development Agency (NDA),PO08967,92 Chilli Projects Pty Ltd,02/06/2020,"GP Deep Cleaning Covid 19 for COVID
19",3,2321.67,6965.00
National Development Agency (NDA),PO08968,Yema Khulandle Pty Ltd,02/06/2020,"Nelspruit Covid 19 deep cleaning  for
COVID 19",3,6241.67,18725.00
National Development Agency (NDA),PO08969,"Zulukhaya Catering and
Cleaning",02/06/2020,East London Cleaning for Covid19,3,8098.43,
National Development Agency (NDA),PO08970,Anacare Hygiene /TA,02/06/2020,Jane Furse Covid 19 Cleaning,3,3516.67,10550.00
National Development Agency (NDA),PO08971,Gomotsegang Trading,02/06/2020,Mahikeng Covid 19 Cleaning,3,12707.33,
National Development Agency (NDA),PO08972,"Betternia Trading
Enterprise 332",02/06/2020,Hazyview Covid 19 Office Cleaning,3,4583.33,13750.00
National Development Agency (NDA),PO08973,"Tshimologi Trading and
Projects",02/06/2020,"Durban Office Covid 19 cleaning
offices",3,3166.67,9500.00
National Development Agency (NDA),PO08974,"Sehlare Cleaning
Services Pty Ltd",02/06/2020,Polokwane Covid 19 office cleaning,3,5133.33,15400.00
National Development Agency (NDA),PO08975,Ratshi Property,02/06/2020,Head Office Cleaning for COVID 19,3,17864.00,53592.00
National Development Agency (NDA),PO08976,Yizani Holding Group,02/06/2020,East London office Covid19 cleaning,3,5750.00,17250.00
National Development Agency (NDA),PO08977,Melathi Holdings Pty Ltd,02/06/2020,George office COVID 19 cleaning,3,2550.00,7650.00
National Development Agency (NDA),PO08978,Podile Trading and,02/06/2020,Cape Town Covid 19 cleaning services,3,3333.33,10000.00
National Development Agency (NDA),PO08979,"NYF TRADING
ENTERPRISE PTY LTD",02/06/2020,UGU COVID 19 OFFICE CLEANING,3,5000.00,15000.00
National Development Agency (NDA),PO08980,"Happy Homes Trading
Pty Ltd",02/06/2020,Bloemfontein Covid 19 office cleaning,3,9636.67,28910.00
National Development Agency (NDA),PO08981,Kand Tau Holdings,02/06/2020,Kimberley Covid19 Office Cleaning,3,7166.67,21500.00
National Development Agency (NDA),PO08982,Motong Designing and,09/06/2020,Cloth Masks Navy Blue,50,45.00,4500.00
National Development Agency (NDA),PO08982,"Motong Designing and
Projects Primary Co-",09/06/2020,Cloth Masks Dark Green,50,45.00,
National Development Agency (NDA),PO08983,Bayanda Intergrated,15/06/2020,Foot Operated sanitizer,40,1200.00,104850.00
National Development Agency (NDA),PO08983,"Bayanda Intergrated
Services Pty Ltd",15/06/2020,surface sanitizer,150,350.00,
National Development Agency (NDA),PO08983,"Bayanda Intergrated
Services Pty Ltd",15/06/2020,Empty spray bottles,150,29.00,
National Development Agency (NDA),PO08984,Uniform Language,15/06/2020,NDA Cloth Masks Navy Blue,220,45.00,19800.00
National Development Agency (NDA),PO08984,"Uniform Language
Primary Co-operative",15/06/2020,NDA Cloth Masks Dark Green,220,45.00,
National Development Agency (NDA),PO08991,"MAANDA NES
INVESTMENTS",02/07/2020,"Disinfecting & Thermal fogging for
NDA offices at  Head Offices in 26",1,9952.80,9952.80
National Development Agency (NDA),PO08990,Inhlanhlo Holdings Pty,08/07/2020,Reception Desk Screen Guard,15,1550.00,23250.00
National Development Agency (NDA),PO08992,MAANDA NES,08/07/2020,NW Deep cleaning COVID19,3,3558.00,10674.00
National Development Agency (NDA),PO08994,"African Dawn 10 (Pty)
Ltd",24/07/2020,infrared non-contact thermometer,20,1150.00,23000.00
National Development Agency (NDA),PO08995,MENZITHA,24/07/2020,Face Shield,44,48.00,2112.00
National Development Agency (NDA),PO08996,PHUMAPHAMBILI,24/07/2020,1 L Hand Sanitisers,1320,70.00,92400.00
National Development Agency (NDA),PO08997,"DIAPELA TRADING
ENTERPRISE AND",24/07/2020,"Examination Gloves, Non-Sterile",1320,158.00,208560.00
National Development Agency (NDA),PO08998,Matsediso Group,24/07/2020,1L Hand Sanitisers,1320,53.20,70224.00
National Development Agency (NDA),PO08999,Renody Trading &,24/07/2020,Examination Gloves,1320,86.00,113520.00
National Development Agency (NDA),PO09000,SNF DISTRIBUTOTS,24/07/2020,E x amination Gloves- Non-Sterile,1320,160.00,211200.00
National Development Agency (NDA),PO09001,SS Trinity Trading,24/07/2020,Visor/ Face Shield,440,16.50,7260.00
National Development Agency (NDA),PO09002,Gwebza Multi Purpose,24/07/2020,Cloth Masks,440,65.00,28600.00
National Development Agency (NDA),PO09003,Sekelo Properties,24/07/2020,"Examination Gloves, Non-Sterile",1320,151.10,199452.00
National Development Agency (NDA),PO09004,Mzimela Holdings,24/07/2020,Visor/ Face Shied,220,32.50,7150.00
National Development Agency (NDA),PO09005,SIYASABELA CLOTHING,24/07/2020,Cloth Masks,440,25.00,11000.00
National Development Agency (NDA),PO09007,"LUMHLE TRADING PTY
LTD",27/07/2020,"Sanitisation and Thermal fogging in
East London",1,4725.00,4725.00
National Development Agency (NDA),PO09008,Blaizepoint Trading 245,27/07/2020,1L Hand Sanitisers,1320,55.90,73788.00
National Development Agency (NDA),PO09009,Hans Van Restrurg,27/07/2020,Visor/ Face Shield,440,22.86,10058.40
National Development Agency (NDA),PO09013,RVA Holdings Pty Ltd,30/07/2020,Visor/ Face Shield,220,65.00,14300.00
National Development Agency (NDA),PO09014,Malifu Holdings Pty Ltd,30/07/2020,Visor/ Face Shield,220,52.32,11510.40
National Development Agency (NDA),PO09015,DSTNCTV Business,30/07/2020,1L Hand Sanitisers,1320,,83490.00
National Development Agency (NDA),PO09016,"Purework Trading Pty
Ltd",30/07/2020,"Examination Gloves, Non-Sterile",1320,85.00,112200.00
National Development Agency (NDA),PO09017,LU Enterprises Pty Ltd,30/07/2020,Examination Gloves- Non-Sterile,1320,0.00,118786.80
National Development Agency (NDA),PO09018,Women Outside The Box,30/07/2020,Cloth Masks,440,45.00,19800.00
National Development Agency (NDA),PO09019,"North Shore Trading 77
cc",30/07/2020,"Examination Gloves, Non-Sterile",1320,0.00,136620.00
National Development Agency (NDA),PO09020,SLAKANA TRADING CC,30/07/2020,"Examination Gloves, Non-Sterile",1320,0.00,105600.00
National Development Agency (NDA),PO09021,Maano and Wanga,30/07/2020,1 Hand sanitisers,1320,0.00,104280.00
