buyer_name,implementation_location_province,No,implementation_location_other,items_description,order_number,invoice_date,order_amount_zar,procurement_method,supplier_name,implementation_status
South African Social Security Agency (SASSA),Eastern Cape,1,Regional Office,Gloves,16195,2020-03-20,133400.00,Emergency Procurement,Xhobani Security Services,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,2,Regional Office,Hand Sanitzers,16195,2020-03-20,69230.00,Emergency Procurement,Xhobani Security Services,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,3,Regional Office,Surgical Masks,16195,2020-03-20,316250.00,Emergency Procurement,Xhobani Security Services,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,4,Regional Office,Gloves - 330 boxes,16214,2020-04-15,33000.00,Emergency Procurement,My Peace Mali Investments,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,5,Regional Office,Hand Sanitzers 25 litres x 55,16214,2020-04-15,231000.00,Emergency Procurement,My Peace Mali Investments,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,6,Regional Office,Surgical Masks - 1100,16214,2020-04-15,60500.00,Emergency Procurement,My Peace Mali Investments,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,7,Regional Office,Hand Sanitzers (20 x 5 litre),16213,2020-04-15,13000.00,Emergency Procurement,Kwasa Food Suppliers,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,8,Regional Office,Disinfecting and Sanitizing of Regional and Amathole District Offices,16228,2020-04-15,213948.30,Normal Procument process,Lucob Cleaning Services,Services rendered
South African Social Security Agency (SASSA),Eastern Cape,9,Regional Office,Disinfecting and Sanitizing of Chris Hani and Joe Gqabi District Offices,16229,2020-04-15,129632.00,Normal Procument process,Colirose Catering and Cleaning Service,Services rendered
South African Social Security Agency (SASSA),Eastern Cape,10,Regional Office,Disinfecting and Sanitizing of OR Tambo and Alfred Nzo District,16227,2020-04-28,188244.00,Normal Procument process,ZEDEK Cleaning services,Services rendered
South African Social Security Agency (SASSA),Eastern Cape,11,Regional Office,Disinfecting and Sanitizing of Nelson Mandela Metro and Sarah Baartman,16226,2020-04-28,90897.14,Normal Procument process,Kaisers Cleaning services,Services rendered
South African Social Security Agency (SASSA),Eastern Cape,11,Regional Office,Surgical Masks (16000),16225,2020-04-28,73600.00,Normal Procument process,Multi Surge,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,12,Regional Office,1000 Cloth Masks (Branding),16230,2020-04-29,45000.00,Normal Procument process,Buzwe Bethu Trading,Delivered
South African Social Security Agency (SASSA),Eastern Cape,13,Regional Office,Body Thermometer infrared ( 150),16231,2020-04-29,307500.23,Normal Procument process,A D Medical,Delivered
South African Social Security Agency (SASSA),Eastern Cape,13,Regional Office,Reusable coveralls,16353,2020-06-01,171925.00,Normal Procument process,Thansasana Trading,Delivered
South African Social Security Agency (SASSA),Eastern Cape,14,Nelson Mandela Metro,Hand Sanitzers,16188,2020-03-19,1995.00,Normal Procument process,Emilux,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,15,Nelson Mandela Metro,Facial Shield Masks (40),16211,2020-04-14,2000.00,Normal Procument process,Regent Corporate Administrators 65 CC Golden Stitches 1 Co Op,Goods Delivered
