buyer_name,implementation_location_province,No,items_description,order_number,award_date,order_amount_zar,payment_number,procurement_method,supplier_name,implementation_status
South African Social Security Agency (SASSA),Free State,1,"Pump bottle Hand Sanitzers(806)
and 3 Ply Surgical face  Masks (15 000)",11475-24,2020-03-19,573590.00,239457,Variation of an Order,Kamatshika Ser,Delivered on 24 March 2020.
South African Social Security Agency (SASSA),Free State,2,5 litre Disinfectants (1000),12878,2020-05-08,377740.00,239959,Supplier were selected from CSD,Fresh Clock Hol,Delivered 12/05/2020
South African Social Security Agency (SASSA),Free State,3,500ml - SanitizersBottle spray (6 780),12873,2020-05-08,389850.00,240283,Supplier were selected from CSD,BCAS Solutions,Delivered 13/05/2020
South African Social Security Agency (SASSA),Free State,4,Body Thermometer infrared ( 55 ),12872,2020-05-07,109999.45,239746,Supplier were selected from CSD,Chubaba Trading,Delivered on 11/05/2020
South African Social Security Agency (SASSA),Free State,5,Face cloth Masks (3layers) 1300,12876,2020-05-08,32500.00,239960,Procurement method used was the National Treasury Instruction No.5 of 2020/2021.,Shift Consultin,Delivered on 15/05/2020
South African Social Security Agency (SASSA),Free State,6,Plastic Face Shield,12874,2020-05-08,23904.00,239855,Supplier were selected from CSD,Taurr Trading,Delivered on 13/05/2020.
South African Social Security Agency (SASSA),Free State,7,3 layer cloth face mask,12890,2020-05-20,20000.00,241785,Supplier were selected from CSD,The BVH Empire,Delivered on 29/05/2020.
South African Social Security Agency (SASSA),Free State,8,DESK BASED SCREENS,12866,2020-05-20,213048.00,240816,Supplier were selected from CSD,GETMO GENERAL TRADING,Delivered on 28/05/2020.
South African Social Security Agency (SASSA),Free State,9,THERMOMETERS,12909,2020-06-20,54810.00,241339,Supplier were selected from CSD,THE BELOS ENTEPRISE,Delivered on 29/06/2020.
South African Social Security Agency (SASSA),Free State,10,dermacation tape,12889,2020-07-20,1770.00,"Not yet
 payed",Supplier were selected from CSD,kloppers,Delivered on 06/07/2020.
