buyer_name,implementation_location_other,order_number,award_date,supplier_name,items_description,procurement_method,order_amount_zar,ORDER  STATUS,PROCUREMENT REPORTED TO NT FOR REQUIREMENTS ABOVE R1MILLION- Y/N-/N/A,BRANDING,DISTRIBUTION,payment_number
South African Social Security Agency (SASSA),Head Office,10111,2020-03-17,STAZA Cleaning Services,Hand Sanitizers,Emergency Procurement,18302.25,Delivered 17/03/2020,N/A,None,SASSA staff at HO,239305
South African Social Security Agency (SASSA),Head Office,10146,2020-05-04,Shabalala Thabe Health Service,Cloth Masks,Emergency Procurement,30000.00,Delivered 04/05/2020,N/A,None,SASSA staff at HO,239822
South African Social Security Agency (SASSA),Head Office,10150,2020-05-08,Olora Trading Projects,Handheld Infrared Thermometre,Emergency Procurement,17600.00,Delivered 11/05/2020,N/A,None,SASSA staff at HO,240114
South African Social Security Agency (SASSA),Head Office,10132,2020-04-24,Chegoetso Projects and Service,Disinfection and Sanitation of SASSA Head,Quotation Process,58375.00,Delivered 03/05/2020,N/A,None,SASSA staff at HO,239594
South African Social Security Agency (SASSA),Head Office,10153,2020-05-22,Choene tlou Trading (Pty) LTD,Hand Sanitizers Pump Action,Quotation Process,54100.00,Delivered,N,N/A,Sassa Staff,240237
South African Social Security Agency (SASSA),Head Office,10161,2020-05-27,Moribo Wa Africa Enterprise 72,Alcohol Based Hand Spray Sanitisers,Quotation Process,59961.00,Delivered,N,N/A,Sassa Staff,240545
South African Social Security Agency (SASSA),Head Office,10181,2020-06-04,Mindckuf Projects Holdings,Digital Body Themometer,Quotation Process,3980.00,Delivered,N,N/A,N/A,240690
South African Social Security Agency (SASSA),Head Office,10190,2020-06-18,Chegoetso Projects and Service,Urgent Disinfection,Emergency,40000.00,Delivered,N,N/A,N/A,240985
South African Social Security Agency (SASSA),Head Office,10192,2020-06-18,Stanza Cleaning Services,Disinfection of Offices,Emergency,9246.00,Delivered,N,N/A,N/A,241054
South African Social Security Agency (SASSA),Head Office,10187,2020-06-17,Khovana Trading and Projects,"Face Shields, Gloves and Surgical Masks",Quotation Process,65945.00,Delivered,N,N/A,N/A,240884
South African Social Security Agency (SASSA),Head Office,10209,2020-07-27,Maluba Traiding Enterprise,Saniwipes and PomStands,Quotation Process,54945.60,In Process,N,N,N/A,Not paid
South African Social Security Agency (SASSA),Head Office,10210,2020-07-24,Dumi Traiding Enterprise,Branded FaceMask and Bibs,Quotation Process,334075.00,In Process,N,Y,N/A,Not paid
