buyer_name,implementation_location_province,No,items_description,order_number,award_date,order_number_zar,procurement_method,supplier_name,implementation_status
South African Social Security Agency (SASSA),Northern Cape,1,Emergency procurement  of  Hand Sanitzers(600);Latex gloves (260) and Masks -200,17084,2020-03-20,320567.00,"Emergency Procurement method was used, complying to the Agency's SCM Delegations.",Ideal Lifestyle,"Delivered on 24 March 2020. This was at the beginning of the Covid-19 pandemic announcement when there was a lot of uncertainty and panic, before National Treasury issued any Instruction notes,"
South African Social Security Agency (SASSA),Northern Cape,2,5litre Disinfectants (100)and 13600 surgical Masks .,17139,2020-04-14,297735.00,Procurement method used was the National Treasury Instruction No.8 of 2019/2020.,Supra Healthcare (Kzn),Delivered on the 29 April 2020
South African Social Security Agency (SASSA),Northern Cape,3,Disinfecting and Sanitizing of all SASSA Offices in the Northern Cape,17147,2020-04-28,245621.26,"Emergency Procurement method was used, complying to the Agency's SCM Delegations. complying to the Agency's SCM Delegations.",Ideal Lifestyle,"Emergency procurement was used to get the offices ready for the return of a 1/3 of staff, for the initial date of 04 May 2020. Deep cleaning was first done by the service provider during the long weekend of 01 May 2020. Service provider is currently busy and will finish on the 08 May 2020 as date for return of staff changed to 11 May 2020."
South African Social Security Agency (SASSA),Northern Cape,4,Face cloth Masks (3layers),17160,2020-05-07,46000.00,National Treasury Instruction Note 05 of 2020/21,Pitpins Uniform and Project Co-operative,Delivered and paid on 29 May 2020
South African Social Security Agency (SASSA),Northern Cape,5,Procurement of Thermometers,17161,2020-05-07,147200.00,National Treasury Instruction Note 05 of 2020/21,Multisurge,Delivered and paid on 22 May 2020
South African Social Security Agency (SASSA),Northern Cape,6,Coverall Suits and Refuse Bins,17162,2020-05-18,123255.00,Quotation Process in line with National Treasury Instruction No.05 of 2020/21,Mokalana Trading,Delivered and paid 28 July 2020
South African Social Security Agency (SASSA),Northern Cape,7,Covid 19 Stickers and signage,17163,2020-05-18,8482.40,Quotation Process in line with National Treasury Instruction No.05 of 2020/21,Printzz,Delivered and paid 06 July 2020
South African Social Security Agency (SASSA),Northern Cape,8,Gloves and sanitizers,17166,2020-05-25,486250.00,Quotation Process in line with National Treasury Instruction No.05 of 2020/21,Blue Aquarian Trading (PTY) LTD,Delivered and paid 08 July 2020
South African Social Security Agency (SASSA),Northern Cape,9,Disinfection of the Delpoortshoop Local Office,17206,2020-07-03,13200.00,Quotation Process in line with National Treasury Instruction No.05 of 2020/21,Schooling Solutions SA (PTY) LTD,Paid 06 August 2020
South African Social Security Agency (SASSA),Northern Cape,10,Cleaning and disinfection of local offices Colesberg and Noupoort,17214,2020-07-08,19812.00,Quotation Process in line with National Treasury Instruction No.05 of 2020/21,T T Global Trading,Paid 21 July 2020
South African Social Security Agency (SASSA),Northern Cape,11,Disinfection of the Regional Office,17216,2020-07-09,58397.00,Quotation Process in line with National Treasury Instruction No.05 of 2020/21,Ideal Lifestyle,Paid 06 August 2020
