buyer_name,Item No,items_description,supplier_name,invoice_date,order_number,order_amount_zar,procurement_method,Delivered (Yes/No)
South African Social Security Services (SASSA),1,Supply and delivery of Sanitisers & Disinfectant,Masana Hygiene Services,2020-03-31,9281,184894.14,Single sourcing,Yes
South African Social Security Services (SASSA),2,Supply and delivery for Protective  Items ( masks and hand gloves),Be Sure Events Solutions,2020-03-31,9278,3259100.00,Single sourcing,Yes
South African Social Security Services (SASSA),3,Delivery of disinfectent  services for  54 offices  and 151 Vehicles,Masana Hygiene Services,2020-04-20,9341,269868.50,Single sourcing,Yes
South African Social Security Services (SASSA),4,Sanitizers,Mphande Capital,2020-05-26,9316,137500.00,3 Quotations,Yes
South African Social Security Services (SASSA),5,Face Shields,MVN Holdings TradingG,2020-05-27,9320,29994.24,3 Quotations,Yes
South African Social Security Services (SASSA),6,Thermometer,Multisurge,2020-05-26,9317,117300.00,3 Quotations,Yes
South African Social Security Services (SASSA),7,Sanitizers Holders,Arloline (PTY) LTD,2020-07-08,9371,402280.00,3 Quotations,Yes
South African Social Security Services (SASSA),8,Duct tape,DNA Design Studio,2020-06-12,9365,34661.00,3 Quotations,Yes
South African Social Security Services (SASSA),9,Please Stand here signes,lkmj,2020-06-12,9366,14900.00,3 Quotations,Yes
South African Social Security Services (SASSA),10,Digital Thermometers,Magus Connections,2020-07-09,9374,62192.00,3 Quotations,Yes
South African Social Security Services (SASSA),11,"Disinfection of 1 Office & 3 Vehicles    , DR Pixley Ka Isaka Seme",Angiehope,2020-06-30,9369,4005.00,Single sourcing,Yes
South African Social Security Services (SASSA),12,Disinfection of 1 Office ( 15 rooms)  & 3 Vehicles   Dipaliseng,Mpembe and Sons Sales and Supplies,2020-07-09,9373,6500.01,Single sourcing,Yes
South African Social Security Services (SASSA),13,"Disinfection of 1 Office  ( 4 rooms )  & 2 Vehicles  ,    Mkobola",Wozngithatha Klungwane (Pty)Ltd,2020-07-23,AI-233549,6200.00,Single sourcing,Yes
South African Social Security Services (SASSA),14,"Disinfection of 1 Office ( 6 rooms)  & 3 Vehicles    , Emakhazeni",Ncangosi Solutions,2020-07-27,AI-233548,5100.00,Single sourcing,Yes
South African Social Security Services (SASSA),15,"Disinfection of 2 Office (29 rooms ) & 7 Vehicles , Gert Sibande District
and Msukaligwa  office",Takalani Empire,2020-07-25,AI-233550,40264.00,Single sourcing,Yes
South African Social Security Services (SASSA),16,"Disinfection of 3  Office (63 rooms) & 11  Vehicles , Nkangala District,
Emalahleni and Steve Tshwete Office )",Umnqobatha Trading Enterprise,2020-07-27,AI-233547,55550.00,Single sourcing,Yes
South African Social Security Services (SASSA),17,Disinfection of Regional Office,Masana Hygiene Services,2020-07-28,AI-233557,20333.96,Single sourcing,Yes
South African Social Security Services (SASSA),18,Disinfection of Evander Office,Masana Hygiene Services,2020-07-28,AI-233558,2322.77,Single sourcing,Yes
South African Social Security Services (SASSA),19,Cloth face mask,Dikarabo Trading Co-operative,2020-08-05,9378,53000.00,3 Quotations,Yes
