buyer_name,implementation_location_province,No,items_description,order_number,award_date,order_amount_zar,procurement_method,supplier_name,implementation_status
South African Social Security Agency (SASSA),North West,1,"Emergency procurement  of  Hand
Sanitzers(600);Latex gloves (260)
and Masks (200)",8926,2020-03-20,538500.00,"Emergency Procurement  method
was used, complying to the Agency's
SCM Delegations.","OLWE2 PROJECT
MANAGEMENT CONSULTANCY","Delivered on 23 March 2020. This was at the
beginning of the Covid-19 pandemic
announcement when there was a lot of
uncertainty and panic, before National Treasury
issued any Instruction notes,"
South African Social Security Agency (SASSA),North West,2,"1. Surgical Masks (5000)
2. Hand Sanitzers(70) 20L
3. Latex gloves (400)
4. 500ML empty bottles (1200)",8938,2020-03-24,359300.00,"Emergency Procurement  method
was used, complying to the Agency's
SCM Delegations.",MKHWEBENI NAYE TRADING,"Delivered on 31 March 2020. This was at the
beginning of the Covid-19 pandemic
announcement when there was a lot of
uncertainty and panic, before National Treasury
issued any Instruction notes,"
South African Social Security Agency (SASSA),North West,3,"1. Hand Sanitzers(520)
2.Latex gloves (1000)",8941,2020-03-28,417571.20,"Quotations: The National Treasury
approved list of suppliers were
invited, they responded by saying
they don’t have stock due to high
volume demand, normal suppliers
were invited",UMZANSI IT,Delivered on 31 March 2020.
South African Social Security Agency (SASSA),North West,4,"1. Mask N95 (95)
2.Latex gloves (40)
3. Setrile devices, UV-C indoor
sterile air",8910,2020-03-16,249861.65,"Quotations:   The procurement
process was embarked on before
the Treasury instruction note 3",4 MLK TRADING ENTERPRISES,"Delivered on 24 March 2020. The procurement
process was embarked on before the Treasury
instruction note 3"
South African Social Security Agency (SASSA),North West,5,Sanitazing of all offices,8955,2020-04-30,221375.00,"Used the current North West
cleaning company by activating the
disaster claws",Quintex,Delivered on 10 May 2020.
South African Social Security Agency (SASSA),North West,6,Surgical Mask 3 PLY (541),8950,2020-04-30,432800.00,"Quotations: The National Treasury
approved list of suppliers were
invited, they did not respond.
normal suppliers were invited in
compliance  with Trasury Practice
note No. 5 of 2020/21.",DOUBLE V GROUP,Delivered on 02 May 2020.
South African Social Security Agency (SASSA),North West,7,Thermometer,8967,2020-05-05,133100.00,"Emergency Procurement  method
was used, complying to the Agency's
SCM Delegations.
(A survey was conducted from
different suppliers to assess the
ability to deliver, the appointed
supplier was awarded based on the
stock availability and the capacity to
deliver immediately ). The  prices
chrged were based on what the
market was offering at that time ,
and the fact that the items were
urgently needed for staff at local
Offices , we had to use availability of
stock and ability to deliver",DOUBLE V GROUP,Delivered on 05 May 2020.
South African Social Security Agency (SASSA),North West,8,Cloth mask,8968,2020-05-07,7700.00,"The cooperatives were appointed
for the delivery of cloth masks","IKGODISENG SEWING PROJECT
PRIMARY CO-OPERATIVE
LIMITED",Delivered on 11 May 2020.
South African Social Security Agency (SASSA),North West,9,Cloth mask,"Order to be
issued today",2020-05-07,13000.00,"The cooperatives were appointed
for the delivery of cloth masks","AMOGELANG
MANUFACTURING CLOTHING
PRIMARY CO-OPERATIVE",Delivered on 11 May 2020.
South African Social Security Agency (SASSA),North West,10,Cloth mask,8968,2020-05-07,6950.00,"The cooperatives were appointed
for the delivery of cloth masks","BAHUMI MULTI-PURPOSE CO-
OPERATIVE LIMITED",Delivered on 11 May 2020.
South African Social Security Agency (SASSA),North West,11,Face shield mask,8966,2020-05-07,83190.00,"Quotations: The National Treasury
approved list of suppliers were
invited, they did not respond normal
suppliers were invited normal
suppliers were invited in compliance
with Trasury Practice note No. 5 of
2020/21.",REFILWEJUNIOR (PTY) LTD,Delivered on 09 May 2020.
South African Social Security Agency (SASSA),North West,12,"Social distancing floor marking
tapes",8965,2020-05-06,24000.00,"Quotations: Normal suppliers were
invited normal suppliers were
invited in compliance  with Trasury
Practice note No. 5 of 2020/21.","KEFILWE MOD TRADING
ENTERPRISE",Expected delivery 19 May 2020.
