Supplier name,Amount,Description of service
Bidvest services,"R20,010.00",purchase of 1200 masks
Biologica pharmaceuticals,"R53,300.00",purchase of 2000 masks
Bidvest services,"R285,660.00",hand sanitizers for 12 months dsac 1 apr 2020 to 31 mar 2021
Multisurge,"R23,000.00",10 digital thermometers
Womens edition,"R135,000.00",500 X5Liter hand sanitizers
Maxitrade 48 general trading,"R126,500.00",5000 cloth face masks
Maanda-nes investments (mn invest),"R429,000.00",decontaminations see orders or016964/017027/017028/017026
Lechoba medical technologies,"R13,179.00",200 safety goggles
Mutanzhela training and consultin,"R27,500.00",500 faceshield's for covid19
Kgosigadi health solutions,"R84,604.26","first aid beds, kits etcetera for all sites at dsac premises"
Womens edition,"R31,250.00",training on temperature screening devices
Blax interactive trading,"R96,887.50",install pedal operated hand sanitiser stands for ALL sites
Maanda-nes investments,"R340,086.00",decontaminations see orders or016964/017027 /017028/017026
