buyer_name,order_amount_zar,invoice_date,items_description,procurement_method,supplier_name,company_registration_number,Value of Contract,Reasons of purchases
Department of Tourism (DT),25114.40,,"Petty cash purchases - Desk shields, hand sanitisers, masks and thermal 
   
scanners 
",,,,,"Petty cash purchases between March 
and May 2020 while awaiting bulk order 
purchases. See Annexure 1 for details"
Department of Tourism (DT),49691.50,2020-03-20,500 x 250ml Hand Sanitizers,Request for Quotations (RFQ),Chapmar Industries,1989/034705/23,49691.5,Personal sanitisers issued to staff before lockdown
Department of Tourism (DT),242294.00,2020-05-20,"500 x 500ml Hand Sanitizers
50 x 251 Hand Sanitizer liquid refill
60 x Surgical Face Masks (Disposable)",Request for Quotations (RFQ),Tara Health,2019/237077/07,"R242 294,00",Sanitiser for Head Office use and masks for contract workers (Sita and TRF)
Department of Tourism (DT),49162.50,2020-05-21,"30 x Foot press sanitizers
150 x 500ml Hand sanitizer gel refill",ReQuest for Quotations (RFQ),ECM Technologies,2011/127959/07,"R49 162,50",Head Office utilisation in communal areas (ifts & shared equipment)
Department of Tourism (DT),43900.00,2020-05-21,"300 x 750ml Sanitizer spray
250Dust Masks(Single useN95 for
Cleaning staff)
250 Mask 3 Ply Surgical for Security
100 x 6 Boxes Gloves",Request for Quotations (RFQ),Lathi Holdings,2016/019955/07,"R43 900,00",PPE for essential staff. Surface base sanitisers for employee work stations.
Department of Tourism (DT),8750.00,2020-05-21,5 x Thermal scanners,Request for Quotations (RFQ),Lathi Holdings,2016/019955/07,8750,Usage at the entrances to buildings
Department of Tourism (DT),25000.00,2020-06-03,1 000 x Textile Masks,"
Request for Quotations (RFQ)",Alveda,2013/141116/07,"R25 000,00",2 per department official as er DPSA circular 20 to replace disposable masks
Department of Tourism (DT),13110.00,2020-06-03,"10 x Foor Press santiser
20 x 500ml Hand sanitiser Gell Refill",ReQuest for Quotations (RFQ),ECM TechnoloQies,2011/127959/07,"R13 110,00","Additional purchase for Head Office
utilization to cover remaining communal
areas."
Department of Tourism (DT),24500.00,2020-04-23,1000 x Textile Masks,Request for Quotations (RFQ),Seloro Media (PTY) LTD,2013/212185/07,"R24 500,00",2 per department official as er DPSA circular 20 to replace disposable masks
Department of Tourism (DT),54500.00,2020-04-21,Decontamination of Head Office,Request for Quotations (RFQ),Pest Control Experts,2014/001326/07,54500,Decontamination of 12 floors after a positive Covid-19 case
Department of Tourism (DT),42000.00,2020-04-21,"Sanitise/Disinfect: Bojanala House Building, Balconies and Guardhouse - Week 1, 2 and 3.",Request for Quotations (RFQ),Babirwa and Sons Holdings (Pty) Ltd,2015/226351/07,"R42,000.00",Disinfection of Bo·anala House 
Department of Tourism (DT),29500.00,2020-06-08,"FLIR
TG165
lnfraredThermometer
Detector X 2",Request for Quotations (RFQ),Group LMS,2017/034436/07,"R29,500.00",Usage at the entrances to thebuilding
Department of Tourism (DT),11900.00,2020-05-20,350 Branded Reusable Cloth Masks,Request for Quotations (RFQ),The Brokers Learning Centre,2015/097758/07,"R11,900.00","Masks for employees as per DPSA
Circular 20 to replace disposable masks."
