TYPE OF GOODS,NUMBER OF GOODS,DATE,PROCUREMENT PROCESS,TOTAL CONTRACT AMOUNT,NAME OF COMPANY
"1.       Automatic Sanitiser
Dispensers",35,19-May-20,"Request for quotations
(R4749.50 x 12 months rental
per month)",R56 994.00,SUPERCARE
2.       N95 Masks,10000,25-May-20,Request for quotations,R95 000.00,SUPRAHEALTHCARE
"3.       70% Alcohol Based
Sanitisers",20L X 10,25-May-20,Request for quotations,R21 134.20,SUPRAHEALTHCARE
4.       Latex Gloves,1000,25-May-20,Request for quotations,R1 290.00,SUPRAHEALTHCARE
5.       Nurse (6 months contract),1,06-Jul-20,Request for quotations,R113 556.00,ALLMED
6.       Liquid Soap,26,18-May-20,Petty Cash,R951.00,MAKRO
"7.       Courier Services to Cape
Town Office",1,19-Jun-20,Petty Cash,R1 256.00,POSTNET
8.       Liquid Soap,115,,Petty Cash,R1 840.00,MAKRO
"9.       Body Temperature
Scanners",5,20-Jul-20,"Emergency Procurement
therefore Deviation from normal
Procurement process",R4 500.00,INTELLISEC
"10.   Body Temperature
Scanners",5,17-Mar-20,"Emergency Procurement
therefore Deviation from normal
Procurement process",R5 300.00,CLICKS
"11.   Decontamination and
Fogging (Pta and Jhb Offices)",As and when need arises,04-Jun-20,Request for quotations,R24 150.00,MASANA HYGIENE SERVICES
"12.   Decontamination and
Fogging (Cape Town Office)",As and when need arises,06-Jul-20,Request for quotations,R25 567.74,SERVEST
"13.   Decontamination and
Fogging (Pta)",As and when need arises,23-Jun-20,Request for quotations,R77 991.61,BIDVEST
14.   Office Deep Cleaning,As and when need arises,03-Jun-20,Request for quotations,R12 075.00,MASANA HYGIENCE SERVICES
"15.   Doc Marking Tapes
(Pretoria, Jhb, Cape Town, )",,May-20,Petty Cash,R2 000.00,BUILDERS WAREHOUSE
"16.   Perspex screen dividers
(Pta, Jhb and CT SSC)",,May-20,Petty Cash,R6 000.00,WOODKNOT WORKSHOP
"17.   Social Distancing Markers
(Durban Office)",14,May-20,Petty Cash,R2 000.00,MAXWELL ADVERTISING & DESIGN
18.   Cloth Masks,1200,07-May-20,"Emergency Procurement
therefore Deviation from normal
Procurement process",R30 000.00,ANGIOCHEM
