buyer_name,Month,Item,Amount,Supplier
National Consumer Tribunal,March 2020,Sanitizers,R1 829.39,Dorite Pharmacy (Spar)
National Consumer Tribunal,March 2020,Gloves,R900.00,Dorite Pharmacy (Spar)
National Consumer Tribunal,March 2020,Biotaine in alcohol,R559.92,Dorite Pharmacy (Spar)
National Consumer Tribunal,March 2020,Tissues,R200.13,Spar
National Consumer Tribunal,May 2020,Sanitizers,R800.00,Spar
National Consumer Tribunal,May 2020,Gloves,R1 200.00,Spar
National Consumer Tribunal,July 2020,Gloves,R679.95,The Cleaning Hub
National Consumer Tribunal,July 2020,Sanitizers,R729.50,Makro
National Consumer Tribunal,July 2020,Disinfectants,R476.10,The Cleaning Hub
National Consumer Tribunal,July 2020,Knapsack spray,R1 198.67,The Cleaning Hub
