buyer_name,items_description,procurement_method,supplier_name,company_registration_number,order_amount_zar,invoice_date,bbeee_status
National Credit Regulator for Compulsory Specifications (NRCS),"Provision of COVID 19
Awareness Programme to
300 NRCS employees",RFQ process,"Marpemed (Pty)
Ltd",2015/019681/07,124775.00,2020-05-22,Level 1
National Credit Regulator for Compulsory Specifications (NRCS),Provision Soft facial tissues(200),Deviation,"Dischem
Pharmacies",2005/0009766/06,3390.00,2020-03-25,n/a
National Credit Regulator for Compulsory Specifications (NRCS),Deep cleanse of Bloemfontein office,RFQ process,Lenka Tlhoolo (Pty)Ltd,2014/131518/07,3018.00,2020-05-12,Level 1
National Credit Regulator for Compulsory Specifications (NRCS),Deep cleanse of the other portion of Bloemfontein office,RFQ process,Lenka Tlhoolo (Pty)Ltd,2014/131518/07,7924.54,2020-06-08,Level 1
National Credit Regulator for Compulsory Specifications (NRCS),Deep cleanse of Cape Town office,RFQ process,"La Demente (Pty)
Ltd",2011/140862/07,24661.45,2020-05-15,Level 1
National Credit Regulator for Compulsory Specifications (NRCS),Deep Cleanse of Durban Office,RFQ process,Isijwayi Trading,2015/341400/07,51960.00,2020-06-08,Level 1
National Credit Regulator for Compulsory Specifications (NRCS),"Deep Cleanse of Port
Elizabeth office",RFQ process,"DKZee Cleaning
Services",2007/162990/23,2898.00,2020-06-01,Level 1
National Credit Regulator for Compulsory Specifications (NRCS),"Calibration of 11
Thermometers",Deviation,NMISA,,34100.00,2020-06-05,Level 0
National Credit Regulator for Compulsory Specifications (NRCS),"Supply of PPE (
Sanitizers X10
Respiratory Masks N95
x30 FFP2masks x 30 ,
Box Gloves I box of 100",Deviation,Amedzo Trading,2009/067977/23,7057.80,2020-03-26,Level 1
National Credit Regulator for Compulsory Specifications (NRCS),"Supply and Delivery of
PPE ( 100 Surgical
gloves, nitrile x70;
Surgical gloves- rubber
latex x100; Surgical
masks 280, Aprons x3;
Goggles x 300; Body
Themometers x 5; Boot
covers x100 ; Sanitisers
500ml x600; Sanitizers x
25litres x 30; Biohazard
bags x60; Spray bottles
x 300",RFQ process,Dredin Projects (Pty) Ltd,2009/181815/23,496250.00,2020-06-08,Level 1
National Credit Regulator for Compulsory Specifications (NRCS),"Supply and delivery of
900 Cloth masks",RFQ process,"Retrolex
Consultancy",2008/149465/23,36023.08,2020-05-25,Level 1
National Credit Regulator for Compulsory Specifications (NRCS),"Purchase of 6 addition
Digital Body
Thermometers",RFQ process,Blessed CO,2016/142073/07,6555.00,2020-06-02,Level 1
