,buyer_name,items_description,Procurement Process,Service Provider,"Company
Registration
Number",Date,Amount
1,South African Nation Accreditation System (SANAS),Covid 19 Services: Fumigation of Offices,3 Quote System,Fumigation Worx,2006/114521/23,14/05/2020,R9 832.50
1,South African Nation Accreditation System (SANAS),Covid 19 Services: Sick Bed,3 Quote System,Mootlwana business nterprise,2018/455047/07,10/06/2020,R10 316.18
1,South African Nation Accreditation System (SANAS),PPE item: Cloth Mask,3 Quote System,LME Business Consultation,2016/499196/07,15/06/2020,R5 000.00
1,South African Nation Accreditation System (SANAS),PPE item: Santizer Dispensers and Refills,3 Quote System,Bokamoso 2017 Investments,2018/517204/07,22/06/2020,R22 880.00
2,Competition Commission,PPE RELATED EXPENSES: 500 Masks,RFQ -NT List of Suppliers,Plus Fab,2019/151894/07,21/05/2020,"R 27 945,00"
2,Competition Commission,PPE RELATED EXPENSES: 6 x Temperature Thermometers,Cheque - Cash Transaction,Link Pharmacy,n/a,15/03/2020,"R 4 000,00"
2,Competition Commission,PPE RELATED EXPENSES: 300 Masks and 500 Gloves,RFQ,Afrikano Holdings,2019/151894/07,11/05/2020,"R 21 950,00"
2,Competition Commission,"PPE RELATED EXPENSES: 70% Alcohol Based Gel Sanitisers 1L 100 Masks 200 Gloves 5l Surface Disinfectant",RFQ,Dolly Matlhatsi Enterprises,2018/349653/07,23/06/2020,"R 11 500,00"
2,Competition Commission,PPE RELATED EXPENSES: 900 x Latex Gloves,Petty Cash,Sunrise Sweets Market,n/a,15/03/2020,"R 764,90"
2,Competition Commission,"PPE RELATED EXPENSES: 73 x 2l Alcohol Based Sanitisers
21 x 5l Alcohol Based Sanitisers
17 Boxes x 2 Ply Folded Hand Towels
50 x 6 pack Towel Rolls
90 Boxes of 2 Ply Boxed Tissues 300 Masks
Alcohol Based 50 ml Sanitisers Disposal Bins",,Vektor Projects,2018/049953/07,18/03/2020,"R 372 200,00"
3,Companies Tribunal (CT),COVID-19 Expenditure: Covid-19 Training,Careways provides employee wellness services for Companies Tribunal and was appointed on a 3 year contract by following normal procurement processes on 8/03/2019,Careways,,28/05/2020,R9 717.50
3,Companies Tribunal (CT), Procurement of PPEs: Sanitizers ,Bought through petty cash,Sunmed Healthcare Pharmacy,,20/03/2020,R1 350
3,Companies Tribunal (CT), Procurement of PPEs: Branded Masks,Quotations sourced from suppliers registered on the National Treasury Central Supplier Database,Tevu Investments,2018/284374/07,09/06/2020,R3 492
3,Companies Tribunal (CT)," Procurement of PPEs: Covid PPEs (Sanitisers, Paper Towels) ",Bought through petty cash,KitKat ,1996/002415/07,09/07/2020,R605
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Tissues for the office,Quotation,Dis chem,2005/009766/06,09/03/2020,1 184.80
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Thermometer for the office,Quotation,Dis chem,2005/009766/06,10/03/2020,699.9
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Tissues for the office,Quotation,Dis chem,2005/009766/06,12/03/2020,519.6
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Dumpie bottle for sanitisers,Quotation,West pack,2015/084205/07,18/03/2020,104.5
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Jik to sanitise the office,Quotation,Clicks,4520189236,23/03/2020,160.4
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Hand sprayer and trigger spray,Quotation,Indigo,Not Specified,23/03/2020,98
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Hand sanitisers for the office,Quotation,GA Anderson Enterprise,2015/372969/07,23/03/2020,1 020.00
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Masks,Quotation,Home Express,,23/03/2020,200
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Non-contact Thermometers,Quotation,Blax Interactive,2003/031360/23,07/05/2020,6 037.50
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Sanitisers,Quotation,Makro,1991/006805/07,07/05/2020,744.5
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Sanitisers,Quotation,Makro,1991/006805/07,07/05/2020,2 500.00
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Office Sanitation,Quotation,Masana,2014/110265/07,11/05/2020,9 990.63
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Hand sanitisers,Quotation,Makro,1991/006805/07,12/05/2020,3 052.40
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Material Face Masks,Quotation,Bizrocket,2013/180207/07,13/05/2020,5 000.00
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Hand sanitisers,Quotation,Makro,1991/006805/07,18/05/2020,2 978.00
6,Export Credit Insurance Company (ECIC),COVID-19 related activities: Office Sanitation,Quotation,Masana,2014/110265/07,25/06/2020,9 990.63
6,Export Credit Insurance Company (ECIC),PPEs: Hand sanitisers for the office,Quotation,GA Anderson Enterprise,2015/372969/07,23/03/2020,1 020.00
6,Export Credit Insurance Company (ECIC),PPEs: Thermometer for the,Quotation,Dis chem,2005/009766/06,10/03/2020,699.9
6,Export Credit Insurance Company (ECIC),PPEs: Masks,Quotation,Home Express,No Specified,23/03/2020,200
6,Export Credit Insurance Company (ECIC),PPEs: Non-contact Thermometers,Quotation,Blax Interactive,2003/031360/23,07/05/2020,6 037.50
6,Export Credit Insurance Company (ECIC),PPEs: Sanitisers,Quotation,Makro,1991/006805/07,07/05/2020,744.5
6,Export Credit Insurance Company (ECIC),PPEs: Sanitisers,Quotation,Makro,1991/006805/07,07/05/2020,2 500.00
6,Export Credit Insurance Company (ECIC),PPEs: Material Face Masks,Quotation,Bizrocket,2013/180207/07,13/05/2020,5 000.00
6,Export Credit Insurance Company (ECIC),PPEs: Hand sanitisers,Quotation,Makro,1991/006805/07,12/05/2020,3 052.40
6,Export Credit Insurance Company (ECIC),PPEs: Hand sanitisers,Quotation,Makro,1991/006805/07,18/05/2020,2 978.00
7,Industrial Development Corporation (IDC),COVID-19 related activities: Once off - Emergency Sanitisation Fogging after the announcement of a confirmed case of coronavirus at IDC Head Office,Tactical procurement process followed and order placed with service provider who could provide service at short notice and most cost effectively on an emergency procurement basis in line with IDC Procurement Policy. ,Meridian Hygiene (Pty) Ltd ,2015/314563/07,15/04/2020,R 62 500.00
7,Industrial Development Corporation (IDC),COVID-19 related activities: Once off Sanitisation Fogging at certain IDC Regional Offices.,Tactical procurement process followed and order placed with service provider who could provide service at short notice and most cost effectively on an emergency procurement basis in line with IDC Procurement Policy. ,Meridian Hygiene (Pty) Ltd ,2015/314563/07,15/04/2020,R 75 753.07
7,Industrial Development Corporation (IDC),COVID-19 related activities: Supply and delivery of 2 Temperature Scanners,One-qupte processin-line with IDC Procurement Policy,Class Three Medical Solutions (Pty) Ltd,2017/535986/07,20/03/2020,R 2 277.00
7,Industrial Development Corporation (IDC),COVID-19 related activities: Supply and delivery of 25 Temperature Scanners,Tactical procurement process followed and order placed with service provider who could supply stock at short notice and at market related cost on an urgent basis in line with IDC Procurement Policy. ,Class Three Medical Solutions (Pty) Ltd,2017/535986/07,20/04/2020,R 41 464.00
7,Industrial Development Corporation (IDC),COVID-19 related activities: Provision of 600 data cards to enable remote working for staff (initial 3 months of lockdown),Emergency procurement process followed and order placed with incumbent contractor who was appointed through a competitive tender process in 2019.,MTN ,1993/001436/07,25/03/2020,R 470 000.00
7,Industrial Development Corporation (IDC),COVID-19 related activities: Provision of 400 data cards to enable remote working for staff (further 3 months of lockdown),Tactical procurement process followed and order placed in line with IDCÕs Procurement Policy ,MTN ,1993/001436/07,29/07/2020,R 291 130.43
7,Industrial Development Corporation (IDC),COVID-19 related activities: Provision of Sanitization Fogging services to IDC Head Office and all Regional Offices for a period of 6 months on the basis of 2 foggingÕs per month per office when required,Tactical procurement process followed and order placed in line with IDCÕs Procurement Policy ,The Specialists Franchise Holdings (Pty) Ltd ,2015/194656/07,29/05/2020,R610 181.40
7,Industrial Development Corporation (IDC),PPEs: Rental of Hand Sanitizer Spray Dispensers for a period of 12 months (Qty:100),"Emergency procurement process followed
and order placed with incumbent hygiene contractor who was appointed through an open tender process in 2018.",Kusile Hygiene and Industrial Services ,2019/481196/07,11/03/2020,R 114 000.00
7,Industrial Development Corporation (IDC),PPEs: Supply of Hand Sanitizer Spray Refills (Qty:400),"Emergency procuremeNt process followed and order placed with incumbent hygiene 11 March contractor who was appointed through an
2020 open tender process in 2018.",Kusile Hygiene and Industrial Services ,2019/481196/07,11/03/2020,R 31 200.00
7,Industrial Development Corporation (IDC),PPEs: Supply of Sanitiser 500ml (Qty. 500),Tactical procurement process followed and order placed with service provider who could provide service at short notice and most cost effectively on an emergency procurement basis in line with IDC Procurement Policy.,Blu Rain Trading cc ,2010/087527/23,25/03/2020,R 75 000.00
7,Industrial Development Corporation (IDC),PPEs: Supply and delivery of surgical masks (Qty. 2000),Tactical procurement process followed and order placed with service provider who could provide service at short notice and most cost effectively on an emergency procurement basis in line with IDC Procurement Policy.,Blu Rain Trading cc ,2010/087527/23,25/03/2020,R 50 000.00
7,Industrial Development Corporation (IDC),PPEs: Supply and delivery of latex gloves (Qty. 5000),Tactical procurement process followed and order placed with service provider who could provide service at short notice and most cost effectively on an emergency procurement basis in line with IDC Procurement Policy.,Blu Rain Trading cc ,2010/087527/23,25/03/2020,R 7 487.50
7,Industrial Development Corporation (IDC),PPEs: Supply and delivery of surgical masks (Qty. 6000),Tactical procurement process followed and order placed in line with IDCÕs Procurement Policy. ,Meridian Hygiene (Pty) Ltd ,2015/314563/07,15/04/2020,R 97 995.0
7,Industrial Development Corporation (IDC),PPEs: 21 x 1L Sanitizer sprays,One-quote process in-line with IDC Procurement Policy ,i-dot-IT ,2019/238102/07,20/03/2020,R2 463.30
7,Industrial Development Corporation (IDC),PPEs: 83 x 50ml Sanitizers,One-quote process in-line with IDC Procurement Policy ,Yes We Can Marketing Solutions ,2013/209790/07,20/03/2020,R2 489.24
7,Industrial Development Corporation (IDC),PPEs: 5000 x Three layer fabric face masks,Tactical procurement process followed and order placed in line with IDCÕs Procurement Policy ,FBK Clothing and Textiles cc ,2010/066054/23,04/06/2020,R150 000.00
7,Industrial Development Corporation (IDC),PPEs: 55 x Portable rectangular desktop sneeze guards,Tactical procurement process followed and order placed in line with IDCÕs Procurement Policy ,Azania Infracon (Pty) Ltd ,2011/143588/07,29/07/2020,R58 850.00
7,Industrial Development Corporation (IDC),PPEs: 20 x Rectangular Guards,Tactical procurement process followed and order placed in line with IDCÕs Procurement Policy ,Azania Infracon (Pty) Ltd ,2011/143588/07,29/07/2020,R34 400.00
7,Industrial Development Corporation (IDC),PPEs: 65 x free-standing wet wipes steel stand with disposal bin,Tactical procurement process followed and order placed in line with IDCÕs Procurement Policy ,Kusile Facilities Management (Pty) Ltd ,2019/481196/07,29/07/2020,R167 781.25
7,Industrial Development Corporation (IDC),PPEs: 20 x Head-mounted full-face gas mask,Tactical procurement process followed and order placed in line with IDCÕs Procurement Policy ,Kusile Facilities Management (Pty) Ltd ,2019/481196/07,29/07/2020,R3 981.25
7,Industrial Development Corporation (IDC),PPEs: 20 x Foot Pedal sanitiser stands with a bottle,Tactical procurement process followed and order placed in line with IDCÕs Procurement Policy ,FBK Clothing and Textiles cc ,2010/066054/23,08/07/2020,R19 000.00
8,The International Trade Administration Commission (ITAC),COVID-19 related activities: Pump Long Nose 5lt. Sanitizer liquid hand gel. Mask Non- Woven 3 ply,Petty Cash ,G Fox (Pty) Ltd ,,15/04/2020,R2 000.00
