buyer_name,No.,supplier_name,items_description,order_amount_zar
"Department of Women, Youth and Persons with Disabilities",1,Barnes Pest Control,Fumigation  sanitizing and deep cleaning of the department,28000.00
"Department of Women, Youth and Persons with Disabilities",2,Rearabilewe Devoted Creations (PTY)LTD,25L Surface sanitizer with 70% alcohol,25000.00
"Department of Women, Youth and Persons with Disabilities",3,Manapyane Holdings (PTY) LTD,5 X Infrared temperature thermometers,11500.00
"Department of Women, Youth and Persons with Disabilities",4,Ndamu General Supplier, Sanitation of building,21000.00
"Department of Women, Youth and Persons with Disabilities",5,Hygiene Detergent CC,6 X 5lt hand sanitizers and 4 empty containers,1952.00
"Department of Women, Youth and Persons with Disabilities",6,Amidex (PTY) LTD,15 X Full face protection shields for 15 officials in Finance,1125.00
"Department of Women, Youth and Persons with Disabilities",7,Totiusdal Apteek,Latex gloves and masks,750.00
"Department of Women, Youth and Persons with Disabilities",8,Inpursuit Projects & Technology Services,2 X Digital temperature thermometer,1550.00
"Department of Women, Youth and Persons with Disabilities",9,Lunex Supplies (PTY) LTD,20 X Full face protection shields for 20 officials and 35 bottle spray 450ml,1969.25
"Department of Women, Youth and Persons with Disabilities",10,Game Store,Battery for the thermometer,420.70
"Department of Women, Youth and Persons with Disabilities",11,Camp Cleaners Materials (PTY) LTD,19 X Latex hand gloves,1823.05
"Department of Women, Youth and Persons with Disabilities",12,Crazy Plastic Express,12 X times spray bottles for hand sanitizers,479.80
"Department of Women, Youth and Persons with Disabilities",13,Rea Bathato (PTY) LTD,Fumigation and disinfecting interior of the vehicle,500.00
"Department of Women, Youth and Persons with Disabilities",14,M&M Materials (PTY) LTD,21 X Latex gloves with powder,1968.75
"Department of Women, Youth and Persons with Disabilities",15,DIS-CHEM PHARMACY,15 X Sanitizers  4 X masks  surface spray and 1 infectiguard alcohol surface spray,1568.10
"Department of Women, Youth and Persons with Disabilities",16,PNA,40 X Sanitizers,490.90
"Department of Women, Youth and Persons with Disabilities",17,Chemstrat Industrial CC,4 X 750ml spray bottles  3 X 5lt hand sanitizers,458.00
"Department of Women, Youth and Persons with Disabilities",18,Phila Health & Hygiene (PTY)LTD,5lt Hand sanitizer and 3 X empty containers,427.20
"Department of Women, Youth and Persons with Disabilities",19,Life Health & Hygiene Services CC,6 X 5lt Hand sanitizers and 3 X empty containers,1925.00
"Department of Women, Youth and Persons with Disabilities",20,Phila Health & Hygiene (PTY) LTD,1 X 5lt hand sanitizer,395.00
"Department of Women, Youth and Persons with Disabilities",21,Phila Health & Hygiene (PTY)LTD,10 X 500ml hand sanitizers,910.00
"Department of Women, Youth and Persons with Disabilities",22,Lurex Care (PTY)LTD,17 X Full face protection shields,1080.35
"Department of Women, Youth and Persons with Disabilities",23,DIS-CHEM PHARMACY,20 X Latex gloves,1899.00
"Department of Women, Youth and Persons with Disabilities",24,Camp Cleaners Material PTY (LTD),21 X Latex gloves,1919.00
"Department of Women, Youth and Persons with Disabilities",26,Clicks ,6 X 800ml sanitizers,452.52
