buyer_name,order_amount_zar,Date of procurement,invoice_date,items_description,procurement_method,supplier_name,company_registration_number,Value of Contract ,Reason for purchases
Film and Publications board,14985.00,15-Mar-20,2020-03-15,Hand Sanitizers and Office Disinfectants,Petty Cash - Emergency procument,Dischem Pharmacies Limited,2005/0097/66/06,R14 985,Protection of employees in light of Covid19 outbreak
Film and Publications board,168080.00,17-Mar-20,2020-03-17,Gloves and hand sanitizers,Request for. quotations,Youth Element,2012/193070/07,R168 080.00,Protection of employees in light of Covid19 outbreak
Film and Publications board,38879.02,17-Mar-20,2020-03-17,PPPF 1 Masks and Vitamin C 1000mg,Request for quotations,The Bull Projects,2017/108928/07,R38 879.02,Projects of employees in light of Covid19 outbreak
Film and Publications board,5120.00,08-May-20,2020-05-08,Face Shields,Request for quotations,Siphumelele Industries,2014/045098/07,R5 120,Protection of employees in light of Covid19 outbreak
Film and Publications board,106800.00,08-May-20,2020-05-08,Cloth Masks,Request for quotations,RefMoloi Textiles,2007/195206/23,R106 800,Protection of employees in light of Covid19 outbreak
Film and Publications board,55354.20,29-Jun-20,2020-06-29,Nurse for screening,Request for quotations,Life Healthcare,2003/024367/07,R55 254.20,Nurse for 4 weeks to assist with screening
Film and Publications board,51270.00,Recruitment Process,,Screener to comply with Covid-19 protocol,No - Recruitment on FTC,Individual appointment,Not Applicable,R51 270.00 (appointment to be confirmed),Nurse for 4 weeks to assist with screening
Film and Publications board,126579.00,30-Jul-20,2020-07-30,Vitamin C - 6 months,Request for quotations,Lenique Enterprises,2019/482638/07,R126 579.00,Vitamin C Fizzies for staff members immune systems
Film and Publications board,16287.00,04-Jul-20,2020-07-04,Office deep cleaning and sanitizing,Emergency procurement - contract variation.,Resolute Building Services,2016/536968/07,R16 287.00,Office deep cleaning and sanitizing after identification of a Covid19 positive case
Film and Publications board,11287.00,13-Jul-20,2020-07-13,Office deep cleaning and sanitizing,Emergency procurement - contract variation.,Resolute Building Services,2016/536968/07,R11 287.00,Office deep cleaning and sanitizing after identification of a Covid19 positive case
Film and Publications board,6682.50,11-Aug-20,2020-08-11,Office deep cleaning and sanitizing,Request for quotations,Taylor Hygiene,2020/452074/07,R53 460,Office deep cleaning and sanitizing after identification of a Covid19 positive case
