buyer_name,supplier_name,items_description,order_amount_zar
Home Affairs,Edna Medical Distributors,Gloves - Surgical & Examination - Natural Rubber Latex (BVR),1080
Home Affairs,RND Amalgamated Pest Control and Higlene Soeclallst,Sanitisers (BVR),4025
Home Affairs,KITA TOURS DELIVERIES,BOTTLE SPRAYS,10920
Home Affairs,KOMAPE MANIA TRADING ENTERPRISE,STEEL FOOT DISPENSER,41800
Home Affairs,Plastics R us,Spray bottles,2402
Home Affairs,MTHOWANI,STAND,650
Home Affairs,MTHOWANI,SANITIZING WIPES,1350
Home Affairs,MAKRO,BATTERIES,1963
Home Affairs,PLASTICS R US,LOTION PUMP BOTTLE 10,1989
Home Affairs,MTHOWANI,STAND,650
Home Affairs,MTHOWANI,SANITIZING WIPES,1350
Home Affairs,Ezolutsha Trading,Sanitisers,12000
Home Affairs,Ntuba Ltd Pty,Sanitisers,13000
Home Affairs,Ntuba Ltd Pty,Sanitisers,13600
Home Affairs,Nodoll,Sanitisers,13600
Home Affairs,The Stationers & Computer shop,Gloves,1925
Home Affairs,The Stationers & Computer shop,Gloves,1925
Home Affairs,The Stationers & Computer shop,Gloves,1925
Home Affairs,The Stationers & Computer shop,Gloves,1925
Home Affairs,The Stationers & Computer shop,Gloves,1925
Home Affairs,JOE DAVIS,Spray bottles,220
Home Affairs,BKB DISTRIBUTORS,Sanitisers,340
Home Affairs,BKB DISTRIBUTORS,Sanitisers,112
Home Affairs,Cassim's,Sanitisers,500
Home Affairs,Cassim's,Gloves,360
Home Affairs,SPAR,Sanitisers,118.93
Home Affairs,CLICKS Phamarcy,Sanitisers,271.84
Home Affairs,CLICKS Phamarcy,Sanitisers,152.91
Home Affairs,BRANDO'S Pharmacy,Gloves,114.95
Home Affairs,CLICKS Phamarcy,Sanitisers,269.97
Home Affairs,Fantasy Trading,Sanitizer Containers,241.5
Home Affairs,Aminachem Pty Ltd,Sanitiser (For Tabankulu Office),350
Home Affairs,Sylewyse Cosmlcs Blzana,Dettol {For Bizana Office),139.98
Home Affairs,Lathl-thaa Pharmacy,Gloves {For Mt AyliffOfflce),129.95
Home Affairs,Lathi-thaa Pharmacy,Sanitiser (For Mt Ayliff Office),120.05
Home Affairs,Lathi-thaa Pharmacy,Sanitiser (For Mt Ayllff Office),39.95
Home Affairs,Arise and Shine Ministries,Sanitiser (For Bizana Office),510
Home Affairs,Superpar,Oetol,343.96
Home Affairs,Superoar,Health & Beauty ( GERMEX HYGIENE LIQUID),194.95
Home Affairs,lngquza Hill Pharmacy,Gloves,512.94
Home Affairs,Jabula Supermarket,Menthol Spirit,84
Home Affairs,Emax Home,Plastic Water bottles,144
Home Affairs,Shorprite,Cleaning Clothes,159.92
Home Affairs,Entabeni Hardware Express,Plastic Water Bottles,77.7
Home Affairs,Entabeni Hardware Express,Plastic Water Bottles,38.85
Home Affairs,Blazing Sliver Trading,Deto\,356.97
Home Affairs,Cash Build,Dust Musk,1329.08
Home Affairs,Clicks,Gloves,432
Home Affairs,Quality Plumbers,Dust Musk,192
Home Affairs,Soul Fire Holdings,Sanitiser,1100
Home Affairs,Gulenl Projects,Cloth Masks,7350
Home Affairs,Phumaphamblll Agric and Textile,Cloth Masks,12500
Home Affairs,Ulu Trading PTY (LTD),Deep cleanlng-15 offices,118380
Home Affairs,JK Tech Promo,Sanitizers,40468.5
Home Affairs,Spumeze Trading,Sanitizers,20556
Home Affairs,Evergreen latex Gloves,Gloves,286700
Home Affairs,Africa's Plumber,Deep cleanlng-16 offices,114950
Home Affairs,Libhongo trading Enterprise,sanitizers,60000
Home Affairs,Luphlwam Trading,Deep cleaning,45189.09
Home Affairs,Ezanathl solutions,Sanit!zers,24100
Home Affairs,Yolanindalo,Deep cleaning,154260
Home Affairs,Snow's catering,Cleaners,247957.71
Home Affairs,Super clean,Deep cleaning,140248.5
Home Affairs,lngachwuma Services,Sanitiser,26000
Home Affairs,East cost clothing,Mask,15000
Home Affairs,Gulenl Projects,Mask,13475
Home Affairs,CIA Pharmacy,Gloves,844.2
Home Affairs,NM Khanya,Masks,338775
Home Affairs,NM Khanya,Gloves,70425
Home Affairs,MGC Malotle Group,Sanitisers,63800
Home Affairs,MGC Malotle Group,Sanitisers,7700
Home Affairs,Value Max,Sanitisers,63960
Home Affairs,Stonehange Mulimlsl Consulting,Thermometers,45375
Home Affairs,Sbankwa Construction,Spray Bottles,14175
Home Affairs,Bloemclty Love,Knapsack Spray bottle,12000
Home Affairs,Bakgwetsi Ba Katleho Co-oneratlve,Gloves,50000
Home Affairs,ATM Trading & Projects,COVID cleaning services three months contract,452179.66
Home Affairs,SA Chemical,Sanitisers,5925
Home Affairs,Various supermarkes,Gloves- Surgical & Examination - Natural Rubber Latex ( 4 bo,599.75
Home Affairs,Various supermarkes,Sanitisers,2938.25
Home Affairs,Various sunermarkes,Disinfectants,1899.5
Home Affairs,Various supermarkes,Other: Specify WIPES,9167.2
Home Affairs,Kroonstad pharmacy,Hand sanitezer,173.92
Home Affairs,Kroonstad pharmacy,Dettol,41
Home Affairs,Ok Grocery,Savlon liquid,113.98
Home Affairs,Game,Batteries for thermotetres,479.97
Home Affairs,Game,Batteries for thermotetres,159.99
Home Affairs,Hinterland sa,Sprayer pressure,1564.87
Home Affairs,WIiiows apteek,Batteries for thermotetres,33.8
Home Affairs,Hinterland SA (pty)LTD,sanitiser hand gel,399.9
Home Affairs,Hinterland SA (pty)LTD,Sprayer pressure,449.9
Home Affairs,ATM Trading and Projects, Cleaning of services,83430.59
Home Affairs,Tumey consulting,COVID19 disinfectant wet wipes,144900
Home Affairs,Sbankwa projects,Knapsack Sprayer,14175
Home Affairs,Shift Consultlng,Cloth face masks,28750
Home Affairs,Stonehage Mulimisi Consultlng,Stand for Sanitizer,23750
Home Affairs,Prostigeâ€¢rm Trading & Projects,Sanitizer,118000
Home Affairs,AKT,SURGICAL MASKS,34695
Home Affairs,WEST RAND SUPPLIES,SURGICAL MASKS,35775
Home Affairs,ZONDIPHASE,SURGICAL MASKS,98000
Home Affairs,AKT,Gloves Surgical,18500
Home Affairs,WEST RAND SUPPLIES,Gloves Surgical,18990
Home Affairs,KEVALI CHEMICALS,Hand sanitisers,34500
Home Affairs,AKT,Hand sanitisers,4200
Home Affairs,LURANGA TRADING,Empty hand sanitiser bottles,2300
Home Affairs,TARA HEALTH CARE,Hand sanitisers,312500
Home Affairs,ONS SUPPLIES,SURGICAL MASKS,422625
Home Affairs,ONS SUPPLIES,EXAMINATIONS GLOVES,57356.25
Home Affairs,PICK N PAY,TOILET PAPER,52.9
Home Affairs,PICK N PAY,HAND WASH,64.9
Home Affairs,FLAMIGO MOON,FACE CLOTH MASKS,81000
Home Affairs,FORTISLE,FACE CLOTH MASKS,49500
Home Affairs,TRIPPLE N MEDICAL,GLOVES,100000
Home Affairs,GLYCOLESS,WET WIPES,37260
Home Affairs,EMU MEDICAL SUPPLIERS,DRY WIPE CLOTH,50625
Home Affairs,JKV ENGENEERING SOLUTIONS,BATTERIES,13200
Home Affairs,JKV ENGENEER1NG SOLUTIONS,BATTERIES CHARGER,10120
Home Affairs,TRIPPLE N MEDICAL,SANITISERS,245943
Home Affairs,PROMED TECHNOLOGIES,DISPOSABLE MASK,270000
Home Affairs,MVELAPANDA GENERAL TRADING,REFILL SANITISER BOTTLE,13375
Home Affairs,EMU MEDICAL SUPPLIERS,WET WIPES,50625
Home Affairs,VITAL LIFE MEDICAL,SANITISERS,218500
Home Affairs,JKV ENGINEERING SOLUTIONS,BATTERIES,10120
Home Affairs,JKV ENGINEERING SOLUTIONS,BATTERIES,13200
Home Affairs,TRIPPLE N.MEDICAL,SANITISERS,245943
Home Affairs,UI BRAND,BASE STAND HAND SANITISER STAND,110000
Home Affairs,PROME D TECHNOLOGIES,SURFACE DISINFECTANT,45000
Home Affairs,CREATIVE MEDICAL,EMPTY SPRAY BOTTLES,21828.15
Home Affairs,CREATIVE MEDICAL,EMPTY SPRAY BOTTLES,23163.3
Home Affairs,PROMED TECHNOLOGIES,SURGICAL DISPOSAL PLASTIC BAGS(RED),26000
Home Affairs,ULYMAT PROJECTS,CLEANING SERVICES,39999.99
Home Affairs,TRIPLE S.CONCEPTS,5 LITRE EMPTY SPRAY PUMP BOTTLE,17500
Home Affairs,SHECKS GLOBAL,CLEANING SERVICES(KRUGERSDORP),47400
Home Affairs,GLYCOLESS (LDT),DISINFECTANT WET WIPES,37260
Home Affairs,OIMEKO TSA RABODIBE,CLEANING SERVICES,50832
Home Affairs,TARA HEALTH CARE,HAND SANITISERS,262500
Home Affairs,TARA HEALTH CARE,HAND SANITISERSá GEL,91355
Home Affairs,JANWURMBK,HAND SANITISERS,700
Home Affairs,PEPPS MOOIMOLLE,CUDOLESOME,39
Home Affairs,SAFETY FIRST LTT,MASKS,260
Home Affairs,SAFETY FIRST LTT,EXAMINATION GLOVES,100
Home Affairs,SAFETY FiRST LTT,HAND SOAP LIQUID,320
Home Affairs,MODERN PACKAGING,GLOVES LATEX X-LARGE,2400
Home Affairs,RCC,HAND SANITISERS,9000
Home Affairs,CHECKERS POLOKWANE,HAND SANITISERS,79.98
Home Affairs,REAKGONA CLEANING CHEMICALS,SANITISER,2400
Home Affairs,REAKGONA CLEANING CHEMICALS,BOTTLE,675
Home Affairs,Gazamed Pharmacy,Gloves,299.85
Home Affairs,Phalaborwa Plastics,Masks,175
Home Affairs,Phalaborwa Plastics,Gloves Latex,110
Home Affairs,Modern Packaging,Hand Sanitizer,1600
Home Affairs,SPAR,hand sanitizer,59.98
Home Affairs,Pep Trading Store,Rubber Gloves,38.9
Home Affairs,AW Chemicals,Bleach,80
Home Affairs,Checkers,Vinegar,39.9
Home Affairs,Checkers,Piastre Bag,0.6
Home Affairs,Morden Packaging,Hand Sanitizer,640
Home Affairs,Usave,Trigger Spray,69.93
Home Affairs,01s-Chem,Hand sanftazer mixer,240
Home Affairs,Modjadjl Phamacy,Cloves,120
Home Affairs,Morden Packaging,Hand Sanitizer,640
Home Affairs,Usave,Trigger Spray,69.93
Home Affairs,Dis-Chem,Hand sanitazer mixer,240
Home Affairs,Modjadjl Phamacy,Cloves,120
Home Affairs,Modern Packglng Polokwane,Hand Sanitiser,320
Home Affairs,Modern Packging Polokwane,Hand Sanitiser,1280
Home Affairs,Galaxy Hardware,Dust mask,119
Home Affairs,Phlnorah Safetyware,Dust mask,900
Home Affairs,Pienaar Bros,Gloves,350
Home Affairs,Pep,Wipes,300
Home Affairs,Cherkers,Sanitiser,270
Home Affairs,The Cleanlng Co.,Sanitiser,695.8
Home Affairs,DNS SUPPLIES,SURGICAL MASKS,338100
Home Affairs,DNS SUPPLIES,EXAMINATIONS GLOVES,22942.5
Home Affairs,Bidvest commercial products,Sanitizer,118383
Home Affairs,Bidvest commercial products,gloves,288792.95
Home Affairs,lndustroclean,Sanitizer,63071
Home Affairs,AW chemicals,blo harard,11592
Home Affairs,tndustroclean,gloves,6854.58
Home Affairs,Bidvest Steiner,Disinfecting of 43 Offices,90659.1
Home Affairs,Cleaning Specialist,Disinfecting of Jane Furse Office,3700.1
Home Affairs,Cleaning Specialist,Disinfecting of Thohovandou Office,7277.2
Home Affairs,Bidvest Steiner,Disinfecting of Tzaneen Office,11777.15
Home Affairs,Cleaning Speciallst,Disinfecting of Bochum Office,1999
Home Affairs,Cleaning Specialist,Disinfecting of Jane Bochum Office,3483.55
Home Affairs,Macter Bapela Plumbing,Procurement of Jojo Tanks and Installation at Groblersdaal Ofl,28800
Home Affairs,Tshepangnaledi Tradfng,Procurement of Jojo Tanks and Installation at Mokopane Offic,29590
Home Affairs,lndustroclean,Trigger Spray Bottles,2889.03
Home Affairs,Onele Construction,Gloves,200000
Home Affairs,Onele Construction,Surglcal Masks,292000
Home Affairs,LN CRESSENTIA,Sanitisers,132600
Home Affairs,SALEYA TRADING CONSTRUCTION,Clothes Masks,47265
Home Affairs,KHEZOMEN ENTERTAINMENT,Sanitisers,189566
Home Affairs,KHEZOMEN ENTERTAINMENT,Disinfectants,264270
Home Affairs,GUMZA GUEST TRADING,Protective Body Suites Disposable,38400
Home Affairs,GUMZA GUEST TRADING,Surgical Gloves,5773.7
Home Affairs,GUMZA GUESTTRADING,Knapsack Prayer with Shoulder Strap{16L},25536.5
Home Affairs,DNS SUPPLIES,MASK,3150
Home Affairs,DNS SUPPLIES,MASK,42000
Home Affairs,ONS SUPPLIES,MASK,3633
Home Affairs,DNS SUPPLIES,GLOVES,1200
Home Affairs,NALEDI CHEMICALS,GLOVES,900
Home Affairs,BIDVEST STEINER,GLOVES,9449.78
Home Affairs,DNS SUPPLIES,SANITIZERS,34500
Home Affairs,. HALSTED AND CO,SANITIZERS,4025
Home Affairs,BLUE PETROLEUM,SANITIZERS,360
